no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
749,0.0,3.0,1
749,1.0,6.0,3
749,1.6666666666666667,8.333333333333334,3
749,2.0,9.75,4
749,2.2,11.0,5
749,3.5,13.166666666666666,8
749,4.285714285714286,14.857142857142858,9
749,4.25,15.75,9
749,5.222222222222222,17.77777777777778,11
749,6.7,20.4,12
749,10.0,24.90909090909091,16
749,13.916666666666666,29.916666666666668,17
749,16.076923076923077,33.23076923076923,15
749,19.714285714285715,38.142857142857146,23
749,22.133333333333333,41.8,21
749,25.3125,46.25,33
749,27.176470588235293,49.470588235294116,28
749,28.88888888888889,52.5,34
749,31.473684210526315,56.421052631578945,36
749,33.6,59.85,36
749,33.80952380952381,61.333333333333336,24
749,37.45454545454545,66.27272727272727,25
749,42.08695652173913,72.26086956521739,26
749,44.25,75.75,25
749,49.36,82.2,27
749,56.46153846153846,90.65384615384616,28
749,70.18518518518519,105.77777777777777,32
749,81.85714285714286,118.82142857142857,32
749,94.34482758620689,132.6206896551724,30
749,117.23333333333333,156.76666666666668,34
749,127.93548387096774,168.67741935483872,33
749,142.875,184.84375,34
749,166.0,209.1818181818182,34
749,198.47058823529412,242.91176470588235,39
749,213.0857142857143,258.77142857142854,38
749,228.83333333333334,275.75,38
749,245.40540540540542,293.5945945945946,37
749,270.2368421052632,319.6578947368421,38
749,313.71794871794873,364.35897435897436,44
749,326.925,378.775,41
749,347.7073170731707,400.780487804878,42
749,376.57142857142856,430.8809523809524,43
749,414.27906976744185,469.8139534883721,44
749,459.6136363636364,516.3636363636364,44
749,517.4444444444445,575.3777777777777,45
749,590.0434782608696,649.1739130434783,46
749,678.1489361702128,738.4893617021277,48
749,764.5833333333334,826.1041666666666,48
749,866.4489795918367,929.1428571428571,49
749,987.3,1051.16,50
749,1127.8431372549019,1192.862745098039,51
749,1312.8461538461538,1379.0192307692307,58
749,1411.0754716981132,1478.3962264150944,58
749,1459.1851851851852,1527.6851851851852,55
749,1520.6909090909091,1590.3636363636363,56
749,1597.1785714285713,1668.0357142857142,57
749,1672.017543859649,1744.0526315789473,57
749,1763.5,1836.7241379310344,58
749,1869.9830508474577,1944.3898305084747,59
749,1995.2666666666667,2070.883333333333,60
749,2141.7868852459014,2218.6065573770493,61
749,2309.8064516129034,2387.8387096774195,62
749,2502.1111111111113,2581.3809523809523,63
749,2719.890625,2800.390625,64
749,2963.5846153846155,3045.2923076923075,65
749,3238.2272727272725,3321.151515151515,66
749,3584.7014925373132,3668.865671641791,70
749,3843.1029411764707,3928.5,69
749,4141.492753623188,4228.115942028986,75
749,4322.114285714286,4409.971428571429,76
749,4423.281690140845,4512.394366197183,73
749,4518.861111111111,4609.222222222223,73
749,4628.041095890411,4719.671232876713,74
749,4751.716216216216,4844.621621621622,75
749,4889.68,4983.866666666667,75
749,5049.960526315789,5145.434210526316,76
749,5229.350649350649,5326.090909090909,77
749,5431.807692307692,5529.807692307692,78
749,5661.367088607595,5760.632911392405,79
749,5916.55,6017.075,80
749,6200.9876543209875,6302.765432098766,81
749,6514.975609756098,6618.024390243902,82
749,6860.8674698795185,6965.168674698795,83
749,7241.5,7347.059523809524,84
749,7655.176470588235,7762.0,85
749,8106.720930232558,8214.813953488372,86
749,8594.471264367816,8703.83908045977,87
749,9120.193181818182,9230.829545454546,88
749,9683.988764044943,9795.876404494382,89
749,10290.833333333334,10403.966666666667,90
749,10938.34065934066,11052.725274725275,91
749,11627.021739130434,11742.641304347826,92
749,12364.290322580646,12481.161290322581,94
749,13085.106382978724,13203.212765957447,94
749,13852.515789473684,13971.842105263158,95
749,14664.916666666666,14785.447916666666,97
749,15463.092783505155,15584.835051546392,97
749,16309.948979591836,16432.908163265307,99
749,17148.646464646463,17272.81818181818,99
749,18046.09,18171.47,101
749,18926.09900990099,19052.673267326732,101
749,19865.225490196077,19993.00980392157,103
749,20799.52427184466,20928.533980582524,103
749,21788.615384615383,21918.83653846154,105
749,22774.35238095238,22905.780952380952,106
749,23753.32075471698,23885.962264150945,107
749,24717.0,24850.841121495327,107
749,25735.0,25870.027777777777,108
749,26805.284403669724,26941.51376146789,109
749,27930.381818181817,28067.827272727274,110
749,29112.666666666668,29251.34234234234,112
749,30297.35714285714,30437.258928571428,113
749,31469.95575221239,31611.088495575223,114
749,32626.93859649123,32769.29824561404,114
749,33849.026086956525,33992.62608695652,116
749,35057.93103448276,35202.78448275862,117
749,36255.72649572649,36401.820512820515,117
749,37511.542372881355,37658.86440677966,118
749,38931.857142857145,39080.41176470588,120
749,40291.99166666667,40441.76666666667,120
749,41775.330578512396,41926.33884297521,122
749,43304.29508196721,43456.524590163935,124
749,44703.55284552846,44857.0,123
749,46168.41935483871,46323.08064516129,125
749,47616.688,47772.568,125
749,49126.420634920636,49283.51587301587,126
749,50705.55118110236,50863.87401574803,128
749,52263.2890625,52422.84375,128
749,53900.40310077519,54061.17829457364,130
749,55517.86153846154,55679.85384615385,130
749,57198.0534351145,57361.26717557252,131
749,58965.31060606061,59129.73484848485,133
749,60704.33082706767,60869.97744360902,133
749,62528.05970149254,62694.932835820895,134
749,64413.84444444445,64581.933333333334,136
749,66279.03676470589,66448.33823529411,137
749,68137.33576642336,68307.84671532847,138
749,69964.71739130435,70136.43478260869,138
749,71860.89208633093,72033.80575539569,139
749,73837.22142857143,74011.32857142857,140
749,75878.07092198581,76053.36879432623,141
749,77999.26056338029,78175.73943661971,142
749,80202.12587412588,80379.77622377622,143
749,82481.8125,82660.625,144
749,84830.46896551724,85010.4551724138,145
749,87275.22602739726,87456.38356164383,148
749,89602.6530612245,89784.98639455783,147
749,92009.81756756757,92193.31756756757,148
749,94498.4832214765,94683.1610738255,149
749,97060.73333333334,97246.59333333334,150
749,99732.71523178808,99919.74834437086,153
749,102278.69078947368,102466.8947368421,153
749,104795.72549019608,104985.09150326798,153
749,107407.51298701299,107598.03896103895,155
749,110004.49677419355,110196.1806451613,155
749,112675.78846153847,112868.6217948718,156
749,115431.83439490446,115625.8280254777,157
749,118293.47468354431,118488.6329113924,159
749,121120.74842767295,121317.07547169812,160
749,123948.34375,124145.84375,161
749,126755.09937888199,126953.77639751552,163
749,129413.43827160494,129613.3024691358,162
749,132200.69325153375,132401.74233128835,165
749,134852.8719512195,135055.11585365853,164
749,137576.18181818182,137779.6181818182,165
749,140437.94578313254,140642.57228915664,169
749,143055.88622754492,143261.70658682636,167
749,145762.3630952381,145969.38095238095,168
749,148563.95857988167,148772.1775147929,169
749,151433.98235294118,151643.41176470587,170
749,154419.63157894736,154630.26900584795,171
749,157485.09302325582,157696.94186046513,172
749,160638.48554913295,160851.54335260115,174
749,163796.30459770115,164010.5804597701,174
749,167049.76571428572,167265.25714285715,176
749,170248.61931818182,170465.33522727274,176
749,173577.94350282487,173795.8870056497,178
749,176913.37078651684,177132.54494382022,180
749,180079.75418994413,180300.16201117318,179
749,183363.19444444444,183584.8388888889,180
749,186777.31491712708,187000.19889502763,183
749,190033.57692307694,190257.7087912088,182
749,193388.27322404372,193613.65573770492,183
749,196854.13586956522,197080.77173913043,185
749,200308.77297297298,200536.66486486487,186
749,203725.7688172043,203954.9247311828,186
749,207267.6203208556,207498.04278074866,188
749,210778.6489361702,211010.3404255319,188
749,214377.32275132276,214610.27513227513,189
749,218079.2894736842,218313.4947368421,190
749,221905.83769633507,222141.29842931937,191
749,225812.49479166666,226049.203125,192
749,229827.59067357512,230065.54922279794,194
749,233826.72164948453,234065.93298969071,194
749,237941.54358974358,238182.0153846154,196
749,242010.6173469388,242252.3418367347,196
749,246185.32487309646,246428.2994923858,197
749,250480.5303030303,250724.74747474748,199
749,254748.13065326633,254993.58291457288,199
749,259145.75,259392.44,201
749,263490.17412935325,263738.10945273633,201
749,267958.15346534655,268207.3316831683,202
749,272563.4039408867,272813.8275862069,203
749,277249.0931372549,277500.76470588235,205
749,281926.56585365854,282179.48292682925,206
749,286592.3932038835,286846.5533980582,207
749,291205.2173913043,291460.6280193237,208
749,295811.7163461539,296068.3701923077,208
749,300540.8708133971,300798.76076555025,209
749,305349.72857142857,305608.8476190476,210
749,310295.16113744077,310555.5118483412,211
749,315373.4905660377,315635.0801886792,212
749,320527.4976525822,320790.3286384976,213
749,325812.26168224297,326076.34112149535,214
749,331260.76744186046,331526.0976744186,215
749,336779.9675925926,337046.5509259259,216
749,342433.1520737327,342700.9953917051,218
749,348086.9770642202,348356.08256880735,218
749,353829.96347031964,354100.3333333333,219
749,359692.15454545454,359963.79545454547,220
749,365738.0407239819,366010.94570135744,222
749,371702.15765765763,371976.3198198198,223
749,377665.34529147984,377940.76681614347,223
749,383765.96875,384042.6473214286,226
749,389641.7866666667,389919.71555555554,225
749,395716.27876106196,395995.45132743364,228
749,401571.91629955947,401852.33480176213,228
749,407405.61842105264,407687.2850877193,229
749,413263.8384279476,413546.7598253275,230
749,419064.7434782609,419348.9260869565,230
749,424962.65367965365,425248.1038961039,231
749,431016.5043103448,431303.2155172414,232
749,437228.5536480687,437516.5321888412,234
749,443391.4145299145,443680.6666666667,235
749,449519.8085106383,449810.3404255319,235
749,455819.7076271186,456111.5254237288,236
749,462212.7848101266,462505.8818565401,237
749,468727.10504201683,469021.47478991596,238
749,475458.0251046025,475753.6610878661,241
749,481975.2875,482272.18333333335,240
749,488605.265560166,488903.4190871369,242
749,495239.69421487604,495539.1115702479,242
749,502017.78189300414,502318.46502057614,243
749,508871.8975409836,509173.84426229505,244
749,515906.387755102,516209.6,245
749,523133.60569105693,523438.07723577233,248
749,530084.3603238866,530390.0971659919,247
749,537217.0887096775,537524.0887096775,249
749,544337.626506024,544645.8875502008,250
749,551410.568,551720.084,251
749,558464.4183266932,558775.1912350598,251
749,565702.9880952381,566015.0238095238,253
749,572911.7272727273,573225.0316205533,254
749,580058.5787401575,580373.1456692914,254
749,587440.4352941177,587756.2627450981,257
749,594580.296875,594897.3828125,256
749,601838.2023346303,602156.5447470817,257
749,609224.9612403101,609544.5542635659,258
749,616802.5057915058,617123.3552123553,260
749,624339.5153846154,624661.6192307692,260
749,632031.69348659,632355.0536398467,261
749,639913.2595419848,640237.8740458016,263
749,647738.1939163498,648064.0684410647,263
749,655719.3522727273,656046.4886363636,264
749,663840.3245283018,664168.716981132,265
749,672111.2330827068,672440.8872180451,266
749,680549.4494382022,680880.3670411985,267
749,689142.0708955224,689474.2574626865,268
749,697875.498141264,698208.9516728624,270
749,706567.937037037,706902.6592592592,270
749,715454.7084870848,715790.6937269373,272
749,724250.9595588235,724588.2132352941,272
749,733260.5347985348,733599.0586080586,274
749,742229.6751824818,742569.4671532847,275
749,751133.0763636364,751474.1345454545,275
749,760296.2717391305,760638.6014492754,278
749,769208.8772563176,769552.4837545126,278
749,778060.3956834532,778405.2769784173,279
749,786929.1684587813,787275.3261648746,281
749,795556.0,795903.4321428571,281
749,804179.3914590747,804528.0996441281,282
749,812798.9609929078,813148.9397163121,283
749,821377.2720848056,821728.519434629,283
749,830106.4366197183,830458.9577464788,284
749,838966.5578947369,839320.3543859649,285
749,848052.3391608392,848407.4160839161,287
749,857053.031358885,857409.393728223,287
749,866221.3159722222,866578.96875,288
749,875577.982698962,875936.9238754326,289
749,885052.3448275862,885412.5724137931,290
749,894707.1512027491,895068.6632302406,291
749,904559.7226027397,904922.5171232877,293
749,914367.9795221844,914732.0546075086,293
749,924316.425170068,924681.775510204,294
749,934413.9220338983,934780.5457627119,295
749,944712.1790540541,945080.0777027027,297
749,954985.0538720539,955354.2222222222,297
749,965416.0469798658,965786.4865771813,299
749,975810.3846153846,976182.093645485,299
749,986385.7,986758.6833333333,301
749,996903.6079734219,997277.8604651163,301
749,1007660.3940397351,1008035.9139072847,302
749,1018525.2277227723,1018902.0198019802,303
749,1029638.8256578947,1030016.8881578947,306
749,1040475.0327868853,1040854.3639344262,305
749,1051491.4444444445,1051872.045751634,306
749,1062730.1726384365,1063112.045602606,308
749,1073834.8181818181,1074217.9642857143,308
749,1085205.789644013,1085590.2038834952,310
749,1096548.5322580645,1096934.2096774194,311
749,1107784.803858521,1108171.7491961415,311
749,1119222.1955128205,1119610.4134615385,312
749,1130930.6900958465,1131320.1853035144,316
749,1142072.933121019,1142463.7070063695,314
749,1153454.0476190476,1153846.0952380951,316
749,1164799.240506329,1165192.5601265824,317
749,1176124.1293375394,1176518.7255520504,317
749,1187625.3993710692,1188021.2735849055,319
749,1199073.605015674,1199470.7554858935,319
749,1210699.890625,1211098.315625,320
749,1222528.6417445482,1222928.3457943925,321
749,1234549.6894409938,1234950.6708074533,323
749,1246525.4365325077,1246927.6965944273,323
749,1258794.5833333333,1259198.1172839506,327
749,1270607.5261538462,1271012.3323076924,326
749,1282307.8251533743,1282713.9018404908,326
749,1294212.5749235475,1294619.9204892965,328
749,1306136.6951219512,1306545.3109756098,328
749,1318212.6778115502,1318622.5683890576,329
749,1330462.6848484848,1330873.8515151516,330
749,1342890.5287009063,1343302.9667673716,332
749,1355343.8614457832,1355757.5753012048,333
749,1367795.2162162163,1368210.2012012012,334
749,1380146.8143712576,1380563.0748502994,334
749,1392678.1701492537,1393095.7104477612,335
749,1405407.2083333333,1405826.0267857143,336
749,1418388.7002967359,1418808.7952522256,338
749,1431322.849112426,1431744.2159763314,339
749,1444178.0147492625,1444600.651917404,340
749,1457027.2617647059,1457451.1676470588,340
749,1470102.5542521994,1470527.73313783,342
749,1483095.716374269,1483522.16374269,342
749,1496297.198250729,1496724.915451895,343
749,1509692.0552325582,1510121.0406976745,345
749,1523043.0898550726,1523473.347826087,346
749,1536429.0028901733,1536860.5375722544,347
749,1549763.2997118155,1550196.1095100865,347
749,1563281.603448276,1563715.6925287356,349
749,1576785.7163323783,1577221.088825215,350
749,1590284.7114285715,1590721.3657142858,351
749,1603755.962962963,1604193.9002849003,352
749,1617197.2613636365,1617636.4857954546,352
749,1630865.2039660057,1631305.7195467423,354
749,1644468.7062146892,1644910.5084745763,354
749,1658339.4309859155,1658782.5211267606,356
749,1672129.2106741574,1672573.5842696629,356
749,1686082.2661064425,1686527.9215686275,357
749,1700302.8994413407,1700749.840782123,358
749,1714702.9582172702,1715151.1866295265,359
749,1729346.802777778,1729796.322222222,361
749,1743915.9418282548,1744366.7506925208,362
749,1758437.4723756907,1758889.5745856354,362
749,1773242.4104683197,1773695.8071625344,363
749,1788206.5824175824,1788661.2692307692,365
749,1803094.7616438356,1803550.7369863014,365
749,1818253.6612021858,1818710.9207650274,366
749,1833567.2234332424,1834025.7711171662,367
749,1849107.0489130435,1849566.8804347827,368
749,1864881.5338753387,1865342.647696477,369
749,1880888.4081081082,1881350.8054054054,371
749,1896779.6469002694,1897243.3234501348,371
749,1912964.6532258065,1913429.6075268816,373
749,1929093.1769436998,1929559.4075067025,373
749,1945370.1497326202,1945837.655080214,374
749,1961901.5333333334,1962370.3093333333,375
749,1978722.9760638298,1979193.0212765958,378
749,1995115.7931034483,1995587.1114058355,377
749,2011830.2857142857,2012302.880952381,380
749,2028244.0,2028717.8680738786,380
749,2044600.0842105264,2045075.2289473685,380
749,2061210.409448819,2061686.8293963254,381
749,2077979.552356021,2078457.2513089005,383
749,2094717.6631853785,2095196.637075718,383
749,2111777.4557291665,2112257.7005208335,386
749,2128484.8987012985,2128966.412987013,385
749,2145369.414507772,2145852.196891192,386
749,2162514.8372093025,2162998.888888889,388
749,2179639.100515464,2180124.4226804124,390
749,2196452.470437018,2196939.061696658,389
749,2213537.0025641024,2214024.8641025643,392
749,2230287.1534526856,2230776.286445013,391
749,2247255.3928571427,2247745.7933673467,392
749,2264428.564885496,2264920.234096692,393
749,2281892.733502538,2282385.670050761,396
749,2298983.994936709,2299478.194936709,395
749,2316385.4292929294,2316880.893939394,397
749,2333781.0125944586,2334277.7380352644,398
749,2351120.5351758795,2351618.5226130653,398
749,2368675.1052631577,2369174.3533834587,399
749,2386446.11,2386946.6225,400
749,2404521.7605985035,2405023.5386533667,403
749,2422293.567164179,2422796.606965174,402
749,2440264.4565756824,2440768.7568238215,403
749,2458465.2425742573,2458970.7995049506,405
749,2476646.775308642,2477153.590123457,406
749,2494752.209359606,2495260.2783251232,406
749,2513134.157248157,2513643.481572482,408
749,2531505.6348039214,2532016.2107843137,409
749,2549782.865525672,2550294.6894865525,410
749,2568071.056097561,2568584.129268293,410
749,2586598.603406326,2587112.9221411194,412
749,2605059.072815534,2605574.63592233,412
749,2623798.3753026635,2624315.181598063,414
749,2642495.685990338,2643013.731884058,415
749,2661136.4,2661655.6843373496,416
749,2679821.9903846155,2680342.512019231,416
749,2698707.7002398083,2699229.4604316545,419
749,2717245.887559809,2717768.889952153,418
749,2736074.219570406,2736598.4677804294,419
749,2755205.995238095,2755731.4857142856,423
749,2773686.4988123514,2774213.2304038005,421
749,2792409.537914692,2792937.5071090045,422
749,2811408.307328605,2811937.5153664304,424
749,2830339.558962264,2830870.007075472,425
749,2849277.48,2849809.1670588236,426
749,2868182.4295774647,2868715.354460094,426
749,2887295.475409836,2887829.6346604214,427
749,2906637.0443925234,2907172.436915888,429
749,2925945.3892773893,2926482.0163170164,429
749,2945502.6255813953,2946040.4906976745,430
749,2965307.626450116,2965846.7262180974,432
749,2985116.810185185,2985657.1481481483,433
749,3004891.0577367204,3005432.6327944575,434
749,3024636.9423963134,3025179.755760369,435
749,3044280.9448275864,3044824.9977011494,435
749,3064212.3279816513,3064757.621559633,436
749,3084434.890160183,3084981.423340961,438
749,3104556.2374429223,3105104.00913242,438
749,3124901.6810933943,3125450.687927107,439
749,3145631.418181818,3146181.661363636,442
749,3165958.793650794,3166510.274376417,441
749,3186525.0090497737,3187077.726244344,442
749,3207349.119638826,3207903.0699774264,443
749,3228425.4414414414,3228980.626126126,445
749,3249524.6404494382,3250081.0606741575,446
749,3270561.6322869956,3271119.2892376683,447
749,3291615.2684563757,3292174.163310962,448
749,3312682.7745535714,3313242.90625,450
749,3333394.3318485525,3333955.70155902,449
749,3354326.9977777777,3354889.6022222224,450
749,3375529.2682926827,3376093.110864745,451
749,3396964.0398230087,3397529.1238938053,452
749,3418650.995584989,3419217.3245033114,453
749,3440639.4713656385,3441207.0440528635,454
749,3462904.1934065935,3463473.0065934067,457
749,3484766.2872807016,3485336.3421052634,456
749,3506930.433260394,3507501.726477024,458
749,3529104.521834061,3529677.0502183405,459
749,3551213.7952069715,3551787.5555555555,459
749,3573614.906521739,3574189.8978260867,461
749,3595933.752711497,3596509.976138829,461
749,3618523.3463203465,3619100.798701299,462
749,3641395.3088552915,3641973.9913606914,463
749,3664588.331896552,3665168.245689655,466
749,3687421.6086021503,3688002.756989247,465
749,3710506.2918454935,3711088.6759656654,466
749,3733897.543897216,3734481.164882227,468
749,3757252.1623931625,3757837.019230769,469
749,3780536.2345415778,3781122.324093817,470
749,3803785.325531915,3804372.64893617,471
749,3827033.3163481955,3827621.870488323,471
749,3850570.061440678,3851159.845338983,474
749,3873724.7610993655,3874315.77589852,473
749,3897167.995780591,3897760.2383966246,474
749,3920863.1094736843,3921456.5810526316,476
749,3944580.050420168,3945174.75210084,477
749,3968193.320754717,3968789.253668763,477
749,3992108.0271966527,3992705.1924686194,479
749,4015995.235908142,4016593.6325678495,480
749,4039819.9583333335,4040419.5833333335,480
