no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
749,0.0,15.0,1
749,0.0,42.5,2
749,6.0,40.333333333333336,3
749,39.0,86.5,5
749,43.2,84.8,5
749,59.0,96.66666666666667,6
749,73.42857142857143,106.28571428571429,7
749,93.0,131.625,8
749,132.66666666666666,174.55555555555554,9
749,184.6,225.0,11
749,221.0909090909091,258.6363636363636,12
749,257.1666666666667,296.8333333333333,13
749,285.9230769230769,326.0,14
749,316.07142857142856,358.42857142857144,14
749,359.53333333333336,404.3333333333333,15
749,419.6875,466.0625,18
749,459.29411764705884,506.88235294117646,18
749,494.6111111111111,540.2777777777778,20
749,510.7368421052632,558.2631578947369,19
749,536.0,583.95,21
749,573.5238095238095,623.4761904761905,22
749,607.9090909090909,658.8181818181819,23
749,642.5217391304348,692.4347826086956,25
749,668.6666666666666,716.875,24
749,702.68,752.16,25
749,749.0769230769231,799.3076923076923,27
749,795.3333333333334,845.2592592592592,29
749,837.2857142857143,885.8571428571429,30
749,872.5172413793103,920.5172413793103,31
749,903.0,950.3,31
749,930.8064516129032,977.3870967741935,34
749,945.3125,991.75,35
749,949.7878787878788,997.6060606060606,33
749,962.1764705882352,1011.1470588235294,35
749,980.4,1030.4571428571428,36
749,995.9722222222222,1046.138888888889,38
749,1010.4324324324324,1060.8108108108108,37
749,1031.5526315789473,1082.6842105263158,38
749,1065.051282051282,1116.3076923076924,40
749,1098.475,1150.05,40
749,1139.4878048780488,1190.2682926829268,44
749,1171.904761904762,1222.904761904762,44
749,1197.4651162790697,1248.3023255813953,45
749,1218.840909090909,1270.7045454545455,44
749,1246.3333333333333,1297.5111111111112,45
749,1282.6304347826087,1333.608695652174,47
749,1320.9148936170213,1371.4893617021276,49
749,1358.8125,1408.9166666666667,50
749,1390.3061224489795,1440.4285714285713,49
749,1428.8,1478.1,50
749,1470.9411764705883,1520.7450980392157,51
749,1517.4038461538462,1566.5384615384614,53
749,1565.3396226415093,1614.188679245283,54
749,1614.9444444444443,1664.648148148148,54
749,1670.0545454545454,1719.7454545454545,55
749,1732.4464285714287,1781.8392857142858,56
749,1800.6140350877192,1849.4736842105262,57
749,1875.344827586207,1923.5689655172414,58
749,1958.084745762712,2006.2711864406779,60
749,2043.0166666666667,2091.3333333333335,60
749,2135.0,2183.655737704918,61
749,2234.8064516129034,2284.0,62
