no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
749,0.0,37.0,1
749,18.5,73.0,2
749,64.0,107.0,4
749,93.0,137.75,5
749,110.4,159.2,5
749,134.16666666666666,175.83333333333334,6
749,150.42857142857142,186.71428571428572,7
749,182.75,219.25,9
749,217.11111111111111,253.44444444444446,11
749,232.3,266.2,11
749,247.1818181818182,286.27272727272725,11
749,275.0833333333333,317.0833333333333,13
749,299.0,339.15384615384613,13
749,333.92857142857144,373.92857142857144,15
749,370.4,408.26666666666665,16
749,407.0,447.6875,16
749,453.6470588235294,496.05882352941177,18
749,499.6111111111111,543.0,19
749,544.0,587.3157894736842,20
749,590.35,635.8,20
749,646.8571428571429,693.2857142857143,22
749,706.1818181818181,754.4090909090909,22
749,776.6521739130435,825.0869565217391,24
749,850.7083333333334,900.625,24
749,934.92,983.56,27
749,1006.4615384615385,1055.3461538461538,27
749,1078.5555555555557,1125.8148148148148,28
749,1148.9285714285713,1197.4642857142858,28
749,1225.2068965517242,1272.9655172413793,30
749,1295.6666666666667,1343.7333333333333,31
749,1371.0645161290322,1419.774193548387,31
749,1453.34375,1502.3125,33
749,1541.0,1590.939393939394,33
749,1636.0,1686.5588235294117,35
749,1728.2571428571428,1779.857142857143,35
749,1833.888888888889,1885.0555555555557,37
749,1942.5135135135135,1994.6216216216217,38
749,2036.8947368421052,2087.842105263158,39
749,2132.051282051282,2183.358974358974,40
749,2230.0,2280.75,41
749,2331.3658536585367,2382.3658536585367,42
749,2429.6428571428573,2480.214285714286,44
749,2522.6046511627906,2573.3720930232557,44
749,2614.409090909091,2664.7954545454545,45
749,2706.6666666666665,2757.2,45
749,2806.7391304347825,2857.8478260869565,46
749,2914.468085106383,2965.978723404255,48
749,3024.5416666666665,3075.0208333333335,49
749,3125.734693877551,3175.408163265306,49
749,3227.94,3276.92,51
749,3333.9607843137255,3383.0588235294117,52
749,3447.269230769231,3495.5576923076924,57
749,3531.433962264151,3579.0,57
749,3593.0555555555557,3640.777777777778,54
749,3659.309090909091,3706.5272727272727,56
749,3728.589285714286,3775.0535714285716,56
749,3803.3859649122805,3849.5263157894738,58
749,3882.2413793103447,3928.4137931034484,58
749,3966.186440677966,4012.9491525423728,59
749,4055.8166666666666,4102.65,61
749,4147.901639344263,4194.0327868852455,61
749,4245.387096774193,4291.548387096775,63
749,4341.746031746032,4387.984126984127,63
749,4443.671875,4490.015625,64
749,4549.323076923077,4595.984615384616,65
749,4662.848484848485,4710.242424242424,66
749,4783.313432835821,4830.313432835821,67
749,4905.89705882353,4952.264705882353,68
749,5034.855072463768,5081.347826086957,70
749,5168.157142857143,5214.871428571429,71
749,5303.014084507042,5349.887323943662,72
749,5434.902777777777,5481.486111111111,75
749,5554.191780821918,5601.191780821918,73
749,5679.5675675675675,5726.027027027027,76
