no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,400.0,0,0.0,400.0,0
2,387.0,786.0,6,198.0,597.0,1
3,266.0,664.0,2,395.6666666666667,793.6666666666666,2
4,403.25,800.5,8,691.5,1088.75,4
5,484.4,880.8,10,1025.2,1421.6,8
6,596.6666666666666,992.0,13,1311.0,1706.3333333333333,9
7,718.7142857142857,1112.7142857142858,14,1623.2857142857142,2017.2857142857142,12
8,857.875,1250.75,17,1903.875,2296.75,14
9,1000.0,1391.7777777777778,19,2247.4444444444443,2639.222222222222,16
10,1150.3,1541.1,22,2521.1,2911.9,18
11,1292.4545454545455,1682.1818181818182,22,2844.909090909091,3234.6363636363635,22
12,1439.25,1827.9166666666667,23,3110.25,3498.9166666666665,23
13,1589.7692307692307,1977.3076923076924,26,3452.0,3839.5384615384614,26
14,1726.5,2112.8571428571427,28,3715.285714285714,4101.642857142857,28
15,1834.6,2219.733333333333,27,4040.5333333333333,4425.666666666667,30
16,1935.5625,2319.4375,27,4295.0625,4678.9375,32
17,2029.4705882352941,2412.0,29,4628.176470588235,5010.705882352941,36
18,2119.277777777778,2500.5555555555557,31,4881.777777777777,5263.055555555556,37
19,2198.2631578947367,2578.2105263157896,31,5196.421052631579,5576.368421052632,40
20,2281.65,2660.25,33,5439.35,5817.95,42
21,2363.1428571428573,2740.3809523809523,35,5763.619047619048,6140.857142857143,44
22,2379.409090909091,2755.3636363636365,33,6002.454545454545,6378.409090909091,46
23,2404.1739130434785,2778.782608695652,34,6313.0,6687.608695652174,53
24,2449.75,2823.0,38,6540.791666666667,6914.041666666667,51
25,2481.0,2852.92,37,6849.44,7221.36,54
26,2512.6923076923076,2883.3076923076924,37,7077.461538461538,7448.076923076923,56
27,2544.6296296296296,2913.8888888888887,38,7373.2962962962965,7742.555555555556,58
28,2581.8214285714284,2949.6785714285716,40,7593.964285714285,7961.821428571428,60
29,2615.655172413793,2982.103448275862,40,7889.551724137931,8256.0,64
30,2664.8333333333335,3029.9,43,8105.266666666666,8470.333333333334,65
31,2718.6129032258063,3082.3225806451615,44,8390.935483870968,8754.645161290322,68
32,2766.46875,3128.875,44,8595.125,8957.53125,70
33,2811.030303030303,3172.121212121212,46,8891.272727272728,9252.363636363636,72
34,2860.9411764705883,3220.705882352941,46,9108.0,9467.764705882353,74
35,2910.3142857142857,3268.8,49,9386.285714285714,9744.771428571428,78
36,2963.527777777778,3320.6944444444443,49,9578.972222222223,9936.138888888889,79
37,3013.810810810811,3369.7027027027025,50,9856.594594594595,10212.486486486487,82
38,3069.5526315789475,3424.2105263157896,51,10057.368421052632,10412.026315789473,84
39,3122.8205128205127,3476.25641025641,51,10327.538461538461,10680.97435897436,86
40,3181.0,3533.175,52,10522.8,10874.975,88
41,3240.682926829268,3591.5853658536585,52,10801.682926829268,11152.585365853658,92
42,3306.285714285714,3655.904761904762,55,11003.190476190477,11352.809523809523,93
43,3365.9302325581393,3714.232558139535,56,11259.488372093023,11607.790697674418,96
44,3433.0227272727275,3780.0227272727275,59,11431.0,11778.0,98
45,3480.3333333333335,3826.0666666666666,57,11687.31111111111,12033.044444444444,100
46,3531.521739130435,3876.021739130435,57,11869.130434782608,12213.630434782608,102
47,3583.978723404255,3927.255319148936,60,12132.08510638298,12475.36170212766,106
48,3634.3125,3976.375,61,12310.354166666666,12652.416666666666,107
49,3683.6326530612246,4024.5102040816328,61,12573.959183673469,12914.836734693878,110
50,3736.62,4076.32,63,12749.48,13089.18,112
51,3780.921568627451,4119.450980392156,63,12991.35294117647,13329.882352941177,114
52,3834.1923076923076,4171.5192307692305,64,13145.961538461539,13483.288461538461,116
53,3890.0,4226.132075471698,67,13384.169811320755,13720.301886792453,120
54,3936.9814814814813,4271.925925925926,66,13534.074074074075,13869.018518518518,121
55,3982.0,4315.763636363637,67,13764.854545454546,14098.618181818181,124
56,4023.5535714285716,4356.160714285715,66,13927.517857142857,14260.125,126
57,4063.7719298245615,4395.19298245614,69,14172.421052631578,14503.842105263158,128
58,4106.396551724138,4436.603448275862,69,14327.827586206897,14658.034482758621,130
59,4145.423728813559,4474.423728813559,71,14564.949152542373,14893.949152542373,134
