no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,400.0,0,0.0,400.0,0
2,387.0,786.0,6,199.0,598.0,1
3,505.0,903.0,8,529.3333333333334,927.3333333333334,3
4,647.0,1044.0,11,890.75,1287.75,7
5,793.8,1189.8,14,1184.0,1580.0,8
6,935.6666666666666,1330.5,15,1507.8333333333333,1902.6666666666667,11
7,1084.857142857143,1478.4285714285713,18,1791.2857142857142,2184.8571428571427,13
8,1227.0,1619.5,19,2149.0,2541.5,15
9,1375.3333333333333,1766.7777777777778,20,2423.4444444444443,2814.8888888888887,17
10,1519.2,1909.4,23,2753.2,3143.4,21
11,1657.909090909091,2046.909090909091,24,3020.4545454545455,3409.4545454545455,22
12,1792.25,2179.9166666666665,26,3364.3333333333335,3752.0,25
13,1925.2307692307693,2311.5384615384614,27,3622.6153846153848,4008.923076923077,27
14,2056.4285714285716,2441.5,29,3952.785714285714,4337.857142857143,29
15,2181.733333333333,2565.6,29,4212.266666666666,4596.133333333333,31
16,2306.8125,2689.4375,32,4552.3125,4934.9375,35
17,2427.5882352941176,2809.0588235294117,32,4803.117647058823,5184.588235294118,36
18,2549.9444444444443,2930.3333333333335,32,5125.611111111111,5506.0,39
19,2672.0526315789475,3051.3684210526317,32,5367.789473684211,5747.105263157895,41
20,2794.7,3172.85,35,5699.45,6077.6,43
21,2910.4761904761904,3287.4285714285716,36,5939.0952380952385,6316.047619047619,45
22,3021.681818181818,3397.409090909091,38,6250.272727272727,6626.0,49
23,3127.608695652174,3502.0434782608695,40,6476.608695652174,6851.04347826087,50
24,3224.7916666666665,3597.9166666666665,40,6788.833333333333,7161.958333333333,53
25,3321.16,3692.96,42,7015.36,7387.16,55
26,3412.5384615384614,3782.9615384615386,42,7321.2692307692305,7691.692307692308,57
27,3504.1111111111113,3873.1481481481483,44,7549.37037037037,7918.407407407408,59
28,3592.964285714286,3960.6071428571427,44,7857.714285714285,8225.357142857143,63
29,3681.448275862069,4047.7586206896553,45,8074.931034482759,8441.241379310344,64
30,3767.133333333333,4132.066666666667,46,8364.4,8729.333333333334,67
31,3852.7096774193546,4216.225806451613,46,8574.483870967742,8938.0,69
32,3936.96875,4299.0625,48,8872.375,9234.46875,71
33,4016.6060606060605,4377.242424242424,48,9086.0,9446.636363636364,73
34,4093.470588235294,4452.617647058823,48,9371.882352941177,9731.029411764706,77
35,4171.371428571429,4529.028571428571,50,9580.42857142857,9938.085714285715,78
36,4247.666666666667,4603.861111111111,50,9867.027777777777,10223.222222222223,81
37,4322.945945945946,4677.648648648648,51,10060.324324324325,10415.027027027027,83
38,4396.131578947368,4749.368421052632,51,10325.526315789473,10678.763157894737,85
39,4469.128205128205,4820.897435897436,53,10502.948717948719,10854.71794871795,87
40,4542.075,4892.425,53,10767.65,11118.0,91
41,4613.780487804878,4962.682926829269,54,10951.853658536585,11300.756097560976,92
42,4685.666666666667,5033.166666666667,54,11207.119047619048,11554.619047619048,95
43,4757.953488372093,5104.046511627907,54,11387.976744186046,11734.06976744186,97
44,4832.340909090909,5177.022727272727,54,11640.704545454546,11985.386363636364,99
45,4906.555555555556,5249.8,56,11801.844444444445,12145.08888888889,101
46,4976.347826086957,5318.195652173913,57,12045.739130434782,12387.58695652174,105
47,5045.808510638298,5386.297872340426,59,12218.893617021276,12559.382978723404,106
48,5116.895833333333,5456.0625,60,12463.708333333334,12802.875,109
49,5182.591836734694,5520.408163265306,61,12632.367346938776,12970.183673469388,111
50,5246.32,5582.78,62,12866.7,13203.16,113
51,5301.235294117647,5636.35294117647,61,13015.56862745098,13350.686274509804,115
52,5358.346153846154,5692.153846153846,62,13249.211538461539,13583.01923076923,119
53,5413.792452830188,5746.301886792453,62,13410.490566037735,13743.0,120
54,5470.925925925926,5802.111111111111,62,13634.888888888889,13966.074074074075,123
55,5533.145454545454,5863.018181818182,65,13790.581818181818,14120.454545454546,125
56,5595.357142857143,5923.910714285715,65,14029.30357142857,14357.857142857143,127
57,5658.017543859649,5985.263157894737,66,14197.61403508772,14524.859649122807,129
58,5722.586206896552,6048.5344827586205,67,14412.741379310344,14738.689655172413,133
59,5789.389830508475,6114.033898305085,69,14541.559322033898,14866.203389830509,134
60,5858.683333333333,6182.016666666666,69,14752.45,15075.783333333333,137
61,5928.934426229508,6250.934426229508,69,14873.918032786885,15195.918032786885,139
62,6000.419354838709,6321.080645161291,71,15075.048387096775,15395.709677419354,141
63,6075.619047619048,6394.920634920635,71,15208.238095238095,15527.539682539682,143
64,6151.5625,6469.515625,72,15405.359375,15723.3125,147
65,6228.123076923077,6544.723076923077,73,15514.261538461538,15830.861538461539,148
66,6306.560606060606,6621.818181818182,73,15703.818181818182,16019.075757575758,151
67,6387.328358208955,6701.238805970149,75,15807.41791044776,16121.328358208955,153
68,6469.161764705882,6781.735294117647,75,15993.60294117647,16306.176470588236,155
69,6553.376811594203,6864.623188405797,75,16113.68115942029,16424.927536231884,157
70,6640.071428571428,6950.0142857142855,78,16316.028571428571,16625.97142857143,161
71,6729.929577464789,7038.56338028169,78,16432.718309859156,16741.352112676057,162
72,6821.555555555556,7128.861111111111,79,16608.583333333332,16915.88888888889,165
73,6911.712328767123,7217.684931506849,80,16696.64383561644,17002.616438356163,167
74,7003.310810810811,7307.9324324324325,80,16886.08108108108,17190.702702702703,169
75,7095.4,7398.653333333334,83,16988.933333333334,17292.18666666667,171
76,7192.513157894737,7494.421052631579,82,17152.552631578947,17454.46052631579,175
77,7289.779220779221,7590.363636363636,85,17253.909090909092,17554.493506493505,176
78,7385.9358974358975,7685.217948717948,83,17437.53846153846,17736.82051282051,179
79,7485.898734177215,7783.898734177215,85,17561.683544303796,17859.683544303796,181
80,7585.1125,7881.8375,86,17720.175,18016.9,183
81,7690.246913580247,7985.679012345679,86,17790.246913580246,18085.679012345678,185
82,7796.0609756097565,8090.195121951219,88,17964.89024390244,18259.024390243903,189
83,7904.963855421687,8197.795180722891,90,18079.578313253012,18372.409638554218,190
84,8001.666666666667,8293.17857142857,90,18223.70238095238,18515.214285714286,193
85,8099.094117647059,8389.270588235295,91,18305.929411764704,18596.105882352942,195
86,8197.732558139534,8486.593023255815,94,18443.46511627907,18732.325581395347,197
87,8283.057471264368,8570.597701149425,91,18522.379310344826,18809.919540229886,199
88,8369.125,8655.34090909091,93,18655.090909090908,18941.30681818182,203
89,8462.606741573034,8747.494382022473,93,18701.494382022473,18986.38202247191,204
90,8556.8,8840.377777777778,95,18856.17777777778,19139.755555555555,207
91,8653.285714285714,8935.560439560439,95,18955.252747252747,19237.527472527472,209
92,8754.934782608696,9035.891304347826,98,19105.92391304348,19386.880434782608,211
93,8853.935483870968,9133.591397849463,99,19201.516129032258,19481.172043010753,213
94,8950.54255319149,9228.91489361702,98,19349.542553191488,19627.91489361702,217
95,9049.115789473684,9326.21052631579,100,19443.526315789473,19720.621052631577,218
96,9150.427083333334,9426.239583333334,101,19558.583333333332,19834.395833333332,221
97,9250.680412371134,9525.216494845361,102,19589.39175257732,19863.927835051545,223
98,9352.836734693878,9626.091836734693,102,19697.581632653062,19970.836734693876,225
99,9458.31313131313,9730.29292929293,104,19753.343434343435,20025.323232323233,227
100,9566.87,9837.56,104,19886.79,20157.48,231
