no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,2.0,0,0.0,2.0,0
2,0.0,3.5,1,0.0,3.5,1
3,1.6666666666666667,6.666666666666667,2,0.6666666666666666,5.666666666666667,2
4,4.5,11.25,3,2.25,9.0,3
5,13.0,21.6,7,5.4,14.0,4
6,21.0,31.5,7,12.5,23.0,6
7,31.428571428571427,43.714285714285715,8,23.0,35.285714285714285,10
8,42.75,56.875,9,29.375,43.5,12
9,55.888888888888886,71.88888888888889,10,37.666666666666664,53.666666666666664,16
10,69.7,87.3,11,47.6,65.2,20
11,86.63636363636364,105.72727272727273,12,69.36363636363636,88.45454545454545,22
12,106.33333333333333,126.83333333333333,13,97.33333333333333,117.83333333333333,24
13,128.84615384615384,150.84615384615384,14,122.0,144.0,31
14,155.07142857142858,178.57142857142858,15,145.85714285714286,169.35714285714286,32
15,185.73333333333332,210.73333333333332,16,173.0,198.0,35
16,221.0,247.375,18,195.6875,222.0625,34
17,252.7058823529412,280.4117647058824,18,227.7058823529412,255.41176470588235,36
18,289.6111111111111,318.6666666666667,19,255.11111111111111,284.1666666666667,38
19,330.36842105263156,360.7368421052632,21,291.7368421052632,322.10526315789474,42
20,367.3,398.95,22,322.1,353.75,43
21,407.95238095238096,440.9047619047619,26,365.85714285714283,398.8095238095238,46
22,438.22727272727275,472.40909090909093,29,403.54545454545456,437.72727272727275,48
23,452.60869565217394,488.0869565217391,28,448.2173913043478,483.69565217391306,50
24,459.9583333333333,496.7083333333333,28,489.6666666666667,526.4166666666666,52
25,463.36,501.4,29,541.48,579.52,59
26,470.5,509.88461538461536,31,586.9615384615385,626.3461538461538,60
27,477.2962962962963,518.074074074074,31,637.5185185185185,678.2962962962963,66
28,486.57142857142856,528.6785714285714,33,677.3928571428571,719.5,65
29,496.7586206896552,540.2413793103449,35,732.9655172413793,776.448275862069,67
30,507.3,552.1,36,771.5666666666667,816.3666666666667,66
31,517.258064516129,563.3548387096774,39,836.9032258064516,883.0,73
32,522.46875,569.875,38,884.0625,931.46875,71
33,521.2121212121212,569.939393939394,40,946.4242424242424,995.1515151515151,74
34,518.7058823529412,568.7941176470588,38,996.4117647058823,1046.5,76
35,519.7714285714286,571.2285714285714,42,1063.6285714285714,1115.0857142857142,78
36,524.5555555555555,577.4166666666666,43,1091.0833333333333,1143.9444444444443,81
37,526.2162162162163,580.5135135135135,43,1118.4324324324325,1172.7297297297298,85
38,527.7368421052631,583.421052631579,43,1149.578947368421,1205.2631578947369,88
39,533.6153846153846,590.6666666666666,46,1183.6923076923076,1240.7435897435898,91
40,536.075,594.525,45,1223.425,1281.875,96
41,541.1463414634146,600.9512195121952,46,1259.121951219512,1318.9268292682927,98
42,547.7857142857143,608.9761904761905,48,1298.8333333333333,1360.0238095238096,102
43,552.6976744186046,615.2558139534884,49,1338.0,1400.5581395348838,106
44,560.4545454545455,624.3863636363636,50,1384.409090909091,1448.340909090909,109
45,567.8888888888889,633.1555555555556,52,1427.2444444444445,1492.5111111111112,112
46,576.5869565217391,643.1739130434783,52,1473.4565217391305,1540.0434782608695,117
47,586.9148936170212,654.8297872340426,54,1524.276595744681,1592.1914893617022,119
48,595.2083333333334,664.4791666666666,54,1579.5,1648.7708333333333,123
49,607.204081632653,677.8163265306123,55,1629.6122448979593,1700.2244897959183,127
50,620.04,691.96,58,1682.52,1754.44,130
51,635.7647058823529,708.9803921568628,59,1741.9019607843138,1815.1176470588234,133
52,649.6538461538462,724.1538461538462,60,1811.576923076923,1886.076923076923,138
53,666.7924528301887,742.6037735849056,61,1869.0566037735848,1944.867924528302,140
54,683.4814814814815,760.6111111111111,61,1929.7037037037037,2006.8333333333333,144
55,700.8,779.2727272727273,62,1998.8545454545454,2077.327272727273,148
56,719.9107142857143,799.75,65,2080.535714285714,2160.375,151
57,738.561403508772,819.7543859649123,65,2146.157894736842,2227.3508771929824,154
58,758.4655172413793,840.9827586206897,66,2213.948275862069,2296.4655172413795,159
59,781.6949152542373,865.5254237288135,68,2301.4745762711864,2385.3050847457625,161
60,811.3833333333333,896.5166666666667,71,2392.3166666666666,2477.45,165
61,828.1967213114754,914.655737704918,68,2465.3278688524592,2551.7868852459014,169
62,841.6451612903226,929.4193548387096,69,2540.516129032258,2628.2903225806454,172
63,856.8730158730159,945.952380952381,71,2627.1746031746034,2716.253968253968,175
64,871.28125,961.65625,73,2728.0,2818.375,180
65,889.9076923076923,981.5538461538462,73,2806.723076923077,2898.369230769231,182
66,909.0,1001.939393939394,73,2888.0757575757575,2981.0151515151515,186
67,930.8507462686567,1025.0597014925372,76,3343.820895522388,3438.0298507462685,190
68,954.1911764705883,1049.6764705882354,78,3820.705882352941,3916.1911764705883,191
69,977.9565217391304,1074.695652173913,79,3954.2028985507245,4050.942028985507,194
70,998.9857142857143,1096.9714285714285,80,4073.3285714285716,4171.314285714286,196
71,1021.8169014084507,1121.0422535211267,80,4183.774647887324,4283.0,198
72,1046.4583333333333,1146.9166666666667,82,4290.291666666667,4390.75,200
73,1071.013698630137,1172.7260273972602,83,4418.561643835616,4520.273972602739,204
74,1097.1756756756756,1200.162162162162,85,4529.1621621621625,4632.148648648648,205
75,1121.3333333333333,1225.6133333333332,85,4678.68,4782.96,208
76,1151.2763157894738,1256.842105263158,88,4807.671052631579,4913.236842105263,210
77,1185.948051948052,1292.8051948051948,89,4929.207792207792,5036.064935064935,212
78,1215.7692307692307,1323.8974358974358,90,5044.397435897436,5152.525641025641,214
79,1250.3417721518988,1359.759493670886,91,5203.037974683544,5312.455696202532,218
80,1281.9125,1392.625,92,5338.7625,5449.475,219
81,1312.0,1424.0246913580247,92,5485.765432098766,5597.79012345679,222
82,1348.8658536585365,1462.1829268292684,95,5607.378048780488,5720.695121951219,224
83,1383.0602409638554,1497.6626506024097,96,5757.795180722892,5872.3975903614455,226
84,1415.4404761904761,1531.3095238095239,96,5899.25,6015.119047619048,228
