no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,3.0,0,0.0,3.0,0
2,3.5,8.0,3,1.5,6.0,1
3,7.333333333333333,13.333333333333334,4,6.0,12.0,3
4,14.0,21.75,6,12.75,20.5,7
5,21.0,30.2,7,21.2,30.4,8
6,28.666666666666668,39.0,8,32.666666666666664,43.0,11
7,38.714285714285715,50.42857142857143,9,46.0,57.714285714285715,16
8,51.0,64.125,10,61.875,75.0,18
9,64.77777777777777,79.22222222222223,11,74.22222222222223,88.66666666666667,17
10,80.4,96.1,12,89.8,105.5,21
11,99.27272727272727,116.36363636363636,13,106.0909090909091,123.18181818181819,22
12,120.16666666666667,138.5,15,131.33333333333334,149.66666666666666,25
13,140.92307692307693,160.53846153846155,17,154.07692307692307,173.69230769230768,27
14,160.92857142857142,181.78571428571428,17,179.92857142857142,200.78571428571428,29
15,184.4,206.6,19,206.46666666666667,228.66666666666666,31
16,207.0,230.5,20,240.25,263.75,38
17,230.11764705882354,255.0,20,262.4117647058824,287.29411764705884,36
18,253.27777777777777,279.5,22,300.3333333333333,326.55555555555554,42
19,276.8421052631579,304.3157894736842,22,323.1578947368421,350.63157894736844,41
20,304.4,333.2,23,366.45,395.25,43
21,334.3333333333333,364.4761904761905,26,403.23809523809524,433.3809523809524,45
22,359.04545454545456,390.54545454545456,28,438.77272727272725,470.27272727272725,49
23,384.4782608695652,417.39130434782606,27,472.7391304347826,505.6521739130435,50
24,411.8333333333333,446.0833333333333,29,518.0,552.25,53
25,438.96,474.56,30,561.56,597.16,55
26,468.03846153846155,504.9230769230769,30,609.9615384615385,646.8461538461538,57
27,501.55555555555554,539.7777777777778,32,649.1851851851852,687.4074074074074,59
28,534.0714285714286,573.6071428571429,33,710.1071428571429,749.6428571428571,63
29,566.3793103448276,607.1724137931035,34,759.8965517241379,800.6896551724138,64
30,597.6,639.6666666666666,34,816.0333333333333,858.1,67
31,628.4516129032259,671.8064516129032,36,860.8709677419355,904.2258064516129,69
32,663.1875,707.8125,39,930.5,975.125,71
33,694.6060606060606,740.4545454545455,37,987.5757575757576,1033.4242424242425,73
34,726.1470588235294,773.1764705882352,40,1050.4411764705883,1097.4705882352941,77
35,755.7142857142857,803.9428571428572,40,1100.6857142857143,1148.9142857142858,78
36,790.3055555555555,839.7222222222222,43,1156.7777777777778,1206.1944444444443,81
37,822.8108108108108,873.4324324324324,44,1209.7027027027027,1260.3243243243244,83
38,850.578947368421,902.3684210526316,44,1290.3157894736842,1342.1052631578948,85
39,881.7692307692307,934.7435897435897,45,1357.923076923077,1410.8974358974358,87
40,910.225,964.425,46,1432.875,1487.075,91
41,941.780487804878,997.2439024390244,48,1505.7073170731708,1561.1707317073171,92
42,973.7380952380952,1030.5,48,1585.5238095238096,1642.2857142857142,95
43,1008.2790697674419,1066.3488372093022,50,1672.6976744186047,1730.7674418604652,100
44,1042.909090909091,1102.2727272727273,51,1784.4545454545455,1843.8181818181818,109
45,1077.7333333333333,1138.3777777777777,51,1864.5333333333333,1925.1777777777777,111
46,1114.8695652173913,1176.8260869565217,53,1943.1304347826087,2005.0869565217392,115
47,1152.0425531914893,1215.2978723404256,53,2003.936170212766,2067.191489361702,112
48,1190.25,1254.8333333333333,54,2104.6458333333335,2169.2291666666665,119
49,1232.9591836734694,1298.857142857143,57,2200.408163265306,2266.3061224489797,124
50,1273.4,1340.62,56,2282.78,2350.0,126
51,1317.7450980392157,1386.2549019607843,59,2351.372549019608,2419.8823529411766,125
52,1360.673076923077,1430.4615384615386,59,2464.923076923077,2534.7115384615386,129
53,1403.9245283018868,1474.9622641509434,61,2536.0754716981132,2607.1132075471696,123
54,1447.7037037037037,1519.962962962963,61,2622.1481481481483,2694.4074074074074,123
55,1494.0727272727272,1567.5636363636363,63,2699.7272727272725,2773.2181818181816,125
56,1543.767857142857,1618.5,63,2787.125,2861.8571428571427,127
57,1593.0701754385964,1669.017543859649,65,2866.1052631578946,2942.0526315789475,129
58,1642.2413793103449,1719.396551724138,65,2972.206896551724,3049.362068965517,133
59,1694.677966101695,1773.050847457627,67,3071.7796610169494,3150.1525423728813,134
60,1747.65,1827.2166666666667,67,3181.7166666666667,3261.2833333333333,137
61,1800.2622950819673,1881.0,69,3283.7049180327867,3364.44262295082,139
62,1855.0,1936.9032258064517,69,3396.451612903226,3478.3548387096776,141
63,1912.126984126984,1995.2063492063492,71,3483.2380952380954,3566.3174603174602,143
64,1967.15625,2051.390625,71,3580.078125,3664.3125,147
65,2025.2769230769231,2110.646153846154,73,3668.2,3753.5692307692307,148
66,2085.257575757576,2171.7727272727275,73,3766.8636363636365,3853.378787878788,151
67,2143.805970149254,2231.4776119402986,75,3858.313432835821,3945.9850746268658,153
68,2206.294117647059,2295.1176470588234,75,3980.794117647059,4069.6176470588234,155
69,2272.4057971014495,2362.391304347826,75,4096.695652173913,4186.68115942029,157
70,2346.0285714285715,2437.1714285714284,80,4222.971428571429,4314.114285714286,161
71,2412.3521126760565,2504.6619718309857,78,4321.380281690141,4413.69014084507,162
72,2482.1111111111113,2575.5694444444443,81,4451.25,4544.708333333333,165
73,2546.5342465753424,2641.1369863013697,80,4574.438356164384,4669.041095890411,167
74,2616.108108108108,2711.8513513513512,82,4685.054054054054,4780.7972972972975,169
75,2688.48,2785.346666666667,83,4788.213333333333,4885.08,171
76,2756.407894736842,2854.3947368421054,85,4924.131578947368,5022.118421052632,175
77,2829.6363636363635,2928.753246753247,84,5054.2467532467535,5153.363636363636,176
78,2902.923076923077,3003.1794871794873,86,5218.2692307692305,5318.525641025641,179
79,2975.1645569620255,3076.5443037974683,87,5352.506329113924,5453.886075949367,181
80,3051.125,3153.6125,87,5520.55,5623.0375,183
81,3128.703703703704,3232.320987654321,89,5659.197530864198,5762.814814814815,185
82,3205.317073170732,3310.0731707317073,90,5832.9390243902435,5937.695121951219,189
83,3287.867469879518,3393.759036144578,92,5975.915662650603,6081.807228915663,190
