no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,88.0,0,0.0,88.0,0
2,82.0,169.0,5,43.5,130.5,1
3,58.333333333333336,147.0,2,86.0,174.66666666666666,2
4,78.0,151.25,8,119.75,193.0,4
5,75.6,139.6,6,144.2,208.2,8
6,76.16666666666667,135.66666666666666,8,156.83333333333334,216.33333333333334,9
7,84.28571428571429,148.85714285714286,9,226.71428571428572,291.2857142857143,12
8,91.0,157.625,11,304.625,371.25,14
9,86.55555555555556,147.22222222222223,11,291.1111111111111,351.77777777777777,16
10,85.0,144.8,13,311.0,370.8,18
11,79.0,138.72727272727272,10,361.8181818181818,421.54545454545456,22
12,84.83333333333333,146.0,14,414.8333333333333,476.0,23
13,91.38461538461539,153.15384615384616,15,483.2307692307692,545.0,26
14,90.35714285714286,148.42857142857142,13,475.5,533.5714285714286,28
15,100.2,157.8,19,505.73333333333335,563.3333333333334,30
16,100.625,155.5,18,504.625,559.5,32
17,102.17647058823529,158.35294117647058,19,569.4117647058823,625.5882352941177,36
18,107.33333333333333,164.27777777777777,22,627.1666666666666,684.1111111111111,37
19,107.21052631578948,163.31578947368422,20,648.0526315789474,704.1578947368421,40
20,108.3,164.35,21,682.05,738.1,42
21,112.85714285714286,169.04761904761904,23,742.3333333333334,798.5238095238095,44
22,119.4090909090909,176.4090909090909,24,777.6363636363636,834.6363636363636,44
23,127.82608695652173,184.91304347826087,26,811.7826086956521,868.8695652173913,45
24,130.95833333333334,186.58333333333334,24,824.5833333333334,880.2083333333334,46
25,141.56,197.96,30,882.48,938.88,49
26,157.57692307692307,215.1153846153846,32,942.0,999.5384615384615,54
27,164.7037037037037,222.40740740740742,31,996.1111111111111,1053.8148148148148,56
28,171.0,228.57142857142858,31,1028.5357142857142,1086.107142857143,58
29,172.89655172413794,229.0,34,1034.551724137931,1090.655172413793,59
30,172.63333333333333,229.5,33,1092.1666666666667,1149.0333333333333,62
31,171.03225806451613,227.32258064516128,33,1116.6774193548388,1172.967741935484,63
32,169.84375,225.15625,34,1131.9375,1187.25,65
33,170.5151515151515,225.3939393939394,37,1190.6363636363637,1245.5151515151515,72
34,169.05882352941177,223.11764705882354,36,1189.264705882353,1243.3235294117646,74
35,168.94285714285715,222.45714285714286,37,1218.8,1272.3142857142857,78
36,173.16666666666666,227.30555555555554,40,1265.2222222222222,1319.361111111111,79
37,178.56756756756758,233.59459459459458,42,1343.3783783783783,1398.4054054054054,82
38,182.52631578947367,238.0,42,1366.157894736842,1421.6315789473683,85
39,186.66666666666666,242.51282051282053,44,1390.025641025641,1445.871794871795,88
40,189.05,244.725,43,1415.0,1470.675,92
41,193.21951219512195,249.21951219512195,46,1440.560975609756,1496.560975609756,95
42,199.61904761904762,256.6666666666667,47,1469.1666666666667,1526.2142857142858,99
43,202.34883720930233,259.09302325581393,47,1494.953488372093,1551.6976744186047,102
44,210.04545454545453,267.6363636363636,50,1525.909090909091,1583.5,106
45,217.33333333333334,275.8,50,1560.2222222222222,1618.6888888888889,109
46,222.6304347826087,281.5652173913044,49,1595.5652173913043,1654.5,113
47,226.70212765957447,285.40425531914894,51,1625.212765957447,1683.9148936170213,116
48,228.22916666666666,285.8958333333333,60,1636.5,1694.1666666666667,117
49,225.0204081632653,282.2448979591837,49,1664.938775510204,1722.1632653061224,121
50,222.86,279.28,53,1678.64,1735.06,123
51,219.68627450980392,275.4117647058824,56,1688.0588235294117,1743.7843137254902,123
52,216.53846153846155,272.9423076923077,51,1725.5192307692307,1781.923076923077,127
53,215.64150943396226,271.1132075471698,56,1728.5849056603774,1784.0566037735848,128
54,215.4814814814815,271.22222222222223,56,1765.962962962963,1821.7037037037037,131
55,216.4181818181818,271.96363636363634,61,1795.9636363636364,1851.509090909091,135
56,213.5,269.01785714285717,55,1828.2142857142858,1883.732142857143,139
57,211.6315789473684,267.3157894736842,56,1868.4561403508771,1924.140350877193,141
58,214.01724137931035,269.3448275862069,65,1905.448275862069,1960.7758620689656,146
59,211.32203389830508,265.96610169491527,62,1909.135593220339,1963.7796610169491,147
60,208.8,264.15,59,1956.1,2011.45,150
61,209.27868852459017,264.8688524590164,65,1988.8196721311476,2044.4098360655737,153
62,208.29032258064515,263.43548387096774,65,2017.6612903225807,2072.8064516129034,158
63,205.96825396825398,261.7936507936508,62,2072.222222222222,2128.0476190476193,160
64,205.546875,260.890625,67,2077.59375,2132.9375,162
65,204.66153846153847,260.4,67,2124.753846153846,2180.492307692308,165
66,203.72727272727272,259.6212121212121,67,2170.090909090909,2225.9848484848485,166
67,202.50746268656715,257.8955223880597,68,2173.1492537313434,2228.5373134328356,170
68,203.73529411764707,259.69117647058823,73,2224.455882352941,2280.4117647058824,172
69,203.0144927536232,258.8985507246377,72,2259.927536231884,2315.8115942028985,174
70,202.34285714285716,258.2142857142857,72,2309.285714285714,2365.157142857143,178
71,201.81690140845072,257.2112676056338,75,2311.323943661972,2366.718309859155,179
72,200.09722222222223,256.02777777777777,71,2365.5,2421.4305555555557,183
73,200.3835616438356,256.3424657534247,76,2403.1643835616437,2459.123287671233,186
74,199.17567567567568,254.75675675675674,74,2419.324324324324,2474.9054054054054,188
75,198.85333333333332,254.62666666666667,77,2457.0,2512.7733333333335,190
76,198.19736842105263,253.77631578947367,78,2492.5394736842104,2548.1184210526317,195
77,198.11688311688312,254.0909090909091,79,2532.7012987012986,2588.6753246753246,198
78,198.35897435897436,254.8846153846154,80,2578.3205128205127,2634.846153846154,201
79,198.13924050632912,254.56962025316454,80,2614.974683544304,2671.4050632911394,205
80,198.525,254.7875,83,2651.8125,2708.075,209
81,199.92592592592592,256.24691358024694,85,2693.6666666666665,2749.9876543209875,211
82,199.21951219512195,254.90243902439025,91,2692.5365853658536,2748.2195121951218,213
83,197.63855421686748,252.85542168674698,91,2702.277108433735,2757.4939759036147,214
84,197.23809523809524,252.97619047619048,87,2743.2619047619046,2799.0,218
85,196.6,252.69411764705882,87,2784.741176470588,2840.835294117647,221
86,195.54651162790697,251.37209302325581,88,2834.6976744186045,2890.5232558139537,225
87,195.44827586206895,251.3793103448276,90,2877.7816091954023,2933.712643678161,228
88,195.875,252.11363636363637,92,2914.715909090909,2970.9545454545455,232
89,195.56179775280899,252.14606741573033,91,2977.1348314606744,3033.7191011235955,235
90,195.33333333333334,251.7111111111111,93,3037.3444444444444,3093.722222222222,236
91,195.98901098901098,252.63736263736263,95,3100.868131868132,3157.5164835164837,240
92,196.5326086956522,253.3804347826087,95,3148.358695652174,3205.2065217391305,242
93,197.3548387096774,254.3763440860215,97,3190.505376344086,3247.52688172043,244
94,197.5531914893617,254.36170212765958,96,3226.446808510638,3283.255319148936,248
95,197.41052631578947,253.77894736842106,95,3234.557894736842,3290.926315789474,249
96,198.95833333333334,255.25,100,3274.6666666666665,3330.9583333333335,253
97,199.10309278350516,254.9278350515464,103,3278.0103092783506,3333.8350515463917,254
98,199.23469387755102,255.26530612244898,101,3320.908163265306,3376.938775510204,258
99,198.42424242424244,254.02020202020202,101,3327.151515151515,3382.747474747475,258
100,197.59,252.77,113,3334.66,3389.84,260
