no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,97.0,0,0.0,97.0,0
2,83.5,171.5,5,39.5,127.5,1
3,67.33333333333333,133.66666666666666,3,68.0,134.33333333333334,3
4,90.0,152.75,7,111.75,174.5,7
5,120.8,183.4,11,152.2,214.8,8
6,134.33333333333334,196.16666666666666,10,199.66666666666666,261.5,11
7,148.0,208.57142857142858,13,235.42857142857142,296.0,13
8,164.625,225.125,13,294.75,355.25,18
9,195.55555555555554,257.77777777777777,16,342.8888888888889,405.1111111111111,20
10,194.7,254.7,14,381.7,441.7,24
11,243.8181818181818,307.45454545454544,20,434.3636363636364,498.0,25
12,258.5,322.25,18,497.6666666666667,561.4166666666666,31
13,296.0,362.15384615384613,21,540.7692307692307,606.9230769230769,27
14,331.14285714285717,399.14285714285717,23,608.0714285714286,676.0714285714286,29
15,323.2,387.6666666666667,15,607.6,672.0666666666667,31
16,317.5,378.375,16,620.5,681.375,35
17,325.3529411764706,386.0,22,652.9411764705883,713.5882352941177,36
18,348.1111111111111,409.72222222222223,25,726.2222222222222,787.8333333333334,42
19,357.36842105263156,418.63157894736844,24,757.578947368421,818.8421052631579,44
20,357.85,416.7,20,774.35,833.2,46
21,364.1904761904762,422.0,23,791.952380952381,849.7619047619048,48
22,369.0,424.45454545454544,24,803.5454545454545,859.0,52
23,406.69565217391306,464.0,32,844.2608695652174,901.5652173913044,50
24,421.5833333333333,479.2916666666667,28,925.4583333333334,983.1666666666666,59
25,440.04,498.24,30,977.08,1035.28,65
26,447.0,503.88461538461536,26,998.0384615384615,1054.923076923077,63
27,459.962962962963,516.3703703703703,31,1012.6666666666666,1069.0740740740741,62
28,485.82142857142856,543.1071428571429,33,1087.25,1144.5357142857142,69
29,526.5862068965517,585.3103448275862,37,1125.9310344827586,1184.655172413793,64
30,544.7333333333333,603.6,34,1213.7666666666667,1272.6333333333334,77
31,565.2258064516129,624.4193548387096,35,1266.7096774193549,1325.9032258064517,82
32,590.84375,650.625,38,1330.84375,1390.625,88
33,615.2121212121212,675.5757575757576,37,1381.030303030303,1441.3939393939395,86
34,643.9705882352941,705.1470588235294,40,1458.264705882353,1519.4411764705883,94
35,667.7714285714286,729.4,39,1510.8285714285714,1572.4571428571428,95
36,691.1388888888889,752.9444444444445,40,1579.75,1641.5555555555557,98
37,710.2702702702703,770.8648648648649,39,1578.8108108108108,1639.4054054054054,100
38,738.5,799.8421052631579,43,1653.9473684210527,1715.2894736842106,102
39,763.7948717948718,825.4615384615385,44,1710.923076923077,1772.5897435897436,107
40,788.6,850.325,43,1759.35,1821.075,108
41,814.1219512195122,875.390243902439,43,1778.3658536585365,1839.6341463414635,109
42,838.1666666666666,898.452380952381,45,1797.3333333333333,1857.6190476190477,112
43,859.046511627907,918.2790697674419,45,1802.8139534883721,1862.046511627907,114
44,878.0681818181819,936.2272727272727,44,1812.5681818181818,1870.7272727272727,116
45,898.7333333333333,956.3555555555556,47,1834.4222222222222,1892.0444444444445,118
46,921.1304347826087,978.4130434782609,48,1870.391304347826,1927.6739130434783,122
47,943.5106382978723,999.5957446808511,52,1864.2553191489362,1920.340425531915,123
48,969.1041666666666,1026.1041666666667,53,1935.6875,1992.6875,129
49,987.3673469387755,1043.6938775510205,50,1950.1836734693877,2006.5102040816328,131
50,1012.52,1069.42,54,2012.5,2069.4,130
51,1032.9411764705883,1089.0,51,2019.0196078431372,2075.078431372549,132
52,1054.1538461538462,1109.3076923076924,52,2024.3653846153845,2079.519230769231,136
53,1077.4716981132076,1132.3396226415093,54,2038.3962264150944,2093.264150943396,137
54,1101.7222222222222,1155.7037037037037,56,2037.7037037037037,2091.685185185185,136
55,1126.9272727272728,1180.9636363636364,57,2052.309090909091,2106.3454545454547,135
56,1152.267857142857,1206.392857142857,59,2106.785714285714,2160.910714285714,137
57,1178.2280701754387,1231.7894736842106,59,2120.3333333333335,2173.8947368421054,139
58,1205.3620689655172,1259.051724137931,60,2175.4655172413795,2229.155172413793,143
59,1233.0,1286.677966101695,63,2208.271186440678,2261.9491525423728,144
60,1259.3,1312.1333333333334,65,2212.9333333333334,2265.766666666667,150
61,1284.5901639344263,1337.655737704918,63,2272.7704918032787,2325.8360655737706,156
62,1311.8064516129032,1365.032258064516,65,2328.2419354838707,2381.467741935484,158
63,1341.6031746031747,1395.4285714285713,67,2384.714285714286,2438.5396825396824,156
64,1372.78125,1427.15625,69,2447.328125,2501.703125,160
65,1400.6923076923076,1454.9846153846154,67,2477.8153846153846,2532.107692307692,161
66,1429.3939393939395,1483.3333333333333,67,2492.0757575757575,2546.0151515151515,161
67,1459.4328358208954,1512.9402985074628,68,2507.791044776119,2561.2985074626868,163
68,1493.3676470588234,1547.3676470588234,73,2567.8823529411766,2621.8823529411766,165
69,1525.623188405797,1579.6521739130435,71,2602.536231884058,2656.5652173913045,167
70,1557.2428571428572,1610.7285714285715,72,2601.8,2655.285714285714,167
71,1590.1971830985915,1643.7323943661972,73,2637.1267605633802,2690.6619718309857,168
72,1624.361111111111,1677.9722222222222,75,2704.8194444444443,2758.4305555555557,178
73,1657.9315068493152,1710.958904109589,76,2709.068493150685,2762.095890410959,180
74,1689.7837837837837,1742.581081081081,76,2732.0945945945946,2784.891891891892,180
75,1721.8533333333332,1774.2533333333333,75,2746.5733333333333,2798.9733333333334,182
76,1756.9736842105262,1809.5,78,2802.1184210526317,2854.6447368421054,185
77,1792.5974025974026,1845.1298701298701,80,2834.4025974025976,2886.935064935065,186
78,1830.1923076923076,1883.0897435897436,81,2893.5,2946.397435897436,190
79,1868.8101265822784,1921.860759493671,83,2949.6582278481014,3002.7088607594937,194
80,1905.7625,1958.6,81,2972.8375,3025.675,194
81,1944.283950617284,1996.7407407407406,83,2986.358024691358,3038.814814814815,196
82,1985.9146341463415,2038.7439024390244,85,3045.0,3097.829268292683,199
83,2025.2409638554218,2077.4457831325303,85,3039.9638554216867,3092.1686746987953,200
84,2066.285714285714,2118.7261904761904,86,3096.6785714285716,3149.1190476190477,204
85,2106.3882352941177,2158.6235294117646,85,3119.247058823529,3171.4823529411765,206
86,2150.9651162790697,2203.6046511627906,88,3179.8488372093025,3232.4883720930234,208
87,2194.1954022988507,2246.448275862069,86,3191.137931034483,3243.390804597701,210
88,2240.2613636363635,2292.5227272727275,91,3223.431818181818,3275.693181818182,211
89,2286.258426966292,2338.4719101123596,90,3252.61797752809,3304.8314606741574,212
90,2333.511111111111,2385.222222222222,93,3286.722222222222,3338.4333333333334,224
91,2381.2087912087914,2432.989010989011,92,3307.3956043956046,3359.1758241758243,217
92,2429.608695652174,2481.032608695652,91,3353.0652173913045,3404.4891304347825,231
93,2478.516129032258,2529.440860215054,95,3352.3870967741937,3403.3118279569894,233
94,2528.936170212766,2579.904255319149,95,3375.3829787234044,3426.351063829787,237
95,2581.705263157895,2632.8736842105263,99,3436.6,3487.7684210526318,238
96,2635.4791666666665,2686.3020833333335,102,3442.1354166666665,3492.9583333333335,245
97,2679.3917525773195,2729.8453608247423,97,3450.6701030927834,3501.1237113402062,247
98,2724.918367346939,2775.183673469388,99,3471.1632653061224,3521.4285714285716,247
99,2772.848484848485,2822.6666666666665,104,3471.818181818182,3521.6363636363635,249
100,2815.57,2865.42,101,3518.27,3568.12,265
