no_of_processes,hrrn_avg_wait_time,hrrn_avg_turnaround_time,hrrn_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,398.0,0,0.0,398.0,0
2,298.5,696.0,3,197.0,594.5,1
3,265.0,661.6666666666666,2,393.3333333333333,790.0,2
4,396.5,792.0,4,687.25,1082.75,4
5,515.2,909.6,5,1018.2,1412.6,8
6,627.0,1020.3333333333334,7,1301.5,1694.8333333333333,9
7,593.7142857142857,986.0,7,1613.142857142857,2005.4285714285713,12
8,568.5,959.5,8,1890.875,2281.875,14
9,548.4444444444445,938.1111111111111,9,2232.8888888888887,2622.5555555555557,16
10,532.1,920.3,10,2500.9,2889.1,18
11,518.7272727272727,905.3636363636364,11,2821.6363636363635,3208.2727272727275,22
12,507.4166666666667,892.4166666666666,12,3082.4166666666665,3467.4166666666665,23
13,497.6923076923077,881.2307692307693,13,3415.5384615384614,3799.076923076923,26
14,489.2857142857143,871.5,14,3669.5,4051.714285714286,28
15,482.0,862.9333333333333,15,3987.266666666667,4368.2,30
16,475.5,855.25,16,4240.8125,4620.5625,32
17,469.70588235294116,848.3529411764706,17,4569.35294117647,4948.0,36
18,464.55555555555554,842.1111111111111,18,4814.0,5191.555555555556,37
19,459.89473684210526,836.421052631579,19,5129.0,5505.526315789473,40
20,455.65,831.05,20,5367.1,5742.5,42
21,451.6190476190476,825.952380952381,21,5686.761904761905,6061.0952380952385,44
22,447.90909090909093,821.1363636363636,22,5919.0,6292.227272727273,46
23,444.39130434782606,816.4347826086956,23,6229.913043478261,6601.95652173913,50
24,441.0833333333333,811.9166666666666,24,6467.291666666667,6838.125,51
25,438.0,807.6,25,6781.76,7151.36,54
26,435.11538461538464,803.5384615384615,26,7015.961538461538,7384.384615384615,56
27,432.44444444444446,799.7037037037037,27,7322.0,7689.259259259259,58
28,429.92857142857144,796.0357142857143,28,7545.964285714285,7912.071428571428,60
29,427.55172413793105,792.5172413793103,29,7855.379310344828,8220.344827586207,64
30,425.26666666666665,789.0666666666667,30,8082.633333333333,8446.433333333332,65
31,423.0967741935484,785.741935483871,31,8381.967741935483,8744.612903225807,68
32,421.0,782.5,32,8606.625,8968.125,70
33,419.0,779.3636363636364,33,8920.0,9280.363636363636,78
34,417.05882352941177,776.2352941176471,34,9125.176470588236,9484.35294117647,77
35,415.1142857142857,773.1428571428571,35,9421.228571428572,9779.257142857143,84
36,413.25,770.1666666666666,36,9639.5,9996.416666666666,85
37,411.4594594594595,767.2162162162163,37,9925.54054054054,10281.297297297297,92
38,409.7105263157895,764.2894736842105,38,10114.078947368422,10468.657894736842,90
39,408.02564102564105,761.3846153846154,39,10403.666666666666,10757.02564102564,99
40,406.375,758.5,40,10609.4,10961.525,101
41,404.7317073170732,755.6341463414634,41,10881.975609756097,11232.878048780487,109
42,403.1190476190476,752.8333333333334,42,11071.42857142857,11421.142857142857,106
43,401.5813953488372,750.0697674418604,43,11335.046511627907,11683.53488372093,113
44,400.0681818181818,747.3636363636364,44,11510.0,11857.295454545454,111
45,398.6,744.6888888888889,45,11770.066666666668,12116.155555555555,113
46,397.17391304347825,742.0434782608696,46,11954.434782608696,12299.304347826086,115
47,395.78723404255317,739.468085106383,47,12200.063829787234,12543.744680851063,116
48,394.4583333333333,736.9583333333334,48,12370.479166666666,12712.979166666666,113
49,393.14285714285717,734.4285714285714,49,12641.632653061224,12982.918367346938,120
50,391.8,731.9,50,12830.1,13170.2,122
51,390.4901960784314,729.4313725490196,51,13077.588235294117,13416.529411764706,120
52,389.2307692307692,727.0192307692307,52,13251.288461538461,13589.076923076924,122
53,387.9811320754717,724.6415094339623,53,13507.849056603774,13844.509433962265,126
54,386.75925925925924,722.2592592592592,54,13677.185185185184,14012.685185185184,127
55,385.54545454545456,719.8545454545455,55,13923.6,14257.90909090909,130
56,384.3392857142857,717.4642857142857,56,14087.642857142857,14420.767857142857,132
57,383.140350877193,715.0526315789474,57,14316.38596491228,14648.298245614034,134
58,381.98275862068965,712.6896551724138,58,14474.810344827587,14805.51724137931,136
59,380.8474576271187,710.3728813559322,59,14700.610169491525,15030.135593220339,137
60,379.75,708.0666666666667,60,14853.85,15182.166666666666,138
61,378.62295081967216,705.7213114754098,61,15088.065573770491,15415.16393442623,141
62,377.48387096774195,703.3709677419355,62,15236.806451612903,15562.693548387097,143
63,376.36507936507934,701.031746031746,63,15448.825396825398,15773.492063492064,142
64,375.265625,698.71875,64,15592.484375,15915.9375,144
65,374.18461538461537,696.4461538461538,65,15800.307692307691,16122.569230769232,148
66,373.1212121212121,694.1666666666666,66,15919.818181818182,16240.863636363636,149
67,372.02985074626866,691.8656716417911,67,16138.611940298508,16458.44776119403,152
68,370.94117647058823,689.5441176470588,68,16291.926470588236,16610.529411764706,154
69,369.8550724637681,687.2028985507246,69,16505.391304347828,16822.739130434784,156
70,368.77142857142854,684.8857142857142,70,16655.0,16971.114285714284,158
71,367.71830985915494,682.5774647887324,71,16840.87323943662,17155.732394366198,162
72,366.6666666666667,680.2916666666666,72,16944.11111111111,17257.73611111111,163
73,365.63013698630135,678.027397260274,73,17128.08219178082,17440.479452054795,166
74,364.5945945945946,675.7432432432432,74,17246.756756756757,17557.905405405407,168
75,363.53333333333336,673.44,75,17422.413333333334,17732.32,170
76,362.4736842105263,671.1315789473684,76,17514.092105263157,17822.75,172
77,361.42857142857144,668.8441558441558,77,17686.051948051947,17993.467532467534,176
78,360.3974358974359,666.5769230769231,78,17796.628205128207,18102.80769230769,177
79,359.36708860759495,664.3037974683544,79,17985.278481012658,18290.21518987342,180
80,358.35,662.0625,80,18092.6625,18396.375,182
81,357.34567901234567,659.8148148148148,81,18278.53086419753,18581.0,184
82,356.3170731707317,657.5243902439024,82,18403.09756097561,18704.30487804878,186
83,355.28915662650604,655.2289156626506,83,18556.36144578313,18856.301204819276,190
84,354.25,652.9047619047619,84,18625.345238095237,18924.0,191
85,353.21176470588233,650.5882352941177,85,18799.105882352942,19096.482352941177,194
86,352.1744186046512,648.2674418604652,86,18914.302325581397,19210.39534883721,196
87,351.14942528735634,645.9655172413793,87,19056.275862068964,19351.091954022988,198
88,350.125,643.6477272727273,88,19140.56818181818,19434.090909090908,200
89,349.07865168539325,641.2921348314607,89,19275.70786516854,19567.921348314605,204
90,348.03333333333336,638.9444444444445,90,19354.6,19645.51111111111,205
91,346.989010989011,636.5824175824176,91,19509.45054945055,19799.043956043955,208
92,345.92391304347825,634.1847826086956,92,19608.75,19897.010869565216,210
93,344.83870967741933,631.763440860215,93,19807.225806451614,20094.15053763441,218
94,343.78723404255317,629.3617021276596,94,19849.63829787234,20135.212765957447,217
95,342.7578947368421,626.978947368421,95,19964.136842105265,20248.35789473684,221
96,341.7395833333333,624.625,96,19972.260416666668,20255.145833333332,219
97,340.74226804123714,622.3092783505155,97,20141.0412371134,20422.60824742268,225
98,339.7551020408163,620.0,98,20229.418367346938,20509.663265306124,227
99,338.77777777777777,617.6868686868687,99,20336.989898989897,20615.89898989899,226
