no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,400.0,0,0.0,400.0,0
2,393.0,791.5,7,198.5,597.0,1
3,511.6666666666667,909.3333333333334,8,528.6666666666666,926.3333333333334,3
4,658.0,1054.25,11,888.25,1284.5,7
5,812.4,1207.6,14,1181.8,1577.0,8
6,963.3333333333334,1357.6666666666667,15,1505.6666666666667,1900.0,11
7,1118.4285714285713,1512.0,18,1789.857142857143,2183.4285714285716,13
8,1266.375,1659.25,19,2149.125,2542.0,15
9,1415.7777777777778,1807.888888888889,21,2427.3333333333335,2819.4444444444443,17
10,1558.2,1949.4,23,2762.6,3153.8,21
11,1696.1818181818182,2086.5454545454545,24,3036.181818181818,3426.5454545454545,22
12,1832.3333333333333,2221.8333333333335,26,3391.0,3780.5,28
13,1962.1538461538462,2350.6923076923076,27,3658.076923076923,4046.6153846153848,30
14,2092.214285714286,2479.8571428571427,29,3994.0714285714284,4381.714285714285,35
15,2216.8,2603.6,29,4259.466666666666,4646.266666666666,37
16,2343.6875,2729.625,32,4606.9375,4992.875,45
17,2460.3529411764707,2845.4117647058824,32,4863.64705882353,5248.705882352941,42
18,2575.8888888888887,2960.0555555555557,34,5190.722222222223,5574.888888888889,42
19,2688.157894736842,3071.4736842105262,35,5444.263157894737,5827.578947368421,44
20,2802.2,3184.7,37,5784.8,6167.3,46
21,2911.0,3292.5714285714284,37,6037.571428571428,6419.142857142857,48
22,3019.9545454545455,3400.590909090909,37,6364.5,6745.136363636364,52
23,3131.4347826086955,3511.1739130434785,38,6605.260869565217,6985.0,50
24,3239.625,3618.5,40,6931.333333333333,7310.208333333333,53
25,3346.88,3724.92,42,7172.84,7550.88,55
26,3452.653846153846,3829.8846153846152,42,7496.615384615385,7873.846153846154,57
27,3556.6666666666665,3933.037037037037,44,7741.740740740741,8118.111111111111,59
28,3656.285714285714,4031.8214285714284,44,8068.964285714285,8444.5,63
29,3754.4827586206898,4129.137931034483,46,8310.655172413793,8685.310344827587,64
30,3851.0666666666666,4224.866666666667,46,8628.1,9001.9,67
31,3945.2258064516127,4318.129032258064,46,8857.806451612903,9230.709677419354,69
32,4038.28125,4410.28125,47,9176.375,9548.375,71
33,4128.484848484848,4499.545454545455,47,9400.818181818182,9771.878787878788,73
