no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,5.0,0,0.0,5.0,0
2,2.5,9.0,1,0.5,7.0,1
3,6.0,14.0,2,2.0,10.0,2
4,15.25,24.25,7,4.5,13.5,3
5,15.4,25.8,5,8.0,18.4,6
6,16.333333333333332,28.166666666666668,5,14.666666666666666,26.5,10
7,24.857142857142858,38.142857142857146,10,24.857142857142858,38.142857142857146,11
8,33.875,48.75,12,37.75,52.625,14
9,31.11111111111111,47.666666666666664,8,45.111111111111114,61.666666666666664,17
10,31.9,49.9,9,55.1,73.1,20
11,41.09090909090909,60.63636363636363,15,68.0909090909091,87.63636363636364,24
12,50.25,71.25,16,81.66666666666667,102.66666666666667,27
13,47.61538461538461,70.15384615384616,12,96.6923076923077,119.23076923076923,31
14,51.285714285714285,75.21428571428571,17,131.0,154.92857142857142,34
15,52.2,77.4,17,172.86666666666667,198.06666666666666,36
16,53.5625,80.0625,17,199.625,226.125,38
17,58.76470588235294,86.6470588235294,21,225.76470588235293,253.64705882352942,40
18,57.5,86.72222222222223,17,264.5,293.72222222222223,47
19,61.89473684210526,92.36842105263158,22,293.6842105263158,324.1578947368421,45
20,65.55,97.2,22,330.1,361.75,48
21,70.0,102.76190476190476,24,361.1904761904762,393.95238095238096,50
22,74.86363636363636,108.77272727272727,26,406.3181818181818,440.22727272727275,52
23,77.34782608695652,112.47826086956522,25,446.1304347826087,481.2608695652174,54
24,82.5,118.83333333333333,28,487.25,523.5833333333334,58
25,85.28,122.8,27,524.64,562.16,59
26,90.53846153846153,129.26923076923077,29,572.9230769230769,611.6538461538462,65
27,96.14814814814815,136.14814814814815,30,613.3703703703703,653.3703703703703,67
28,102.25,143.57142857142858,32,671.4285714285714,712.75,72
29,108.03448275862068,150.6551724137931,32,718.0,760.6206896551724,71
30,116.6,160.56666666666666,34,786.2666666666667,830.2333333333333,78
31,127.80645161290323,173.1290322580645,37,839.0322580645161,884.3548387096774,79
32,138.59375,185.25,37,904.25,950.90625,86
33,151.24242424242425,199.24242424242425,38,951.8181818181819,999.8181818181819,84
34,164.58823529411765,213.94117647058823,39,1011.6764705882352,1061.0294117647059,86
35,181.02857142857144,231.71428571428572,42,1048.9142857142858,1099.6,82
36,197.83333333333334,249.83333333333334,42,1107.611111111111,1159.611111111111,86
37,213.72972972972974,267.02702702702703,42,1159.3783783783783,1212.6756756756756,87
38,232.28947368421052,286.89473684210526,44,1220.8684210526317,1275.4736842105262,90
39,249.33333333333334,305.2307692307692,44,1274.871794871795,1330.7692307692307,92
40,270.425,327.625,45,1348.65,1405.85,94
41,290.8536585365854,349.390243902439,48,1417.1951219512196,1475.7317073170732,96
42,313.95238095238096,373.85714285714283,48,1507.6904761904761,1567.595238095238,100
43,336.16279069767444,397.3953488372093,48,1580.3720930232557,1641.6046511627908,101
44,360.95454545454544,423.54545454545456,50,1615.409090909091,1678.0,103
45,387.2,451.1111111111111,52,1649.2,1713.111111111111,107
46,415.30434782608694,480.5,52,1687.9347826086957,1753.1304347826087,111
47,441.9574468085106,508.40425531914894,55,1726.6382978723404,1793.0851063829787,113
48,473.4375,541.1041666666666,57,1770.9375,1838.6041666666667,118
49,498.7551020408163,567.6326530612245,57,1811.857142857143,1880.734693877551,121
50,527.18,597.3,57,1857.7,1927.82,124
51,552.5882352941177,623.9607843137255,57,1905.686274509804,1977.0588235294117,128
52,582.7884615384615,655.4230769230769,62,1958.7692307692307,2031.4038461538462,132
53,606.5094339622641,680.377358490566,60,2007.1509433962265,2081.0188679245284,134
54,632.925925925926,708.0,62,2059.777777777778,2134.8518518518517,139
55,661.4545454545455,737.7636363636364,65,2116.1454545454544,2192.4545454545455,142
56,684.9285714285714,762.4464285714286,64,2177.3571428571427,2254.875,145
57,710.6315789473684,789.3333333333334,65,2231.877192982456,2310.5789473684213,149
58,734.8448275862069,814.7413793103449,65,2290.7586206896553,2370.655172413793,153
59,764.9322033898305,846.0,69,2355.0169491525426,2436.084745762712,155
60,790.25,872.4833333333333,68,2430.6833333333334,2512.9166666666665,160
61,817.7704918032787,901.1803278688525,70,2492.311475409836,2575.72131147541,163
62,843.8548387096774,928.4354838709677,70,2557.8709677419356,2642.451612903226,166
63,875.3492063492064,961.0952380952381,73,2630.4285714285716,2716.1746031746034,170
64,903.78125,990.703125,73,2707.5625,2794.484375,174
65,933.7076923076924,1021.8,73,2775.5384615384614,2863.630769230769,176
66,963.2121212121212,1052.5,74,2847.590909090909,2936.878787878788,181
67,997.7611940298508,1088.2238805970148,77,2928.6417910447763,3019.10447761194,184
68,1028.3823529411766,1120.014705882353,77,3023.6029411764707,3115.235294117647,187
69,1060.4057971014493,1153.2028985507247,80,3098.4927536231885,3191.289855072464,191
70,1087.9285714285713,1181.9,79,3176.8142857142857,3270.785714285714,195
71,1115.4507042253522,1210.5915492957747,81,3277.6619718309857,3372.8028169014083,197
72,1142.861111111111,1239.1666666666667,81,3382.6805555555557,3478.9861111111113,202
73,1173.150684931507,1270.6164383561643,83,3464.4383561643835,3561.904109589041,205
74,1203.5405405405406,1302.162162162162,83,3548.891891891892,3647.5135135135133,208
75,1235.1866666666667,1334.96,85,3659.7466666666664,3759.52,212
76,1268.4473684210527,1369.3552631578948,86,3773.592105263158,3874.5,216
77,1301.7142857142858,1403.7532467532467,88,3861.7922077922076,3963.8311688311687,218
78,1340.576923076923,1443.7307692307693,88,3951.871794871795,4055.025641025641,223
79,1376.9113924050632,1481.1645569620252,88,4041.481012658228,4145.734177215189,226
80,1416.1875,1521.5375,91,4148.0,4253.35,229
81,1455.7654320987654,1562.1975308641975,92,4240.16049382716,4346.592592592592,233
82,1495.9024390243903,1603.439024390244,92,4335.024390243902,4442.5609756097565,237
83,1539.3855421686746,1648.012048192771,94,4970.987951807229,5079.614457831325,239
84,1578.3095238095239,1688.0238095238096,94,5615.714285714285,5725.428571428572,241
85,1615.4941176470588,1726.3176470588235,94,5739.423529411764,5850.247058823529,245
86,1651.9186046511627,1763.8488372093022,94,5862.686046511628,5974.616279069767,246
87,1698.367816091954,1811.4137931034484,98,5989.666666666667,6102.712643678161,249
88,1738.5795454545455,1852.7613636363637,98,6115.227272727273,6229.409090909091,251
89,1782.6179775280898,1897.9550561797753,98,6246.112359550561,6361.449438202248,253
90,1831.1444444444444,1947.6222222222223,101,6373.988888888889,6490.466666666666,255
91,1877.8241758241759,1995.4395604395604,103,6507.087912087912,6624.7032967032965,259
92,1922.2391304347825,2040.9782608695652,103,6635.478260869565,6754.217391304348,260
93,1971.4516129032259,2091.3225806451615,106,6789.978494623656,6909.8494623655915,263
94,2022.159574468085,2143.159574468085,105,6921.244680851064,7042.244680851064,265
95,2070.5052631578947,2192.621052631579,105,7099.547368421053,7221.663157894737,267
96,2117.9375,2241.1666666666665,106,7253.177083333333,7376.40625,269
97,2167.855670103093,2292.1958762886597,109,7415.0,7539.340206185567,273
98,2219.5204081632655,2344.969387755102,110,7572.234693877551,7697.683673469388,274
99,2268.656565656566,2395.212121212121,111,7738.323232323232,7864.878787878788,277
100,2321.02,2448.69,112,7921.44,8049.11,282
