no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,4.0,0,0.0,4.0,0
2,5.0,11.0,3,2.0,8.0,1
3,8.333333333333334,15.333333333333334,4,8.0,15.0,3
4,14.75,23.25,6,15.25,23.75,7
5,21.4,31.0,7,23.2,32.8,8
6,28.833333333333332,39.666666666666664,8,35.0,45.833333333333336,11
7,40.0,52.285714285714285,11,47.857142857142854,60.142857142857146,13
8,49.0,62.5,11,61.0,74.5,15
9,58.55555555555556,73.22222222222223,12,73.88888888888889,88.55555555555556,17
10,69.1,84.9,13,91.7,107.5,21
11,81.0909090909091,98.0,14,110.9090909090909,127.81818181818181,22
12,93.83333333333333,111.83333333333333,15,136.0,154.0,25
13,110.46153846153847,129.69230769230768,16,160.84615384615384,180.07692307692307,30
14,129.57142857142858,150.14285714285714,17,183.64285714285714,204.21428571428572,32
15,152.66666666666666,174.66666666666666,20,206.26666666666668,228.26666666666668,34
16,177.5,201.0,21,239.625,263.125,41
17,201.35294117647058,226.41176470588235,21,264.11764705882354,289.1764705882353,39
18,224.94444444444446,251.44444444444446,21,294.0,320.5,39
19,252.78947368421052,280.7368421052632,22,320.5263157894737,348.4736842105263,41
20,282.55,311.85,25,357.6,386.9,43
21,311.6190476190476,342.3333333333333,26,386.9047619047619,417.6190476190476,45
22,337.45454545454544,369.54545454545456,27,427.59090909090907,459.6818181818182,49
23,363.04347826086956,396.4782608695652,27,459.7826086956522,493.2173913043478,50
24,391.625,426.4583333333333,28,511.9583333333333,546.7916666666666,53
25,422.12,458.32,30,555.88,592.08,55
26,452.4230769230769,490.0,30,612.6923076923077,650.2692307692307,57
27,485.44444444444446,524.4444444444445,33,661.7777777777778,700.7777777777778,59
28,519.6428571428571,560.0357142857143,33,724.2857142857143,764.6785714285714,63
29,557.551724137931,599.3793103448276,34,777.5862068965517,819.4137931034483,64
30,597.4333333333333,640.6666666666666,36,852.8333333333334,896.0666666666667,70
31,635.4516129032259,680.0967741935484,36,901.7741935483871,946.4193548387096,69
32,674.46875,720.46875,38,973.78125,1019.78125,71
33,716.3939393939394,763.6969696969697,40,1032.878787878788,1080.1818181818182,73
34,750.6764705882352,799.2941176470588,40,1088.6764705882354,1137.2941176470588,77
35,787.3714285714286,837.3428571428572,40,1141.0857142857142,1191.057142857143,78
36,823.75,875.0555555555555,42,1210.8333333333333,1262.138888888889,81
37,863.5945945945946,916.2432432432432,45,1276.837837837838,1329.4864864864865,83
38,898.5526315789474,952.5,43,1338.342105263158,1392.2894736842106,85
39,934.6410256410256,989.8974358974359,45,1395.3333333333333,1450.5897435897436,87
40,970.125,1026.65,45,1483.3,1539.825,91
41,1007.0,1064.780487804878,47,1555.121951219512,1612.9024390243903,92
42,1049.3333333333333,1108.3809523809523,49,1635.2380952380952,1694.2857142857142,95
43,1092.1627906976744,1152.4883720930231,51,1698.5813953488373,1758.906976744186,97
44,1129.409090909091,1191.0454545454545,50,1783.659090909091,1845.2954545454545,99
45,1168.8222222222223,1231.7333333333333,52,1849.911111111111,1912.8222222222223,101
46,1210.4347826086957,1274.6521739130435,52,1952.1739130434783,2016.391304347826,105
47,1253.0425531914893,1318.531914893617,54,2036.0212765957447,2101.5106382978724,106
48,1295.1875,1361.9791666666667,54,2129.125,2195.9166666666665,109
49,1342.3469387755101,1410.4489795918366,56,2202.591836734694,2270.6938775510203,111
50,1393.48,1462.88,59,2298.86,2368.26,113
51,1438.686274509804,1509.4117647058824,57,2390.823529411765,2461.549019607843,115
52,1484.7692307692307,1556.826923076923,60,2534.4423076923076,2606.5,125
53,1533.132075471698,1606.5094339622642,60,2629.8867924528304,2703.264150943396,126
54,1584.5740740740741,1659.2777777777778,63,2747.3888888888887,2822.0925925925926,133
55,1632.3818181818183,1708.3818181818183,62,2820.4727272727273,2896.4727272727273,131
56,1680.4107142857142,1757.6964285714287,64,2957.3928571428573,3034.6785714285716,137
57,1728.421052631579,1806.982456140351,64,3018.4736842105262,3097.035087719298,129
58,1780.9137931034484,1860.7241379310344,66,3129.689655172414,3209.5,133
59,1834.6440677966102,1915.6949152542372,66,3216.084745762712,3297.135593220339,134
60,1888.3833333333334,1970.6833333333334,68,3331.1,3413.4,137
61,1944.2459016393443,2027.8196721311476,68,3455.9180327868853,3539.4918032786886,142
62,2002.6774193548388,2087.5,68,3539.1451612903224,3623.967741935484,141
63,2064.9523809523807,2151.031746031746,70,3630.7936507936506,3716.873015873016,143
64,2128.03125,2215.390625,72,3734.171875,3821.53125,147
65,2191.7384615384617,2280.3846153846152,72,3828.892307692308,3917.5384615384614,148
66,2256.8636363636365,2346.7727272727275,74,3953.939393939394,4043.848484848485,151
67,2325.3582089552237,2416.5223880597014,74,4070.8507462686566,4162.014925373134,153
68,2391.8382352941176,2484.235294117647,76,4220.0,4312.39705882353,155
69,2461.3478260869565,2554.985507246377,76,4340.550724637681,4434.188405797101,157
70,2537.1428571428573,2632.0,80,4472.5142857142855,4567.371428571429,161
71,2608.8169014084506,2704.9014084507044,79,4574.507042253521,4670.591549295775,162
72,2677.777777777778,2775.1111111111113,80,4711.347222222223,4808.680555555556,165
73,2750.753424657534,2849.328767123288,81,4838.972602739726,4937.54794520548,167
74,2822.135135135135,2921.9324324324325,83,4955.8378378378375,5055.635135135135,169
75,2898.8933333333334,2999.9333333333334,84,5063.786666666667,5164.826666666667,171
76,2974.842105263158,3077.1184210526317,85,5207.263157894737,5309.539473684211,175
77,3048.012987012987,3151.5064935064934,84,5340.805194805195,5444.298701298701,176
78,3123.358974358974,3228.076923076923,87,5463.602564102564,5568.320512820513,179
79,3201.9240506329115,3307.8734177215188,87,5576.911392405063,5682.860759493671,181
80,3282.1625,3389.325,89,5726.6625,5833.825,183
