no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,94.0,0,0.0,94.0,0
2,47.5,98.0,5,46.0,96.5,1
3,40.666666666666664,83.33333333333333,3,63.0,105.66666666666667,2
4,44.25,84.25,6,84.25,124.25,4
5,39.4,91.2,4,109.2,161.0,8
6,52.666666666666664,97.0,8,116.83333333333333,161.16666666666666,9
7,57.42857142857143,103.14285714285714,8,150.42857142857142,196.14285714285714,15
8,66.25,111.5,9,175.5,220.75,17
9,85.77777777777777,135.88888888888889,11,224.0,274.1111111111111,16
10,99.4,148.5,12,253.7,302.8,18
11,109.36363636363636,154.0909090909091,20,257.90909090909093,302.6363636363636,28
12,101.41666666666667,150.66666666666666,11,300.0833333333333,349.3333333333333,23
13,106.53846153846153,156.84615384615384,16,345.84615384615387,396.15384615384613,26
14,101.57142857142857,149.14285714285714,16,350.14285714285717,397.7142857142857,28
15,96.06666666666666,142.66666666666666,14,381.06666666666666,427.6666666666667,36
16,93.3125,141.9375,15,412.625,461.25,32
17,100.17647058823529,149.0,20,459.52941176470586,508.3529411764706,36
18,109.44444444444444,158.88888888888889,23,492.6666666666667,542.1111111111111,37
19,109.78947368421052,160.8421052631579,21,562.6842105263158,613.7368421052631,40
20,109.45,160.9,21,621.05,672.5,42
21,112.85714285714286,164.71428571428572,24,681.9047619047619,733.7619047619048,50
22,114.95454545454545,166.6818181818182,25,707.4090909090909,759.1363636363636,52
23,114.91304347826087,166.34782608695653,24,735.9565217391304,787.3913043478261,67
24,119.58333333333333,171.91666666666666,28,788.3333333333334,840.6666666666666,57
25,118.76,169.2,29,790.52,840.96,64
26,117.84615384615384,168.73076923076923,29,834.0769230769231,884.9615384615385,66
27,115.92592592592592,166.1851851851852,28,856.8148148148148,907.074074074074,75
28,115.5,166.03571428571428,31,899.8214285714286,950.3571428571429,77
29,114.20689655172414,164.31034482758622,30,924.7241379310345,974.8275862068965,81
30,112.63333333333334,161.53333333333333,32,926.0333333333333,974.9333333333333,82
31,112.80645161290323,162.48387096774192,33,986.0645161290323,1035.741935483871,85
32,111.0625,159.28125,37,977.90625,1026.125,87
33,108.66666666666667,158.1818181818182,32,1047.909090909091,1097.4242424242425,85
34,110.55882352941177,160.3235294117647,37,1093.5294117647059,1143.2941176470588,87
35,111.34285714285714,162.5142857142857,37,1166.5714285714287,1217.7428571428572,88
36,111.77777777777777,162.75,38,1185.0,1235.9722222222222,89
37,117.72972972972973,169.97297297297297,43,1257.837837837838,1310.081081081081,95
38,117.52631578947368,168.92105263157896,40,1260.3157894736842,1311.7105263157894,97
39,115.8974358974359,167.97435897435898,38,1283.974358974359,1336.051282051282,104
40,117.875,170.3,44,1307.9,1360.325,110
41,116.4390243902439,167.9268292682927,40,1323.9512195121952,1375.439024390244,112
42,115.4047619047619,166.54761904761904,41,1348.047619047619,1399.1904761904761,119
43,115.93023255813954,166.27906976744185,46,1364.046511627907,1414.3953488372092,120
44,118.11363636363636,168.8181818181818,47,1389.0681818181818,1439.7727272727273,126
45,119.31111111111112,169.35555555555555,49,1405.7111111111112,1455.7555555555555,128
46,118.21739130434783,168.67391304347825,45,1432.2826086956522,1482.7391304347825,135
47,120.02127659574468,170.7659574468085,51,1463.6808510638298,1514.4255319148936,139
48,119.41666666666667,169.25,56,1474.5833333333333,1524.4166666666667,140
49,118.51020408163265,167.81632653061226,52,1489.469387755102,1538.7755102040817,146
50,117.08,166.0,49,1517.4,1566.32,150
51,116.29411764705883,164.2941176470588,53,1519.862745098039,1567.862745098039,152
52,115.0,162.6153846153846,51,1545.8846153846155,1593.5,154
53,114.52830188679245,161.52830188679246,56,1554.6415094339623,1601.6415094339623,156
54,113.35185185185185,161.12962962962962,53,1590.5925925925926,1638.3703703703704,163
55,114.96363636363637,163.16363636363636,58,1587.090909090909,1635.290909090909,126
56,114.66071428571429,162.66071428571428,57,1617.625,1665.625,130
57,114.84210526315789,162.47368421052633,59,1644.2456140350878,1691.877192982456,132
58,118.63793103448276,167.1551724137931,63,1677.7758620689656,1726.2931034482758,134
59,118.28813559322033,166.16949152542372,65,1689.7288135593221,1737.6101694915253,136
60,117.96666666666667,165.83333333333334,62,1720.6,1768.4666666666667,139
61,117.88524590163935,165.85245901639345,63,1751.5737704918033,1799.5409836065573,143
62,119.43548387096774,167.8709677419355,66,1784.1612903225807,1832.5967741935483,146
63,121.57142857142857,170.6984126984127,67,1819.4444444444443,1868.5714285714287,150
64,123.078125,172.546875,67,1852.453125,1901.921875,153
65,124.81538461538462,174.6153846153846,69,1885.9846153846154,1935.7846153846153,155
66,124.71212121212122,174.0,66,1898.590909090909,1947.878787878788,158
67,125.65671641791045,174.77611940298507,70,1927.55223880597,1976.6716417910447,159
68,126.57352941176471,175.4264705882353,70,1954.8235294117646,2003.6764705882354,162
69,127.69565217391305,176.40579710144928,72,1985.2028985507247,2033.9130434782608,167
70,127.97142857142858,176.14285714285714,76,1995.5428571428572,2043.7142857142858,167
71,127.26760563380282,174.83098591549296,82,1998.0281690140846,2045.5915492957747,169
72,126.13888888888889,173.76388888888889,71,2031.0277777777778,2078.652777777778,172
73,127.0958904109589,175.3972602739726,77,2069.972602739726,2118.27397260274,175
74,126.13513513513513,174.83783783783784,73,2106.5,2155.2027027027025,179
75,126.88,175.64,78,2139.76,2188.52,183
76,126.69736842105263,175.52631578947367,77,2185.6973684210525,2234.5263157894738,185
77,128.4935064935065,177.98701298701297,81,2229.064935064935,2278.5584415584417,187
