no_of_processes,err_avg_wait_time,err_avg_turnaround_time,err_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,46.0,0,0.0,46.0,0
2,46.5,94.0,6,23.0,70.5,1
3,89.0,153.33333333333334,7,63.333333333333336,127.66666666666667,3
4,116.0,183.0,9,124.25,191.25,7
5,102.2,160.6,6,130.4,188.8,8
6,140.83333333333334,203.0,13,199.16666666666666,261.3333333333333,11
7,156.57142857142858,218.42857142857142,12,238.42857142857142,300.2857142857143,13
8,179.75,242.125,13,304.0,366.375,18
9,169.88888888888889,225.55555555555554,10,295.8888888888889,351.55555555555554,20
10,162.9,213.6,10,297.8,348.5,24
11,189.63636363636363,241.72727272727272,17,350.54545454545456,402.6363636363636,25
12,243.75,299.75,20,425.1666666666667,481.1666666666667,31
13,243.53846153846155,297.7692307692308,16,440.53846153846155,494.7692307692308,33
14,240.64285714285714,292.07142857142856,15,448.85714285714283,500.2857142857143,35
15,260.1333333333333,312.4,20,505.0,557.2666666666667,37
16,294.375,348.4375,25,576.375,630.4375,41
17,298.5882352941176,352.11764705882354,20,600.1176470588235,653.6470588235294,42
18,311.6666666666667,365.5,22,645.8333333333334,699.6666666666666,45
19,313.89473684210526,365.4736842105263,21,651.1052631578947,702.6842105263158,47
20,316.9,366.15,22,639.35,688.6,49
21,322.42857142857144,371.1904761904762,23,642.047619047619,690.8095238095239,51
22,367.54545454545456,418.59090909090907,32,739.6818181818181,790.7272727272727,59
23,376.4782608695652,427.4347826086956,27,720.3913043478261,771.3478260869565,50
24,404.0,456.2916666666667,31,807.9583333333334,860.25,53
25,433.84,487.52,33,883.12,936.8,55
26,439.84615384615387,491.5769230769231,29,861.8076923076923,913.5384615384615,57
27,455.962962962963,508.7037037037037,32,939.4814814814815,992.2222222222222,59
28,469.64285714285717,523.0,32,998.1785714285714,1051.5357142857142,63
29,502.6551724137931,557.5862068965517,39,1053.4137931034484,1108.344827586207,64
30,512.8333333333334,567.2666666666667,31,1088.7666666666667,1143.2,67
31,522.1612903225806,575.8709677419355,34,1109.9032258064517,1163.6129032258063,69
32,532.90625,585.8125,35,1100.78125,1153.6875,71
33,541.939393939394,594.2121212121212,34,1074.2727272727273,1126.5454545454545,73
34,571.7352941176471,625.4117647058823,43,1180.235294117647,1233.9117647058824,77
35,585.0285714285715,638.2571428571429,38,1153.4285714285713,1206.6571428571428,78
36,605.0555555555555,659.2222222222222,41,1263.6944444444443,1317.861111111111,81
37,626.0540540540541,680.8378378378378,42,1357.3243243243244,1412.1081081081081,83
38,638.5263157894736,691.9736842105264,40,1317.157894736842,1370.6052631578948,85
39,657.974358974359,712.1282051282051,44,1414.6923076923076,1468.8461538461538,87
40,677.25,731.95,45,1473.625,1528.325,91
41,694.5365853658536,749.2682926829268,43,1509.4878048780488,1564.219512195122,92
42,720.4761904761905,776.2142857142857,47,1572.1666666666667,1627.904761904762,95
43,739.1395348837209,794.7906976744187,47,1605.0697674418604,1660.7209302325582,97
44,759.5,815.2954545454545,48,1662.3863636363637,1718.1818181818182,99
45,787.7555555555556,844.5333333333333,52,1722.6222222222223,1779.4,101
46,811.304347826087,868.695652173913,50,1797.195652173913,1854.5869565217392,105
47,830.0425531914893,886.5106382978723,46,1789.723404255319,1846.1914893617022,106
48,850.0625,905.7708333333334,50,1804.5,1860.2083333333333,109
49,870.6734693877551,925.3265306122449,53,1802.7142857142858,1857.3673469387754,111
50,888.5,942.1,61,1787.46,1841.06,113
51,901.9803921568628,955.2352941176471,52,1795.5098039215686,1848.764705882353,115
52,916.5,969.3269230769231,55,1801.6153846153845,1854.4423076923076,119
53,930.7924528301887,982.7169811320755,57,1769.2075471698113,1821.132075471698,120
54,942.6481481481482,993.7222222222222,53,1754.4259259259259,1805.5,123
55,961.4727272727273,1013.2363636363636,60,1825.5454545454545,1877.3090909090909,125
56,976.1964285714286,1027.6785714285713,57,1831.125,1882.607142857143,127
57,995.4736842105264,1047.3859649122808,60,1902.701754385965,1954.6140350877192,129
58,1019.3965517241379,1072.0344827586207,62,1996.7241379310344,2049.362068965517,133
59,1039.5762711864406,1092.2372881355932,60,2030.3389830508474,2083.0,134
60,1061.4166666666667,1114.05,63,2061.1,2113.733333333333,137
61,1081.327868852459,1133.4754098360656,63,2056.311475409836,2108.4590163934427,139
62,1100.6290322580646,1152.3709677419354,62,2072.048387096774,2123.7903225806454,141
63,1126.2380952380952,1178.4126984126983,68,2127.936507936508,2180.1111111111113,143
64,1147.65625,1199.40625,65,2143.71875,2195.46875,147
65,1170.2307692307693,1221.6307692307691,65,2161.7076923076925,2213.107692307692,148
66,1193.6666666666667,1244.560606060606,65,2168.1363636363635,2219.030303030303,151
67,1217.8805970149253,1268.0298507462687,68,2143.134328358209,2193.283582089552,153
68,1242.5735294117646,1292.0294117647059,72,2140.3382352941176,2189.794117647059,153
69,1272.159420289855,1322.2898550724638,74,2196.942028985507,2247.072463768116,157
70,1296.7428571428572,1346.5142857142857,71,2212.0142857142855,2261.785714285714,158
71,1321.9014084507041,1371.0845070422536,72,2213.788732394366,2262.9718309859154,159
72,1348.2916666666667,1397.7222222222222,76,2266.152777777778,2315.5833333333335,163
73,1373.849315068493,1423.2054794520548,74,2292.3424657534247,2341.698630136986,165
74,1403.8918918918919,1453.6351351351352,77,2345.4864864864867,2395.2297297297296,167
75,1432.6666666666667,1482.3333333333333,77,2371.5733333333333,2421.24,169
76,1460.657894736842,1510.0263157894738,76,2377.3684210526317,2426.7368421052633,175
77,1489.7662337662337,1538.8181818181818,78,2369.090909090909,2418.1428571428573,176
78,1520.2307692307693,1569.051282051282,78,2380.9358974358975,2429.75641025641,179
79,1556.8987341772151,1606.2784810126582,84,2441.518987341772,2490.8987341772154,181
80,1589.0375,1638.0125,81,2443.4875,2492.4625,183
81,1623.962962962963,1673.0617283950617,83,2500.037037037037,2549.135802469136,185
82,1661.7926829268292,1711.0243902439024,85,2575.243902439024,2624.4756097560976,189
83,1698.0240963855422,1747.4698795180723,85,2642.397590361446,2691.843373493976,187
84,1734.0238095238096,1783.2857142857142,84,2646.3928571428573,2695.654761904762,193
85,1776.1411764705883,1825.5411764705882,89,2714.5529411764705,2763.9529411764706,193
86,1814.6511627906978,1863.8953488372092,87,2718.313953488372,2767.5581395348836,197
87,1853.6781609195402,1902.7701149425288,88,2713.1609195402298,2762.2528735632186,199
88,1894.9431818181818,1944.0454545454545,89,2786.4545454545455,2835.556818181818,203
89,1937.3258426966293,1985.8988764044943,95,2754.955056179775,2803.5280898876404,204
90,1975.8111111111111,2023.9555555555555,98,2747.866666666667,2796.011111111111,207
91,2010.2637362637363,2058.6263736263736,94,2808.010989010989,2856.3736263736264,209
92,2045.7173913043478,2094.2934782608695,94,2886.5434782608695,2935.1195652173915,211
93,2083.7311827956987,2132.8172043010754,96,2966.8602150537636,3015.94623655914,211
94,2119.351063829787,2168.0,94,2944.6702127659573,2993.31914893617,217
95,2157.915789473684,2206.8947368421054,98,3021.136842105263,3070.1157894736843,215
96,2196.6875,2245.21875,100,2996.1875,3044.71875,221
97,2233.9690721649486,2282.5257731958764,98,3068.938144329897,3117.494845360825,221
98,2272.1530612244896,2320.826530612245,99,3120.1530612244896,3168.826530612245,223
99,2315.949494949495,2365.060606060606,104,3176.3838383838383,3225.4949494949497,227
100,2356.64,2405.89,103,3228.12,3277.37,231
