no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
0,0.0,1999.0,1
1,1498.5,3495.5,4
2,1997.3333333333333,3993.3333333333335,4
3,2496.0,4491.25,4
4,3593.0,5587.6,6
5,4491.166666666667,6484.833333333333,8
6,5031.857142857143,7024.428571428572,9
7,5382.25,7373.75,9
8,5957.111111111111,7947.333333333333,11
9,5947.5,7936.3,11
10,6292.181818181818,8279.636363636364,13
11,6569.75,8555.916666666666,13
12,6951.384615384615,8936.307692307691,14
13,7321.857142857143,9305.5,15
14,7573.533333333334,9555.866666666667,16
15,7796.1875,9777.3125,17
16,8014.117647058823,9994.117647058823,18
17,8165.555555555556,10144.388888888889,19
18,8320.684210526315,10298.263157894737,20
19,8478.85,10455.2,21
20,8622.52380952381,10597.714285714286,22
21,8770.318181818182,10744.40909090909,23
22,8905.217391304348,10878.260869565218,24
23,9030.625,11002.666666666666,25
24,9160.76,11131.76,26
25,9327.307692307691,11297.23076923077,28
26,9321.111111111111,11289.962962962964,28
27,9323.035714285714,11290.857142857143,29
28,9324.586206896553,11291.413793103447,30
29,9325.933333333332,11291.766666666666,31
30,9333.483870967742,11298.290322580646,32
31,9348.34375,11312.0625,33
32,9361.727272727272,11324.39393939394,34
33,9374.823529411764,11336.441176470587,35
34,9392.885714285714,11353.4,36
35,9402.777777777777,11362.194444444445,37
36,9411.756756756757,11370.027027027027,38
37,9421.868421052632,11378.973684210527,39
38,9432.897435897436,11388.794871794871,40
39,9548.525,11503.225,42
40,9665.365853658537,11618.878048780487,42
41,9941.595238095239,11893.92857142857,44
42,10193.953488372093,12145.06976744186,45
43,10424.40909090909,12374.34090909091,46
44,10635.488888888889,12584.266666666666,47
45,10828.95652173913,12776.608695652174,48
46,11005.936170212766,12952.425531914894,49
47,11168.854166666666,13114.166666666666,50
48,11316.020408163266,13260.142857142857,51
49,11434.48,13377.38,52
50,11430.156862745098,13371.823529411764,52
51,11427.923076923076,13368.384615384615,53
52,11416.11320754717,13355.377358490567,54
53,11402.981481481482,13341.037037037036,55
54,11389.50909090909,13326.345454545455,56
55,11376.660714285714,13312.285714285714,57
56,11364.543859649122,13298.982456140351,58
57,11353.672413793103,13286.913793103447,59
58,11345.457627118643,13277.474576271186,60
59,11337.6,13268.366666666667,61
60,11331.377049180328,13260.918032786885,62
61,11326.661290322581,13254.951612903225,63
62,11323.968253968254,13251.031746031746,64
63,11321.59375,13247.421875,65
64,11319.492307692308,13244.076923076924,66
65,11319.333333333334,13242.69696969697,67
66,11321.194029850747,13243.358208955224,68
67,11323.529411764706,13244.514705882353,69
68,11325.884057971014,13245.695652173914,70
69,11328.07142857143,13246.728571428572,71
70,11330.366197183099,13247.859154929578,72
71,11335.833333333334,13252.180555555555,73
72,11339.232876712329,13254.438356164384,74
73,11419.851351351352,13333.918918918918,76
74,11501.906666666666,13414.84,76
75,11700.157894736842,13611.973684210527,78
76,11891.90909090909,13802.584415584415,79
77,12071.692307692309,13981.21794871795,80
78,12244.037974683544,14152.430379746835,81
79,12406.075,14313.325,82
80,12559.444444444445,14465.530864197532,83
81,12705.670731707318,14610.585365853658,84
82,12843.349397590362,14747.072289156626,85
83,12970.785714285714,14873.333333333334,86
84,13091.011764705883,14992.388235294118,87
85,13204.558139534884,15104.779069767443,88
86,13313.218390804597,15212.264367816091,89
87,13417.522727272728,15315.40909090909,90
88,13512.157303370786,15408.876404494382,91
89,13604.08888888889,15499.655555555555,92
90,13683.593406593407,15578.021978021978,93
91,13754.282608695652,15647.554347826086,94
92,13819.90322580645,15712.032258064517,95
93,13878.372340425532,15769.36170212766,96
94,13929.631578947368,15819.473684210527,97
95,13964.020833333334,15852.697916666666,97
96,13999.39175257732,15886.917525773197,98
97,14035.142857142857,15921.530612244898,99
98,14071.353535353535,15956.60606060606,100
99,14107.95,15992.05,101
100,14146.277227722772,16029.237623762376,102
101,14184.970588235294,16066.803921568628,103
102,14224.95145631068,16105.660194174758,104
103,14265.26923076923,16144.865384615385,105
104,14306.838095238096,16185.304761904761,106
105,14348.424528301886,16225.754716981131,107
106,14390.934579439252,16267.140186915887,108
107,14433.037037037036,16308.111111111111,110
108,14414.70642201835,16288.660550458715,110
109,14398.827272727272,16271.654545454545,111
110,14382.981981981982,16254.693693693695,112
111,14367.839285714286,16238.42857142857,113
112,14354.407079646018,16223.87610619469,114
113,14342.105263157895,16210.464912280702,115
114,14329.921739130436,16197.165217391304,116
115,14319.258620689656,16185.396551724138,117
116,14309.324786324787,16174.34188034188,118
117,14301.381355932202,16165.271186440677,119
118,14293.899159663866,16156.655462184874,120
119,14288.283333333333,16149.891666666666,121
120,14283.595041322315,16144.066115702479,122
121,14279.713114754099,16139.057377049181,123
122,14277.081300813008,16135.30894308943,124
123,14274.84677419355,16131.951612903225,125
124,14273.48,16129.464,126
125,14272.825396825398,16127.674603174602,127
126,14272.75590551181,16126.456692913385,128
127,14273.78125,16126.328125,129
128,14276.596899224805,16128.0,130
129,14278.569230769232,16128.838461538462,131
130,14281.67175572519,16130.801526717558,132
131,14285.765151515152,16133.742424242424,133
132,14291.533834586466,16138.345864661655,134
133,14298.60447761194,16144.246268656716,135
134,14306.474074074074,16150.940740740742,136
135,14315.264705882353,16158.558823529413,137
136,14325.34306569343,16167.474452554745,138
137,14335.398550724638,16176.369565217392,139
138,14345.597122302159,16185.402877697841,140
139,14357.564285714287,16196.192857142858,141
140,14370.021276595744,16207.475177304965,142
141,14382.211267605633,16218.485915492958,143
142,14395.685314685315,16230.783216783217,144
143,14409.875,16243.784722222223,145
144,14425.11724137931,16257.83448275862,146
145,14441.17808219178,16272.691780821919,147
146,14458.054421768707,16288.374149659863,148
147,14475.547297297297,16304.662162162162,149
148,14494.71812080537,16322.637583892618,150
149,14513.326666666666,16340.053333333333,151
150,14532.847682119205,16358.390728476821,152
151,14552.625,16376.993421052632,153
152,14572.83660130719,16396.03267973856,154
153,14593.14935064935,16415.18181818182,155
154,14614.38064516129,16435.245161290324,156
155,14636.705128205129,16456.403846153848,157
156,14659.554140127388,16478.089171974523,158
157,14683.575949367088,16500.943037974685,159
158,14708.490566037735,16524.685534591194,160
159,14733.25625,16548.26875,161
160,14759.291925465839,16573.130434782608,162
161,14786.407407407407,16599.067901234568,163
162,14813.901840490798,16625.374233128834,164
163,14842.353658536585,16652.634146341465,165
164,14870.848484848484,16679.945454545454,166
165,14899.56626506024,16707.48795180723,167
166,14929.736526946108,16736.491017964072,168
167,14960.64880952381,16766.23214285714,169
168,14991.520710059172,16795.92899408284,170
169,15023.864705882354,16827.08823529412,171
170,15056.935672514619,16858.976608187135,172
171,15091.03488372093,16891.88953488372,173
172,15124.884393063583,16924.554913294796,174
173,15160.33908045977,16958.827586206895,175
174,15196.12,16993.434285714287,176
175,15232.164772727272,17028.30681818182,177
176,15269.112994350282,17064.090395480227,178
177,15306.651685393259,17100.455056179777,179
178,15344.413407821228,17137.03351955307,180
179,15382.377777777778,17173.82222222222,181
180,15422.53591160221,17212.812154696134,182
181,15461.736263736264,17250.840659340658,183
182,15501.502732240437,17289.426229508197,184
183,15542.010869565218,17328.755434782608,185
184,15583.313513513514,17368.875675675677,186
185,15624.720430107527,17409.09677419355,187
186,15666.545454545454,17449.73796791444,188
187,15709.351063829787,17491.35106382979,189
188,15752.079365079366,17532.89417989418,190
189,15796.5,17576.136842105265,191
190,15840.497382198953,17618.947643979056,192
191,15885.588541666666,17662.848958333332,193
192,15930.943005181347,17707.010362694302,194
193,15977.355670103092,17752.22680412371,195
194,16024.774358974359,17798.45641025641,196
195,16072.301020408164,17844.79081632653,197
196,16120.395939086295,17891.685279187815,198
197,16169.848484848484,17939.944444444445,199
198,16218.904522613066,17987.798994974873,200
199,16269.07,18036.77,201
200,16319.278606965174,18085.776119402984,202
201,16370.29702970297,18135.59405940594,203
202,16421.625615763547,18185.71921182266,204
203,16473.12254901961,18236.00980392157,205
204,16526.546341463414,18288.219512195123,206
205,16580.203883495145,18340.665048543688,207
206,16634.8115942029,18394.06763285024,208
207,16689.778846153848,18447.822115384617,209
208,16745.674641148325,18502.507177033494,210
209,16802.504761904762,18558.133333333335,211
210,16858.592417061613,18613.023696682463,212
211,16916.48113207547,18669.712264150945,213
212,16974.408450704224,18726.436619718308,214
213,17032.967289719625,18783.78971962617,215
214,17092.386046511627,18842.009302325583,216
215,17152.37962962963,18900.796296296296,217
216,17212.728110599077,18959.930875576036,218
217,17274.123853211007,19020.110091743118,219
218,17335.80821917808,19080.579908675798,220
219,17398.486363636363,19142.04090909091,221
220,17461.68325791855,19204.013574660632,222
221,17526.1981981982,19267.306306306305,223
222,17589.81614349776,19329.699551569505,224
223,17655.23214285714,19393.89285714286,225
224,17720.893333333333,19458.32888888889,226
225,17788.314159292036,19524.53097345133,227
226,17855.383259911894,19590.374449339208,228
227,17923.71052631579,19657.48245614035,229
228,17991.799126637554,19724.349344978167,230
229,18060.53043478261,19791.865217391303,231
230,18129.151515151516,19859.2683982684,232
231,18199.327586206895,19928.224137931036,233
232,18270.278969957082,19997.961373390557,234
233,18341.944444444445,20068.410256410258,235
234,18414.03404255319,20139.28936170213,236
235,18486.572033898305,20210.610169491527,237
236,18560.261603375526,20283.08860759494,238
237,18634.037815126052,20355.6512605042,239
238,18708.635983263597,20429.037656903765,240
239,18783.75,20502.9375,241
240,18859.63070539419,20577.60165975104,242
241,18936.206611570247,20652.95867768595,243
242,19013.37448559671,20728.913580246914,244
243,19091.487704918032,20805.819672131147,245
244,19169.020408163266,20882.138775510204,246
245,19248.532520325203,20960.443089430893,247
246,19326.676113360325,21037.38056680162,248
247,19407.322580645163,21116.8185483871,249
248,19486.44578313253,21194.73092369478,250
249,19567.692,21274.764,251
250,19647.996015936256,21353.84860557769,252
251,19730.29365079365,21434.920634920636,253
252,19811.830039525692,21515.229249011856,254
253,19895.26377952756,21597.43307086614,255
254,19977.376470588235,21678.313725490196,256
255,20062.6640625,21762.3671875,257
256,20147.143968871595,21845.614785992217,258
257,20233.0,21930.236434108527,259
258,20318.50579150579,22014.509652509652,260
259,20404.923076923078,22099.688461538462,261
260,20491.122605363984,22184.647509578543,262
261,20579.74045801527,22272.019083969466,263
262,20666.885931558936,22357.923954372625,264
263,20756.526515151516,22446.325757575756,265
