no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
0,0.0,1998.0,1
1,1498.0,3494.0,4
2,1332.0,3326.3333333333335,3
3,1996.25,3989.25,5
4,2395.2,4386.8,6
5,2662.1666666666665,4652.666666666667,7
6,2853.5714285714284,4843.142857142857,8
7,2997.875,4986.25,9
8,3111.1111111111113,5098.333333333333,10
9,3202.4,5188.4,11
10,3278.2727272727275,5263.181818181818,12
11,3342.3333333333335,5326.166666666667,13
12,3397.3076923076924,5380.076923076923,14
13,3445.214285714286,5427.0,15
14,3487.6,5468.333333333333,16
15,3525.875,5505.5625,17
16,3560.470588235294,5539.058823529412,18
17,3592.4444444444443,5570.0,19
18,3621.9473684210525,5598.473684210527,20
19,3649.35,5624.8,21
20,3675.3809523809523,5649.714285714285,22
21,3700.318181818182,5673.545454545455,23
22,3723.9565217391305,5696.086956521739,24
23,3746.5,5717.5,25
24,3768.52,5738.36,26
25,3790.153846153846,5758.846153846154,27
26,3811.074074074074,5778.555555555556,28
27,3831.785714285714,5798.0,29
28,3852.3793103448274,5817.379310344828,30
29,3872.5333333333333,5836.266666666666,31
30,3892.7096774193546,5855.129032258064,32
31,3912.96875,5874.125,33
32,3932.939393939394,5892.787878787879,34
33,3953.0882352941176,5911.588235294118,35
34,3973.457142857143,5930.6,36
35,3994.1111111111113,5949.944444444444,37
36,4014.5945945945946,5969.081081081081,38
37,4035.3947368421054,5988.5,39
38,4056.5384615384614,6008.2307692307695,40
39,4078.05,6028.3,41
40,4099.951219512195,6048.780487804878,42
41,4121.738095238095,6069.190476190476,43
42,4143.46511627907,6089.53488372093,44
43,4165.659090909091,6110.363636363636,45
44,4187.8,6131.111111111111,46
45,4210.413043478261,6152.304347826087,47
46,4233.510638297872,6174.021276595745,48
47,4256.604166666667,6195.729166666667,49
48,4280.224489795918,6217.959183673469,50
49,4304.38,6240.72,51
50,4329.078431372549,6264.058823529412,52
51,4353.788461538462,6287.423076923077,53
52,4378.509433962264,6310.830188679245,54
53,4403.277777777777,6334.314814814815,55
54,4428.109090909091,6357.854545454546,56
55,4453.517857142857,6381.982142857143,57
56,4478.982456140351,6406.19298245614,58
57,4504.5344827586205,6430.5,59
58,4530.169491525424,6454.8983050847455,60
59,4555.9,6479.366666666667,61
60,4582.213114754099,6504.44262295082,62
61,4608.645161290323,6529.612903225807,63
62,4635.666666666667,6555.349206349207,64
63,4663.28125,6581.65625,65
64,4691.492307692308,6608.553846153846,66
65,4720.318181818182,6636.090909090909,67
66,4749.253731343284,6663.746268656716,68
67,4778.294117647059,6691.514705882353,69
68,4807.449275362319,6719.391304347826,70
69,4837.228571428572,6747.914285714286,71
70,4867.140845070423,6776.56338028169,72
71,4897.680555555556,6805.819444444444,73
72,4928.835616438356,6835.671232876713,74
73,4960.608108108108,6866.148648648648,75
74,4992.493333333333,6896.72,76
75,5025.0,6927.894736842105,77
76,5058.12987012987,6959.688311688312,78
77,5091.897435897436,6992.128205128205,79
78,5125.772151898735,7024.670886075949,80
79,5160.2875,7057.8625,81
80,5194.913580246914,7091.16049382716,82
