no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
1,0.0,5.0,0
2,0.0,5.5,2
3,0.0,7.0,2
4,0.0,8.25,4
5,2.8,12.0,5
6,5.666666666666667,15.666666666666666,7
7,4.857142857142857,15.714285714285714,6
8,6.25,18.0,7
9,11.222222222222221,23.77777777777778,9
10,13.5,26.8,11
11,17.636363636363637,31.636363636363637,12
12,22.833333333333332,37.5,12
13,27.384615384615383,42.76923076923077,13
14,34.42857142857143,50.714285714285715,13
15,52.46666666666667,69.73333333333333,17
16,64.0625,82.4375,18
17,75.88235294117646,95.41176470588235,22
18,81.05555555555556,101.66666666666667,23
19,84.26315789473684,105.89473684210526,19
20,88.2,110.95,19
21,103.19047619047619,127.0952380952381,24
22,115.18181818181819,140.22727272727272,24
23,128.2608695652174,154.52173913043478,25
24,141.25,168.79166666666666,25
25,158.56,187.36,26
26,182.19230769230768,212.23076923076923,27
27,212.55555555555554,243.88888888888889,29
28,237.67857142857142,270.25,29
29,263.44827586206895,297.2068965517241,29
30,295.1666666666667,330.1333333333333,30
31,332.3225806451613,368.48387096774195,30
32,376.875,414.1875,31
33,436.969696969697,475.3939393939394,32
34,506.1470588235294,545.6470588235294,33
35,591.5142857142857,632.1142857142858,34
36,689.1111111111111,730.8333333333334,36
37,783.0540540540541,825.8918918918919,36
38,889.578947368421,933.578947368421,37
39,1015.7692307692307,1060.948717948718,38
40,1159.7,1206.1,39
41,1326.6097560975609,1374.1951219512196,41
42,1486.642857142857,1535.3809523809523,41
43,1669.6511627906978,1719.5581395348838,42
44,1902.2045454545455,1953.2954545454545,45
45,2096.288888888889,2148.5333333333333,44
46,2309.913043478261,2363.282608695652,45
47,2548.425531914894,2602.936170212766,47
48,2784.6666666666665,2840.2916666666665,48
49,3013.2448979591836,3069.9795918367345,48
50,3270.46,3328.34,50
51,3521.078431372549,3580.098039215686,50
52,3787.6153846153848,3847.769230769231,51
53,4077.811320754717,4139.11320754717,52
54,4397.722222222223,4460.185185185185,53
55,4742.290909090909,4805.890909090909,54
56,5121.285714285715,5186.035714285715,57
57,5453.2807017543855,5519.19298245614,56
58,5808.224137931034,5875.310344827586,57
59,6201.6949152542375,6269.949152542373,58
60,6621.116666666667,6690.533333333334,59
61,7079.065573770492,7149.639344262295,61
62,7529.629032258064,7601.354838709677,62
63,7972.253968253968,8045.126984126984,62
64,8452.5,8526.5,64
65,8919.36923076923,8994.523076923077,64
66,9429.772727272728,9506.09090909091,65
67,9969.402985074626,10046.910447761195,66
68,10546.35294117647,10625.029411764706,68
69,11113.463768115942,11193.333333333334,68
70,11727.185714285713,11808.242857142857,70
71,12330.647887323943,12412.901408450703,71
72,12937.125,13020.555555555555,72
73,13532.013698630137,13616.630136986301,72
74,14162.81081081081,14248.621621621622,73
75,14832.293333333333,14919.293333333333,74
76,15548.263157894737,15636.473684210527,75
77,16304.675324675325,16394.077922077922,76
78,17098.55128205128,17189.141025641027,77
79,17938.91139240506,18030.683544303796,78
80,18837.1375,18930.1125,81
81,19651.16049382716,19745.320987654322,80
82,20523.219512195123,20618.585365853658,82
83,21374.14457831325,21470.722891566264,82
84,22271.880952380954,22369.678571428572,84
85,23158.84705882353,23257.84705882353,84
86,24098.43023255814,24198.627906976744,85
87,25066.632183908045,25168.02298850575,86
88,26095.602272727272,26198.170454545456,88
89,27110.977528089887,27214.719101123595,88
90,28170.922222222223,28275.82222222222,89
91,29277.417582417584,29383.472527472528,90
92,30435.945652173912,30543.141304347828,91
93,31654.086021505376,31762.40860215054,92
94,32930.31914893617,33039.755319148935,93
95,34251.652631578945,34362.2,94
96,35623.260416666664,35734.927083333336,96
97,37007.51546391752,37120.298969072166,98
98,38308.857142857145,38422.744897959186,98
99,39569.979797979795,39684.969696969696,98
100,40900.65,41016.76,100
101,42237.19801980198,42354.43564356436,101
102,43544.1568627451,43662.529411764706,101
103,44893.57281553398,45013.06796116505,102
104,46310.625,46431.25,103
105,47807.44761904762,47929.2,105
106,49262.264150943396,49385.14150943396,105
107,50782.17757009346,50906.168224299065,106
108,52374.28703703704,52499.398148148146,108
109,53939.05504587156,54065.293577981654,108
110,55563.75454545455,55691.10909090909,109
111,57265.82882882883,57394.30630630631,111
112,58935.419642857145,59065.02678571428,111
113,60667.601769911504,60798.32743362832,112
114,62461.11403508772,62592.97368421053,113
115,64313.93043478261,64446.913043478264,114
116,66257.5948275862,66391.69827586207,116
117,68172.62393162394,68307.84615384616,116
118,70160.29661016949,70296.62711864407,118
119,72249.40336134454,72386.84873949579,127
120,73814.66666666667,73953.21666666666,137
121,74424.05785123968,74563.71900826447,135
122,74604.5,74745.26229508196,123
123,74736.0243902439,74877.89430894308,122
124,74889.54838709677,75032.51612903226,123
125,75072.504,75216.584,124
126,75286.45238095238,75431.65873015873,125
127,75533.43307086614,75679.77165354331,126
128,75815.6640625,75963.1484375,127
129,76134.33333333333,76282.95348837209,128
130,76489.31538461539,76639.06923076924,129
131,76885.78625954199,77036.6717557252,130
132,77324.90909090909,77476.92424242424,131
133,77807.03007518797,77960.16541353383,132
134,78330.5,78484.76865671642,133
135,78899.6962962963,79055.0962962963,134
136,79514.80882352941,79671.3455882353,135
137,80178.62773722627,80336.29197080292,136
138,80895.27536231885,81054.07971014493,137
139,81659.27338129496,81819.22302158273,138
140,82473.91428571429,82635.02142857143,139
141,83341.78014184398,83504.0354609929,140
142,84267.98591549296,84431.38028169014,141
143,85246.15384615384,85410.69230769231,142
144,86281.11805555556,86446.79166666667,143
145,87374.25517241379,87541.05517241379,144
