no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
1,0.0,4.0,0
2,2.0,7.0,1
3,6.666666666666667,12.333333333333334,3
4,9.5,16.0,3
5,16.0,23.8,4
6,25.833333333333332,35.0,5
7,41.0,51.57142857142857,6
8,61.125,73.0,7
9,86.77777777777777,99.88888888888889,8
10,118.0,132.3,9
11,160.1818181818182,175.8181818181818,11
12,196.66666666666666,213.75,11
13,243.30769230769232,261.84615384615387,12
14,297.7857142857143,317.7857142857143,13
15,362.73333333333335,384.26666666666665,14
16,442.1875,465.125,15
17,529.1176470588235,553.5294117647059,16
18,629.1666666666666,655.0,17
19,742.2105263157895,769.3684210526316,18
20,871.6,900.0,19
21,1013.7619047619048,1043.3809523809523,20
22,1171.7727272727273,1202.5454545454545,21
23,1348.3478260869565,1380.2608695652175,22
24,1540.9166666666667,1574.0416666666667,24
25,1728.68,1763.0,25
26,1904.0384615384614,1939.6153846153845,25
27,2098.6666666666665,2135.4444444444443,26
28,2308.5,2346.464285714286,27
29,2548.0344827586205,2587.206896551724,29
30,2780.9666666666667,2821.3,30
31,3003.6451612903224,3045.1935483870966,30
32,3245.6875,3288.46875,31
33,3509.878787878788,3553.848484848485,32
34,3804.794117647059,3849.9411764705883,34
35,4085.7428571428572,4132.114285714286,34
36,4388.944444444444,4436.527777777777,35
37,4724.189189189189,4773.0,36
38,5077.421052631579,5127.5,37
39,5454.74358974359,5506.102564102564,38
40,5855.525,5908.125,39
41,6288.707317073171,6342.512195121952,40
42,6749.928571428572,6804.928571428572,41
43,7232.302325581395,7288.53488372093,42
44,7746.954545454545,7804.409090909091,43
45,8302.68888888889,8361.355555555556,45
46,8835.347826086956,8895.217391304348,45
47,9403.95744680851,9465.0,46
48,9995.208333333334,10057.458333333334,47
49,10627.469387755102,10690.918367346938,48
50,11291.18,11355.84,49
51,11981.686274509804,12047.56862745098,50
52,12715.692307692309,12782.76923076923,52
53,13432.66037735849,13500.962264150943,52
54,14182.111111111111,14251.611111111111,53
55,14959.418181818182,15030.09090909091,54
56,15788.232142857143,15860.089285714286,56
57,16598.947368421053,16671.98245614035,56
58,17448.46551724138,17522.672413793105,57
59,18326.13559322034,18401.508474576272,58
60,19243.633333333335,19320.15,59
61,20218.09836065574,20295.754098360656,61
62,21172.967741935485,21251.790322580644,62
63,22115.73015873016,22195.714285714286,62
64,23105.03125,23186.203125,64
65,24073.523076923077,24155.876923076925,64
66,25079.075757575756,25162.636363636364,65
67,26133.31343283582,26218.059701492537,66
68,27223.382352941175,27309.323529411766,67
69,28364.739130434784,28451.869565217392,68
70,29555.85714285714,29644.157142857144,69
71,30785.211267605635,30874.704225352114,70
72,32066.347222222223,32157.055555555555,72
73,33330.90410958904,33422.82191780822,73
74,34569.51351351351,34662.63513513513,73
75,35868.706666666665,35963.04,75
76,37147.42105263158,37242.97368421053,75
77,38477.87012987013,38574.62337662338,76
78,39845.256410256414,39943.205128205125,77
79,41271.101265822785,41370.26582278481,79
80,42688.525,42788.925,79
81,44144.88888888889,44246.543209876545,80
82,45648.23170731707,45751.134146341465,81
83,47215.10843373494,47319.24096385542,82
84,48834.630952380954,48939.97619047619,83
85,50506.4,50612.964705882354,84
86,52251.62790697674,52359.43023255814,86
87,53966.816091954024,54075.85057471264,86
88,55734.21590909091,55844.46590909091,88
89,57488.5393258427,57600.02247191011,89
90,59246.5,59359.21111111111,90
91,60958.38461538462,61072.318681318684,90
92,62737.11956521739,62852.27173913043,91
93,64579.15053763441,64695.5376344086,92
94,66479.46808510639,66597.08510638298,93
95,68433.06315789474,68551.8947368421,94
96,70455.20833333333,70575.23958333333,96
97,72442.58762886598,72563.8350515464,96
98,74509.51020408163,74631.97959183673,98
99,76572.38383838384,76696.0808080808,98
100,78663.73,78788.65,99
101,80834.74257425743,80960.87128712871,100
102,83051.42156862745,83178.74509803922,101
103,85365.05825242719,85493.59223300971,103
104,87653.875,87783.63461538461,103
105,90004.75238095238,90135.72380952381,104
106,92403.60377358491,92535.77358490566,105
107,94876.17757009345,95009.54205607477,106
108,97458.75925925926,97593.32407407407,108
109,100000.84403669725,100136.61467889909,109
110,102507.1,102644.06363636363,109
111,105088.56756756757,105226.71171171172,110
112,107745.34821428571,107884.66071428571,112
113,110374.54867256636,110515.03539823009,112
114,113074.8947368421,113216.54385964913,113
115,115845.2,115988.0,114
116,118686.72413793103,118830.6724137931,115
117,121599.93162393162,121745.0170940171,116
118,124604.30508474576,124750.53389830509,118
119,127588.59663865546,127735.95798319328,118
120,130636.71666666666,130785.20833333333,119
121,133756.0082644628,133905.63636363635,120
122,136982.70491803277,137133.46721311475,122
123,140164.57723577236,140316.46341463414,122
124,143400.10483870967,143553.11290322582,123
125,146722.928,146877.072,124
126,150151.2142857143,150306.4841269841,126
127,153517.54330708663,153673.9527559055,126
128,157002.171875,157159.734375,128
129,160432.63565891472,160591.36434108528,128
130,163972.56923076924,164132.46153846153,129
131,167601.7251908397,167762.786259542,130
132,171284.38636363635,171446.62878787878,132
133,174928.64661654134,175092.06766917295,132
134,178713.18656716417,178877.7985074627,134
135,182435.0814814815,182600.8962962963,134
136,186246.66911764705,186413.67647058822,136
137,190050.34306569342,190218.53284671533,138
138,193681.40579710144,193850.78985507245,137
139,197409.9712230216,197580.53956834532,138
140,201244.01428571428,201415.77142857143,140
141,205039.71631205673,205212.66666666666,140
142,208945.65492957746,209119.8028169014,142
143,212798.92307692306,212974.26573426573,142
144,216757.59722222222,216934.14583333334,143
145,220791.72413793104,220969.46896551724,144
146,224963.8219178082,225142.75342465754,147
147,229007.80272108843,229187.91836734695,148
148,232884.29054054053,233065.60135135136,147
149,236854.09395973154,237036.60402684563,148
150,240889.66666666666,241073.38666666666,149
151,245037.47682119205,245222.4105960265,150
152,249279.78289473685,249465.92763157896,151
153,253593.7908496732,253781.1568627451,152
154,258057.23376623375,258245.82467532466,154
155,262465.3548387097,262655.1612903226,155
156,266883.0448717949,267074.0705128205,156
157,271261.63694267516,271453.8789808917,157
158,275582.40506329114,275775.86075949366,157
159,280008.0062893082,280202.6729559748,158
160,284539.09375,284734.98125,159
161,289198.1863354037,289395.3043478261,161
162,293782.10493827163,293980.45061728393,161
163,298465.68098159507,298665.245398773,162
164,303299.68902439025,303500.46341463417,164
165,308134.1757575758,308336.1575757576,165
166,312893.1746987952,313096.3614457831,165
167,317767.7844311377,317972.1856287425,166
168,322786.98214285716,322992.58928571426,169
169,327628.78106508875,327835.60355029587,169
170,332489.4117647059,332697.44705882354,171
171,337186.29239766084,337395.5438596491,170
172,341978.00581395347,342188.4767441861,171
173,346858.063583815,347069.75722543354,172
174,351876.9770114943,352089.8850574713,173
175,357010.3085714286,357224.44,175
176,362123.1590909091,362338.5227272727,176
177,367212.9943502825,367429.58757062146,176
178,372415.44943820225,372633.2752808989,177
179,377693.9441340782,377912.9944134078,178
180,383138.14444444445,383358.4277777778,180
181,388509.3038674033,388730.817679558,180
182,394031.8461538461,394254.5989010989,182
183,399512.0655737705,399736.04918032786,183
184,404951.8152173913,405177.0380434783,183
185,410532.68648648646,410759.14594594593,185
186,416072.20430107525,416299.9032258064,185
187,421744.7700534759,421973.7165775401,187
188,427389.8617021277,427620.05319148937,188
189,432994.6296296296,433226.0740740741,188
190,438767.6789473684,439000.36842105264,190
191,444455.3717277487,444689.3141361257,190
192,450298.9895833333,450534.1770833333,191
193,456229.9067357513,456466.3316062176,192
194,462289.91237113404,462527.56701030926,193
195,468480.8923076923,468719.7794871795,194
196,474760.23979591834,475000.35714285716,195
197,481204.1116751269,481445.4568527919,197
198,487623.3080808081,487865.8888888889,197
199,494116.7487437186,494360.56783919595,198
200,500750.64,500995.69,199
201,507526.6218905473,507772.9004975124,200
202,514414.04950495047,514661.5643564357,201
203,521440.078817734,521688.83251231525,202
204,528562.818627451,528812.8137254902,203
205,535813.9853658536,536065.2243902439,204
206,543204.5388349515,543457.0194174757,205
207,550712.3913043478,550966.1159420289,206
