no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
0,0.0,42.0,1
1,0.0,27.5,2
2,16.333333333333332,46.666666666666664,3
3,31.0,60.25,4
4,60.4,89.6,6
5,93.66666666666667,131.0,6
6,120.71428571428571,153.57142857142858,7
7,158.875,197.125,9
8,183.44444444444446,218.55555555555554,10
9,203.4,242.0,11
10,221.1818181818182,264.72727272727275,11
11,243.0,283.3333333333333,13
12,281.53846153846155,325.3076923076923,16
13,296.14285714285717,339.7142857142857,17
14,298.46666666666664,343.8,16
15,316.75,364.4375,18
16,331.11764705882354,381.11764705882354,18
17,354.6666666666667,406.3333333333333,20
18,368.2631578947368,418.42105263157896,20
19,382.2,430.55,21
20,397.14285714285717,446.0952380952381,23
21,409.6818181818182,460.04545454545456,23
22,424.30434782608694,475.0,24
23,445.9166666666667,495.875,26
24,467.12,516.8,27
25,483.7307692307692,534.4615384615385,26
26,509.77777777777777,561.074074074074,28
27,535.5714285714286,586.3214285714286,29
28,565.0689655172414,616.9310344827586,29
29,605.1666666666666,658.5666666666667,30
30,650.5806451612904,703.8387096774194,33
31,693.8125,747.34375,33
32,733.969696969697,786.6666666666666,34
33,773.7352941176471,825.4411764705883,36
34,806.9142857142857,859.0571428571428,35
35,847.1666666666666,898.3333333333334,37
36,891.0,942.2162162162163,38
37,935.3947368421053,986.2368421052631,39
38,981.6153846153846,1031.948717948718,40
39,1025.775,1076.35,40
40,1088.8536585365853,1140.3170731707316,42
41,1159.0,1209.952380952381,44
42,1229.4186046511627,1281.3953488372092,44
43,1307.0681818181818,1359.409090909091,46
44,1381.911111111111,1433.1333333333334,46
45,1461.804347826087,1513.1304347826087,48
46,1534.3829787234042,1585.6382978723404,49
47,1595.6666666666667,1646.7083333333333,49
48,1653.795918367347,1703.9795918367347,49
49,1715.1,1764.38,54
50,1764.7254901960785,1814.6274509803923,52
51,1810.5961538461538,1860.826923076923,53
52,1862.622641509434,1912.8867924528302,55
53,1909.9444444444443,1961.0555555555557,54
54,1966.418181818182,2017.7454545454545,56
55,2023.517857142857,2075.1964285714284,56
56,2084.8947368421054,2137.315789473684,57
57,2154.6724137931033,2207.362068965517,59
58,2227.677966101695,2280.4576271186443,61
59,2296.233333333333,2349.1833333333334,61
60,2363.8032786885246,2416.0,63
61,2423.2580645161293,2475.3709677419356,64
62,2480.1746031746034,2532.126984126984,65
63,2536.46875,2588.125,67
64,2581.5538461538463,2632.9384615384615,68
65,2622.5454545454545,2674.030303030303,67
66,2663.910447761194,2715.3283582089553,68
67,2704.4411764705883,2755.5,69
68,2749.5797101449275,2800.927536231884,69
69,2800.0,2851.042857142857,70
70,2854.3802816901407,2905.1830985915494,72
71,2917.8333333333335,2968.5138888888887,75
72,2975.027397260274,3025.219178082192,77
73,3025.108108108108,3074.9864864864867,76
74,3071.7733333333335,3121.8133333333335,75
75,3125.6710526315787,3175.8289473684213,77
76,3178.4545454545455,3228.3376623376626,78
77,3234.102564102564,3284.4102564102564,78
78,3293.227848101266,3343.8987341772154,80
79,3354.8125,3405.7625,81
80,3417.296296296296,3468.41975308642,82
81,3483.8414634146343,3535.5243902439024,82
82,3554.7831325301204,3607.0,84
83,3624.5238095238096,3676.7023809523807,85
84,3696.5176470588235,3748.670588235294,86
85,3769.7093023255816,3821.279069767442,86
86,3846.1494252873563,3898.1494252873563,87
87,3926.8295454545455,3978.568181818182,88
88,4014.7865168539324,4066.3370786516853,90
89,4103.777777777777,4155.844444444445,90
90,4199.615384615385,4251.450549450549,92
91,4289.315217391304,4340.608695652174,92
92,4384.129032258064,4435.8279569892475,94
93,4478.36170212766,4529.595744680851,95
94,4575.273684210526,4626.1894736842105,95
95,4674.28125,4725.635416666667,96
96,4779.340206185567,4830.484536082474,98
97,4885.806122448979,4936.908163265306,99
98,4996.393939393939,5047.010101010101,104
99,5080.89,5131.96,100
100,5172.178217821782,5222.950495049505,101
101,5267.450980392156,5318.117647058823,103
102,5368.689320388349,5419.165048543689,105
103,5467.471153846154,5518.307692307692,104
104,5573.266666666666,5624.4857142857145,105
105,5684.075471698113,5735.66037735849,107
106,5792.448598130841,5844.009345794392,109
107,5901.62962962963,5953.074074074074,109
108,6016.4495412844035,6067.568807339449,114
109,6112.036363636364,6162.890909090909,115
110,6189.081081081081,6240.324324324324,112
111,6267.4375,6318.366071428572,112
112,6350.1769911504425,6401.04424778761,115
113,6432.833333333333,6483.956140350877,114
114,6517.44347826087,6568.408695652174,115
115,6608.663793103448,6659.456896551724,117
116,6702.6324786324785,6753.538461538462,118
117,6796.186440677966,6847.389830508475,118
118,6891.663865546218,6942.663865546218,120
119,6991.483333333334,7042.608333333334,121
120,7092.925619834711,7144.454545454545,121
121,7200.877049180328,7252.688524590164,123
122,7309.325203252032,7360.8130081300815,123
123,7423.5887096774195,7474.927419354839,126
124,7538.336,7589.936,125
125,7660.706349206349,7712.190476190476,126
126,7785.212598425197,7836.645669291339,128
127,7916.7734375,7968.2421875,128
128,8055.806201550387,8107.240310077519,131
129,8189.484615384616,8240.715384615385,133
130,8318.847328244276,8369.984732824427,134
131,8441.363636363636,8492.25,136
132,8552.466165413534,8603.157894736842,143
133,8640.298507462687,8691.022388059702,138
134,8713.192592592593,8763.85925925926,136
135,8786.683823529413,8837.573529411764,136
136,8863.890510948906,8914.678832116788,137
137,8945.27536231884,8996.391304347826,138
138,9028.834532374101,9079.884892086331,140
139,9116.578571428572,9167.471428571429,140
140,9207.567375886525,9258.404255319148,142
141,9302.704225352112,9353.44366197183,145
142,9394.279720279721,9445.216783216783,143
143,9490.527777777777,9541.513888888889,145
144,9587.662068965517,9638.31724137931,145
145,9689.212328767124,9740.184931506848,146
146,9792.387755102041,9843.047619047618,147
147,9899.114864864865,9949.97972972973,149
148,10007.724832214764,10058.697986577181,150
149,10118.426666666666,10169.426666666666,151
150,10232.298013245034,10283.205298013245,153
151,10345.572368421053,10396.592105263158,152
152,10463.411764705883,10514.35294117647,154
153,10583.272727272728,10633.92857142857,158
154,10697.322580645161,10748.251612903226,155
155,10813.044871794871,10864.134615384615,157
156,10933.783439490446,10985.006369426752,158
157,11054.398734177215,11105.727848101265,159
158,11178.408805031446,11229.899371069183,159
159,11304.83125,11356.05625,161
160,11432.422360248447,11483.366459627328,161
161,11559.703703703704,11610.777777777777,163
162,11689.558282208589,11740.742331288344,164
163,11821.75,11872.890243902439,166
164,11954.90909090909,12006.248484848486,165
165,12088.993975903615,12140.036144578313,166
166,12225.37125748503,12276.461077844311,168
167,12363.166666666666,12414.452380952382,168
168,12504.899408284024,12556.39053254438,169
169,12651.64705882353,12703.270588235295,172
170,12797.649122807017,12849.473684210527,171
171,12947.25,12999.052325581395,174
172,13099.052023121387,13150.930635838151,174
173,13248.350574712644,13300.425287356322,174
174,13400.765714285715,13452.634285714286,175
175,13556.636363636364,13608.414772727272,178
176,13715.446327683616,13767.305084745763,180
177,13863.438202247191,13915.078651685393,179
178,14013.54748603352,14064.910614525139,182
179,14156.616666666667,14207.95,181
180,14302.414364640885,14353.53591160221,186
181,14432.862637362638,14483.802197802197,185
182,14560.579234972678,14611.590163934427,183
183,14689.576086956522,14740.777173913044,184
184,14822.745945945946,14873.881081081081,186
185,14954.28494623656,15005.28494623656,186
186,15089.475935828877,15140.689839572193,187
187,15227.531914893618,15278.760638297872,190
188,15368.031746031746,15419.338624338625,190
189,15506.32105263158,15557.857894736842,190
190,15649.356020942409,15700.984293193716,192
191,15794.692708333334,15846.3125,194
192,15940.37823834197,15991.844559585492,194
193,16088.082474226803,16139.556701030928,194
194,16241.010256410256,16292.558974358974,195
195,16397.219387755104,16448.964285714286,196
196,16559.223350253807,16611.015228426397,198
197,16722.671717171717,16774.39393939394,200
198,16888.628140703517,16940.502512562813,200
199,17052.895,17104.965,200
200,17223.29353233831,17275.47263681592,202
201,17395.569306930694,17447.90594059406,203
202,17569.8078817734,17622.12315270936,205
203,17744.848039215685,17797.06862745098,209
204,17915.560975609755,17967.88780487805,206
205,18083.320388349515,18135.485436893203,206
206,18256.579710144928,18308.917874396135,207
207,18432.1875,18484.697115384617,208
208,18613.942583732056,18666.598086124402,211
209,18794.038095238095,18846.785714285714,211
210,18976.388625592415,19028.91469194313,212
211,19156.759433962263,19209.44811320755,213
212,19336.6338028169,19389.215962441314,214
213,19517.528037383177,19569.934579439254,214
214,19704.372093023256,19756.758139534883,216
215,19892.09259259259,19944.50925925926,216
216,20086.225806451614,20138.511520737327,219
217,20274.454128440368,20326.908256880735,218
218,20468.712328767124,20521.03196347032,220
219,20661.836363636365,20714.090909090908,221
220,20861.796380090498,20914.24886877828,221
221,21060.81081081081,21113.364864864863,223
222,21265.13452914798,21317.887892376682,223
223,21471.258928571428,21524.151785714286,225
224,21681.964444444446,21734.928888888888,226
225,21893.517699115044,21946.46017699115,228
226,22110.66079295154,22163.757709251102,228
227,22323.90350877193,22377.14912280702,229
228,22538.903930131004,22592.32751091703,229
229,22755.865217391303,22809.36086956522,232
230,22976.666666666668,23030.290043290042,231
231,23198.80172413793,23252.469827586207,233
232,23423.78111587983,23477.570815450643,233
233,23652.495726495727,23706.247863247863,237
234,23880.106382978724,23933.936170212764,236
235,24105.51694915254,24159.228813559323,237
236,24329.991561181436,24383.742616033756,238
237,24555.60924369748,24609.386554621848,239
238,24785.13389121339,24838.912133891212,240
239,25015.133333333335,25068.920833333334,241
240,25244.302904564316,25298.01244813278,243
241,25476.665289256198,25530.520661157025,244
242,25703.024691358023,25756.85185185185,244
243,25930.266393442624,25984.02049180328,246
244,26160.71020408163,26214.52244897959,246
245,26389.08130081301,26442.80487804878,246
246,26622.97975708502,26676.82995951417,247
247,26858.33064516129,26912.02822580645,248
248,27100.048192771083,27153.73092369478,251
249,27338.1,27391.8,250
250,27580.56573705179,27634.394422310757,251
251,27824.130952380954,27877.765873015873,252
252,28073.308300395256,28126.90513833992,254
253,28324.370078740158,28377.992125984252,255
254,28578.560784313726,28632.145098039215,257
255,28828.37890625,28882.078125,256
256,29084.210116731516,29137.887159533075,258
257,29341.600775193798,29395.298449612405,258
258,29604.80694980695,29658.41312741313,260
259,29868.303846153845,29922.026923076923,260
260,30136.896551724138,30190.547892720308,261
261,30408.278625954197,30461.98473282443,263
262,30684.86692015209,30738.600760456273,265
263,30959.064393939392,31012.704545454544,266
264,31233.701886792453,31287.267924528303,269
265,31494.834586466164,31548.3007518797,274
266,31735.38202247191,31788.771535580523,278
267,31934.72014925373,31988.02985074627,275
268,32114.416356877322,32167.814126394052,270
269,32291.737037037037,32345.037037037036,270
270,32473.30627306273,32526.760147601475,271
271,32656.98161764706,32710.363970588234,273
272,32843.22344322344,32896.42857142857,273
273,33033.040145985404,33086.28467153285,275
274,33224.62545454546,33277.94181818182,275
275,33418.34420289855,33471.789855072464,276
276,33615.40072202166,33668.833935018054,279
277,33814.323741007196,33867.77697841726,279
278,34016.297491039426,34069.856630824375,279
279,34220.725,34274.36785714285,281
280,34426.91814946619,34480.483985765124,282
281,34635.535460992905,34689.17730496454,283
282,34845.23674911661,34898.9964664311,283
283,35058.42253521127,35112.116197183095,285
284,35273.908771929826,35327.487719298246,286
285,35489.43006993007,35542.846153846156,287
286,35705.80139372822,35759.17421602787,288
287,35923.98263888889,35977.305555555555,292
288,36133.3875432526,36186.671280276816,289
289,36346.37586206896,36399.56896551724,292
290,36561.388316151206,36614.57388316151,291
291,36778.79794520548,36832.1198630137,292
292,36999.058020477816,37052.283276450515,293
293,37220.61224489796,37273.71428571428,294
294,37447.69491525424,37500.91525423729,296
295,37675.27702702703,37728.63175675676,296
296,37904.131313131315,37957.3569023569,297
297,38135.67785234899,38188.98322147651,300
298,38369.802675585284,38423.217391304344,299
