no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
0,0.0,91.0,1
1,68.0,158.0,4
2,60.666666666666664,130.33333333333334,4
3,57.5,125.25,4
4,68.0,127.0,5
5,95.66666666666667,155.33333333333334,6
6,123.28571428571429,175.71428571428572,7
7,167.375,224.125,8
8,240.55555555555554,295.0,11
9,274.4,326.4,11
10,317.09090909090907,371.8181818181818,11
11,369.4166666666667,426.75,12
12,437.15384615384613,492.61538461538464,14
13,503.7142857142857,560.2857142857143,15
14,567.3333333333334,622.3333333333334,16
15,635.9375,688.875,21
16,652.0,702.2941176470588,21
17,652.9444444444445,704.0,18
18,660.578947368421,710.0526315789474,19
19,673.8,721.75,20
20,695.7142857142857,742.8095238095239,22
21,722.1818181818181,771.2727272727273,22
22,756.2173913043479,804.5217391304348,23
23,800.75,850.625,25
24,844.32,895.56,26
25,882.3076923076923,932.0,26
26,928.7777777777778,980.2592592592592,27
27,984.6785714285714,1035.9642857142858,29
28,1037.4137931034484,1087.3103448275863,29
29,1099.5333333333333,1149.3,31
30,1166.1935483870968,1217.2903225806451,31
31,1242.53125,1294.34375,33
32,1321.4545454545455,1373.6666666666667,34
33,1395.5294117647059,1446.4705882352941,35
34,1468.6,1519.8857142857144,36
35,1538.0277777777778,1589.111111111111,37
36,1610.8648648648648,1662.5405405405406,37
37,1688.078947368421,1738.6842105263158,39
38,1763.6153846153845,1814.4871794871794,40
39,1839.375,1890.725,40
40,1920.9268292682927,1971.3170731707316,41
41,2010.3809523809523,2060.690476190476,44
42,2092.3255813953488,2141.767441860465,46
43,2162.25,2210.7727272727275,48
44,2213.9555555555557,2262.4222222222224,46
45,2263.6521739130435,2311.282608695652,47
46,2312.0,2359.3829787234044,48
47,2363.0833333333335,2409.9791666666665,49
48,2417.918367346939,2465.1632653061224,49
49,2476.98,2523.78,50
50,2540.7450980392155,2587.6666666666665,52
51,2607.326923076923,2655.0,52
52,2677.8867924528304,2724.735849056604,53
53,2753.1296296296296,2799.8333333333335,55
54,2832.9636363636364,2879.4727272727273,57
55,2909.035714285714,2955.0714285714284,57
56,2987.0,3033.8245614035086,57
57,3069.4310344827586,3115.9827586206898,58
58,3155.3728813559323,3201.491525423729,59
59,3247.383333333333,3294.3166666666666,60
60,3345.967213114754,3393.1967213114754,63
61,3444.5,3492.1129032258063,62
62,3550.777777777778,3599.126984126984,63
63,3663.984375,3712.921875,65
64,3776.753846153846,3825.0615384615385,65
65,3895.242424242424,3943.0151515151515,67
66,4014.9253731343283,4063.283582089552,67
67,4141.617647058823,4189.955882352941,70
68,4267.753623188406,4316.014492753623,71
69,4388.585714285714,4437.357142857143,70
70,4515.3239436619715,4564.760563380281,71
71,4645.180555555556,4693.958333333333,72
72,4781.6164383561645,4830.328767123287,75
73,4917.108108108108,4966.4324324324325,74
74,5058.693333333334,5107.973333333333,75
75,5204.513157894737,5253.381578947368,76
76,5354.623376623376,5403.181818181818,79
77,5506.5641025641025,5555.615384615385,78
78,5666.113924050633,5715.721518987341,79
