no_of_processes,hrrn_avg_wait_time,hrrn_avg_turnaround_time,hrrn_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,198.0,0,0,0,0
2,148.0,344.5,3,0,0,0
3,132.33333333333334,327.6666666666667,2,0,0,0
4,197.5,392.0,4,0,0,0
5,237.2,430.8,5,0,0,0
6,264.1666666666667,457.0,6,0,0,0
7,284.14285714285717,476.0,7,0,0,0
8,300.125,491.0,8,0,0,0
9,313.22222222222223,503.0,9,0,0,0
10,324.8,513.3,10,0,0,0
11,335.3636363636364,522.5454545454545,11,0,0,0
12,345.4166666666667,531.4166666666666,12,0,0,0
13,354.7692307692308,539.6153846153846,13,0,0,0
14,363.57142857142856,547.2142857142857,14,0,0,0
15,372.46666666666664,555.0,15,0,0,0
16,381.125,562.625,16,0,0,0
17,389.6470588235294,570.0,17,0,0,0
18,398.44444444444446,577.6666666666666,18,0,0,0
19,407.1578947368421,585.2631578947369,19,0,0,0
20,415.85,592.8,20,0,0,0
21,425.0,600.7142857142857,21,0,0,0
22,434.59090909090907,609.0454545454545,22,0,0,0
23,444.69565217391306,617.9565217391304,23,0,0,0
24,454.875,626.9166666666666,24,0,0,0
25,465.6,636.4,25,0,0,0
26,476.88461538461536,646.3846153846154,26,0,0,0
27,488.7037037037037,656.8888888888889,27,0,0,0
28,501.10714285714283,667.9642857142857,28,0,0,0
29,514.1034482758621,679.6896551724138,29,0,0,0
30,527.1666666666666,691.4666666666667,30,0,0,0
31,540.8387096774194,703.8064516129032,31,0,0,0
32,555.09375,716.6875,32,0,0,0
33,569.939393939394,730.1212121212121,33,0,0,0
34,585.3823529411765,744.2058823529412,34,0,0,0
35,600.8857142857142,758.4,35,0,0,0
36,616.4722222222222,772.6666666666666,36,0,0,0
37,632.7027027027027,787.5945945945946,37,0,0,0
38,649.0,802.6315789473684,38,0,0,0
39,665.4102564102565,817.7435897435897,39,0,0,0
40,682.45,833.45,40,0,0,0
41,700.1219512195122,849.829268292683,41,0,0,0
42,718.2857142857143,866.6666666666666,43,0,0,0
43,731.7209302325581,878.7441860465116,43,0,0,0
44,745.9772727272727,891.6136363636364,44,0,0,0
45,761.0666666666667,905.2888888888889,45,0,0,0
46,777.0,919.8260869565217,46,0,0,0
47,793.6808510638298,935.1276595744681,47,0,0,0
48,812.875,952.9375,48,0,0,0
49,832.7142857142857,971.4285714285714,49,0,0,0
50,852.2,989.58,50,0,0,0
