no_of_processes,hrrn_avg_wait_time,hrrn_avg_turnaround_time,hrrn_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,3.0,0,0,0,0
2,0.0,4.0,2,0,0,0
3,0.0,4.666666666666667,3,0,0,0
4,0.0,5.75,3,0,0,0
5,2.2,9.4,5,0,0,0
6,2.1666666666666665,10.666666666666666,7,0,0,0
7,2.5714285714285716,12.285714285714286,8,0,0,0
8,5.75,16.75,9,0,0,0
9,6.333333333333333,18.666666666666668,15,0,0,0
10,6.4,20.2,9,0,0,0
11,10.636363636363637,25.90909090909091,12,0,0,0
12,15.833333333333334,32.583333333333336,14,0,0,0
13,21.23076923076923,39.46153846153846,15,0,0,0
14,25.357142857142858,44.92857142857143,19,0,0,0
15,28.733333333333334,49.53333333333333,17,0,0,0
16,31.0625,53.0,19,0,0,0
17,35.8235294117647,58.94117647058823,20,0,0,0
18,37.22222222222222,61.5,18,0,0,0
19,44.578947368421055,70.0,20,0,0,0
20,52.2,78.8,20,0,0,0
21,63.523809523809526,91.38095238095238,21,0,0,0
22,81.22727272727273,110.31818181818181,24,0,0,0
23,96.26086956521739,126.6086956521739,24,0,0,0
24,122.625,154.16666666666666,27,0,0,0
25,140.92,173.68,27,0,0,0
26,160.07692307692307,194.03846153846155,27,0,0,0
27,180.59259259259258,215.8148148148148,27,0,0,0
28,209.82142857142858,246.28571428571428,30,0,0,0
29,229.82758620689654,267.55172413793105,30,0,0,0
30,255.5,294.53333333333336,31,0,0,0
31,284.80645161290323,325.0967741935484,32,0,0,0
32,311.90625,353.40625,32,0,0,0
33,350.45454545454544,393.1818181818182,33,0,0,0
34,398.0882352941176,442.02941176470586,34,0,0,0
35,460.22857142857146,505.34285714285716,36,0,0,0
36,504.0833333333333,550.3333333333334,35,0,0,0
37,561.4594594594595,608.8378378378378,36,0,0,0
38,632.4736842105264,681.0,37,0,0,0
39,722.4358974358975,772.0769230769231,39,0,0,0
40,821.5,872.25,44,0,0,0
41,871.2439024390244,923.1463414634146,44,0,0,0
42,893.1666666666666,946.2619047619048,42,0,0,0
43,926.1162790697674,980.4418604651163,43,0,0,0
44,971.9318181818181,1027.5227272727273,44,0,0,0
45,1018.4444444444445,1075.3111111111111,44,0,0,0
46,1080.0869565217392,1138.2173913043478,45,0,0,0
47,1157.8085106382978,1217.2340425531916,46,0,0,0
48,1252.4375,1313.125,47,0,0,0
49,1366.3265306122448,1428.2448979591836,48,0,0,0
50,1498.68,1561.84,49,0,0,0
