process_name,avg_wait_time,avg_turnaround_time,context_switches
P1,0.0,2998.0,1
P2,2248.0,5244.5,4
P3,2745.6666666666665,5740.333333333333,5
P4,2526.5,5520.0,4
P5,3217.4,6209.8,6
P6,4562.666666666667,7553.666666666667,8
P7,5440.714285714285,8430.142857142857,8
P8,6151.75,9139.625,9
P9,7479.555555555556,10465.777777777777,11
P10,8586.6,11571.2,11
P11,10074.636363636364,13057.636363636364,13
P12,10670.333333333334,13651.75,13
P13,11200.76923076923,14180.538461538461,14
P14,12152.714285714286,15130.92857142857,16
P15,13067.8,16044.533333333333,16
P16,14431.1875,17406.5625,18
P17,15507.64705882353,18481.70588235294,19
P18,16081.777777777777,19054.5,19
P19,16697.526315789473,19668.842105263157,20
P20,17217.2,20187.15,21
P21,17679.52380952381,20648.190476190477,22
P22,18123.272727272728,21090.727272727272,23
P23,18599.391304347828,21565.565217391304,24
P24,19034.583333333332,21999.416666666668,26
P25,19229.52,22193.0,26
P26,19438.46153846154,22400.615384615383,27
P27,19686.666666666668,22647.48148148148,28
P28,19872.928571428572,22832.464285714286,29
P29,20051.0,23009.310344827587,31
P30,20125.933333333334,23083.0,32
P31,20014.225806451614,22970.0,32
P32,19910.75,22865.1875,33
P33,19864.242424242424,22817.303030303032,34
P34,19795.058823529413,22746.70588235294,35
P35,19724.914285714287,22675.17142857143,36
P36,19674.305555555555,22623.194444444445,37
P37,19625.864864864863,22573.37837837838,38
P38,19584.842105263157,22531.026315789473,39
P39,19536.23076923077,22481.128205128207,40
P40,19486.05,22429.65,41
P41,19424.853658536584,22367.121951219513,42
P42,19379.47619047619,22320.45238095238,43
P43,19332.79069767442,22272.441860465115,44
P44,19292.045454545456,22230.340909090908,45
P45,19281.51111111111,22218.422222222223,46
P46,19264.5,22200.043478260868,47
P47,19242.55319148936,22176.744680851065,48
P48,19221.0625,22153.895833333332,49
P49,19217.102040816328,22148.591836734693,50
P50,19204.5,22134.66,51
P51,19196.058823529413,22124.92156862745,52
P52,19216.73076923077,22144.26923076923,53
P53,19231.528301886792,22157.716981132075,54
P54,19205.814814814814,22130.62962962963,55
P55,19161.49090909091,22084.963636363635,56
P56,19122.535714285714,22044.64285714286,57
P57,19069.824561403508,21990.56140350877,58
P58,19019.172413793105,21938.568965517243,59
P59,18973.79661016949,21891.84745762712,60
P60,18911.583333333332,21828.266666666666,61
P61,18856.524590163935,21771.852459016394,62
P62,18789.516129032258,21703.467741935485,63
P63,18721.0,21633.603174603173,64
P64,18658.40625,21569.671875,65
P65,18592.723076923077,21502.646153846155,66
P66,18532.939393939392,21441.515151515152,67
P67,18478.119402985074,21385.358208955226,68
P68,18421.647058823528,21327.529411764706,69
P69,18365.956521739132,21270.463768115944,70
P70,18330.342857142856,21233.5,71
P71,18279.6338028169,21181.422535211266,72
P72,18228.680555555555,21129.11111111111,73
P73,18182.972602739726,21082.04109589041,74
P74,18136.864864864863,21034.58108108108,75
P75,18096.88,20993.24,76
P76,18057.0,20951.986842105263,77
P77,18020.883116883117,20914.51948051948,78
P78,17987.846153846152,20880.153846153848,79
P79,17951.91139240506,20842.91139240506,80
P80,17917.85,20807.525,81
P81,17886.827160493827,20775.185185185186,82
P82,17860.365853658535,20747.39024390244,83
P83,17836.14457831325,20721.819277108432,84
P84,17806.630952380954,20690.940476190477,85
P85,17783.811764705883,20666.776470588236,86
P86,17762.79069767442,20644.418604651164,87
P87,17739.436781609194,20619.712643678162,88
P88,17719.772727272728,20598.68181818182,89
P89,17701.47191011236,20579.022471910113,90
P90,17685.033333333333,20561.244444444445,91
P91,17671.340659340658,20546.21978021978,92
P92,17652.91304347826,20526.456521739132,93
P93,17637.05376344086,20509.2688172043,94
P94,17623.063829787236,20493.957446808512,95
P95,17612.821052631578,20482.4,96
P96,17603.947916666668,20472.197916666668,97
P97,17591.453608247422,20458.360824742267,98
P98,17583.11224489796,20448.69387755102,99
P99,17577.636363636364,20441.909090909092,100
P100,17570.56,20433.54,101
P101,17561.366336633662,20423.059405940596,102
P102,17555.656862745098,20416.058823529413,103
P103,17550.611650485436,20409.70873786408,104
P104,17545.28846153846,20403.076923076922,105
P105,17538.97142857143,20395.438095238096,106
P106,17544.16037735849,20399.311320754718,107
P107,17546.906542056076,20400.757009345794,108
P108,17543.99074074074,20396.537037037036,109
P109,17537.467889908257,20388.697247706423,110
P110,17536.99090909091,20386.9,111
P111,17538.63963963964,20387.234234234234,112
P112,17538.35714285714,20385.625,113
P113,17535.646017699117,20381.59292035398,114
P114,17547.245614035088,20391.86842105263,115
P115,17554.55652173913,20397.869565217392,116
P116,17554.887931034482,20396.905172413793,117
P117,17554.504273504273,20395.222222222223,118
P118,17557.322033898305,20396.728813559323,119
P119,17562.638655462186,20400.722689075632,120
P120,17565.675,20402.425,121
P121,17583.636363636364,20419.04132231405,122
P122,17593.852459016394,20427.909836065573,123
P123,17601.308943089432,20434.0081300813,124
P124,17611.717741935485,20443.072580645163,125
P125,17624.016,20454.024,126
P126,17633.039682539682,20461.714285714286,127
P127,17644.055118110235,20471.40157480315,128
P128,17658.96875,20484.984375,129
P129,17682.84496124031,20507.53488372093,130
P130,17695.39230769231,20518.76153846154,131
P131,17709.870229007633,20531.923664122136,132
P132,17726.409090909092,20547.151515151516,133
P133,17739.127819548874,20558.556390977443,134
P134,17753.171641791047,20571.298507462685,135
P135,17771.118518518517,20587.955555555556,136
P136,17789.933823529413,20605.492647058825,137
P137,17807.4598540146,20621.729927007298,138
P138,17826.398550724636,20639.369565217392,139
P139,17844.812949640287,20656.48201438849,140
P140,17866.621428571427,20676.97857142857,141
P141,17891.106382978724,20700.163120567377,142
P142,17916.61267605634,20724.37323943662,143
P143,17935.867132867133,20742.335664335664,144
P144,17955.854166666668,20761.027777777777,145
P145,17980.33103448276,20784.206896551725,146
P146,18004.671232876713,20807.253424657534,147
P147,18030.462585034013,20831.74149659864,148
P148,18056.20945945946,20856.182432432433,149
P149,18083.691275167785,20882.362416107382,150
P150,18112.12,20909.5,151
P151,18142.3178807947,20938.417218543047,152
P152,18167.473684210527,20962.302631578947,153
P153,18195.385620915033,20988.934640522875,154
P154,18227.006493506495,21019.27922077922,155
P155,18255.929032258064,21046.935483870966,156
P156,18287.0641025641,21076.79487179487,157
P157,18318.61146496815,21107.070063694267,158
P158,18347.63924050633,21134.816455696204,159
P159,18378.40251572327,21164.30188679245,160
P160,18410.76875,21195.39375,161
P161,18443.82608695652,21227.180124223603,162
P162,18475.845679012345,21257.938271604937,163
P163,18510.20245398773,21291.036809815952,164
P164,18543.030487804877,21322.59756097561,165
P165,18579.236363636363,21357.545454545456,166
P166,18613.60843373494,21390.668674698794,167
P167,18651.02395209581,21426.838323353295,168
P168,18687.369047619046,21461.946428571428,169
P169,18720.366863905325,21493.710059171597,170
P170,18754.482352941177,21526.59411764706,171
P171,18798.09356725146,21568.98245614035,172
P172,18834.99418604651,21604.668604651164,173
P173,18870.36416184971,21638.832369942196,174
P174,18906.735632183907,21673.994252873563,175
P175,18944.045714285716,21710.085714285713,176
P176,18981.920454545456,21746.74431818182,177
P177,19020.768361581922,21784.378531073446,178
P178,19059.05617977528,21821.449438202246,179
P179,19099.743016759778,21860.916201117318,180
P180,19138.666666666668,21898.616666666665,181
P181,19186.668508287294,21945.39779005525,182
P182,19229.18131868132,21986.68131868132,183
P183,19269.83606557377,22026.10382513661,184
P184,19313.21195652174,22068.239130434784,185
P185,19358.308108108107,22112.1027027027,186
P186,19402.817204301075,22155.370967741936,187
P187,19449.828877005348,22201.139037433157,188
P188,19496.031914893618,22246.106382978724,189
P189,19546.809523809523,22295.656084656086,190
P190,19596.157894736843,22343.76842105263,191
P191,19644.56544502618,22390.931937172776,192
P192,19696.046875,22441.177083333332,193
P193,19747.528497409327,22491.41450777202,194
P194,19799.938144329895,22542.58762886598,195
P195,19861.40512820513,22602.815384615384,196
P196,19917.158163265307,22657.326530612245,197
P197,19973.304568527918,22712.23350253807,198
P198,20031.964646464647,22769.646464646463,199
