process_name,avg_wait_time,avg_turnaround_time,context_switches
P1,0.0,3000.0,1
P2,2249.5,5248.0,4
P3,2000.3333333333333,4997.333333333333,3
P4,2999.25,5995.0,5
P5,3599.0,6593.2,6
P6,3999.6666666666665,6992.333333333333,7
P7,4287.0,7278.142857142857,8
P8,4503.75,7493.5,9
P9,4673.0,7661.333333333333,10
P10,4809.8,7796.9,11
P11,4922.454545454545,7908.363636363636,12
P12,5017.083333333333,8001.666666666667,13
P13,5098.461538461538,8081.846153846154,14
P14,5169.0,8151.071428571428,15
P15,5231.4,8212.266666666666,16
P16,5286.875,8266.4375,17
P17,5337.117647058823,8315.470588235294,18
P18,5382.666666666667,8359.777777777777,19
P19,5424.789473684211,8400.684210526315,20
P20,5463.55,8438.3,21
P21,5499.523809523809,8473.047619047618,22
P22,5533.545454545455,8505.90909090909,23
P23,5565.521739130435,8536.739130434782,24
P24,5595.708333333333,8565.75,25
P25,5624.84,8593.76,26
P26,5652.653846153846,8620.461538461539,27
P27,5679.2962962962965,8646.0,28
P28,5704.928571428572,8670.5,29
P29,5730.137931034483,8694.51724137931,30
P30,5755.0,8718.133333333333,31
P31,5779.612903225807,8741.548387096775,32
P32,5803.625,8764.3125,33
P33,5827.545454545455,8787.0,34
P34,5850.970588235294,8809.176470588236,35
P35,5874.457142857143,8831.371428571429,36
P36,5898.027777777777,8853.694444444445,37
P37,5921.27027027027,8875.702702702703,38
P38,5944.210526315789,8897.368421052632,39
P39,5967.358974358975,8919.25641025641,40
P40,5990.275,8940.875,41
P41,6013.463414634146,8962.780487804877,42
P42,6036.476190476191,8984.5,43
P43,6059.837209302325,9006.53488372093,44
P44,6083.545454545455,9028.886363636364,45
P45,6107.622222222222,9051.644444444444,46
P46,6131.608695652174,9074.326086956522,47
P47,6155.510638297872,9096.91489361702,48
P48,6179.854166666667,9119.958333333334,49
P49,6204.142857142857,9142.979591836734,50
P50,6228.42,9166.0,51
P51,6252.686274509804,9189.0,52
P52,6277.442307692308,9212.5,53
P53,6302.207547169812,9235.981132075472,54
P54,6327.462962962963,9259.962962962964,55
P55,6352.745454545455,9284.0,56
P56,6378.089285714285,9308.07142857143,57
P57,6403.9473684210525,9332.666666666666,58
P58,6429.862068965517,9357.310344827587,59
P59,6456.322033898305,9382.474576271186,60
P60,6483.316666666667,9408.2,61
P61,6510.393442622951,9434.032786885246,62
