process_name,avg_wait_time,avg_turnaround_time,context_switches
P1,0.0,2.0,1
P2,0.0,2.5,3
P3,0.0,3.3333333333333335,5
P4,0.0,4.0,7
P5,1.6,6.8,6
P6,1.6666666666666667,7.833333333333333,11
P7,3.2857142857142856,10.428571428571429,9
P8,3.25,11.25,17
P9,2.888888888888889,11.88888888888889,16
P10,3.9,14.0,16
P11,4.0,15.181818181818182,26
P12,4.166666666666667,16.583333333333332,27
P13,4.846153846153846,18.615384615384617,30
P14,5.642857142857143,20.857142857142858,27
P15,6.466666666666667,23.066666666666666,25
P16,7.625,25.5625,28
P17,8.647058823529411,27.88235294117647,36
P18,9.944444444444445,30.555555555555557,38
P19,11.894736842105264,33.78947368421053,21
P20,14.3,37.4,38
P21,16.285714285714285,40.61904761904762,35
P22,17.363636363636363,42.86363636363637,42
P23,19.347826086956523,46.04347826086956,26
P24,23.208333333333332,51.083333333333336,39
P25,24.48,53.56,27
P26,28.884615384615383,59.19230769230769,27
P27,38.7037037037037,70.25925925925925,31
P28,47.5,80.35714285714286,35
P29,51.275862068965516,85.37931034482759,33
P30,56.833333333333336,92.13333333333334,31
P31,65.74193548387096,102.29032258064517,31
P32,87.6875,125.5,36
P33,97.45454545454545,136.5151515151515,38
P34,107.41176470588235,147.73529411764707,38
P35,121.28571428571429,162.88571428571427,38
P36,133.91666666666666,176.77777777777777,38
P37,148.45945945945945,192.6216216216216,38
P38,172.55263157894737,218.0,42
P39,189.3846153846154,236.15384615384616,42
P40,210.9,258.95,43
P41,237.17073170731706,286.4634146341463,45
P42,251.71428571428572,302.23809523809524,44
P43,273.5813953488372,325.30232558139534,45
P44,303.79545454545456,356.6818181818182,46
P45,335.68888888888887,389.7111111111111,46
P46,378.2391304347826,433.39130434782606,47
P47,429.6808510638298,485.93617021276594,48
P48,490.8125,548.1458333333334,49
P49,555.3469387755102,613.7755102040817,49
P50,633.5,693.04,50
P51,729.0196078431372,789.6470588235294,51
P52,841.1346153846154,902.8461538461538,52
P53,972.6981132075472,1035.4716981132076,53
P54,1124.7222222222222,1188.5555555555557,55
P55,1274.6909090909091,1339.6,57
P56,1393.875,1459.8392857142858,56
P57,1532.0877192982457,1599.1052631578948,57
P58,1696.2758620689656,1764.3275862068965,59
P59,1851.9322033898304,1921.0338983050847,59
P60,2029.6666666666667,2099.8,60
P61,2232.1147540983607,2303.27868852459,62
P62,2430.8870967741937,2503.0967741935483,62
P63,2656.4761904761904,2729.7619047619046,64
P64,2868.78125,2943.125,64
