process_name,avg_wait_time,avg_turnaround_time,context_switches
P1,0.0,4.0,1
P2,2.0,8.0,2
P3,8.0,16.0,3
P4,17.0,26.5,5
P5,23.6,34.8,5
P6,34.833333333333336,47.666666666666664,6
P7,53.142857142857146,67.71428571428571,7
P8,78.5,94.625,8
P9,113.0,130.55555555555554,10
P10,141.4,160.2,10
P11,178.54545454545453,198.72727272727272,11
P12,230.91666666666666,252.58333333333334,13
P13,277.61538461538464,300.7692307692308,13
P14,335.7142857142857,360.2142857142857,14
P15,404.4,430.2,15
P16,488.0625,515.0625,16
P17,584.9411764705883,613.1764705882352,17
P18,693.4444444444445,722.8333333333334,18
P19,816.1052631578947,846.578947368421,19
P20,959.05,990.6,21
P21,1091.904761904762,1124.5714285714287,21
P22,1240.7272727272727,1274.4545454545455,22
P23,1405.7391304347825,1440.4782608695652,23
P24,1582.8333333333333,1618.625,24
P25,1788.84,1825.76,26
P26,1986.4615384615386,2024.576923076923,27
P27,2171.8518518518517,2211.1111111111113,27
P28,2381.8214285714284,2422.285714285714,28
P29,2606.9655172413795,2648.5862068965516,29
P30,2850.4666666666667,2893.266666666667,30
P31,3122.1612903225805,3166.0967741935483,32
P32,3375.3125,3420.34375,32
P33,3655.848484848485,3702.0,33
P34,3962.5,4009.794117647059,35
P35,4253.2,4301.657142857143,35
P36,4568.0,4617.638888888889,36
P37,4905.756756756757,4956.621621621622,37
P38,5271.105263157895,5323.1578947368425,38
P39,5660.358974358975,5713.589743589743,39
P40,6071.05,6125.45,40
P41,6515.512195121952,6571.121951219512,41
P42,6991.190476190476,7048.047619047619,43
P43,7445.53488372093,7503.627906976744,43
P44,7933.0,7992.318181818182,44
P45,8453.933333333332,8514.466666666667,45
P46,9001.434782608696,9063.173913043478,46
P47,9586.04255319149,9649.021276595744,48
P48,10161.895833333334,10226.083333333334,49
P49,10722.326530612245,10787.714285714286,50
P50,11267.24,11333.84,51
P51,11798.921568627451,11866.745098039215,51
P52,12372.961538461539,12442.038461538461,53
P53,12931.66037735849,13001.962264150943,53
P54,13521.351851851852,13592.907407407407,54
P55,14153.10909090909,14225.89090909091,55
P56,14817.67857142857,14891.67857142857,56
P57,15523.561403508771,15598.754385964912,57
P58,16263.637931034482,16340.01724137931,58
P59,17044.033898305086,17121.593220338982,59
P60,17869.183333333334,17947.9,60
P61,18730.737704918032,18810.622950819674,61
P62,19636.387096774193,19717.467741935485,62
P63,20586.777777777777,20669.031746031746,63
P64,21581.0625,21664.515625,64
P65,22601.26153846154,22685.923076923078,65
P66,23676.333333333332,23762.227272727272,67
P67,24749.358208955226,24836.4776119403,68
P68,25783.117647058825,25871.470588235294,68
P69,26877.391304347828,26966.971014492752,70
P70,27957.157142857144,28047.942857142858,70
P71,29084.521126760563,29176.535211267605,72
P72,30193.222222222223,30286.444444444445,73
P73,31288.397260273974,31382.835616438355,73
P74,32445.243243243243,32540.91891891892,75
P75,33560.50666666667,33657.4,75
P76,34751.68421052631,34849.81578947369,77
P77,35929.844155844155,36029.23376623377,78
P78,37081.51282051282,37182.153846153844,78
P79,38290.3417721519,38392.215189873416,79
P80,39540.4875,39643.6,80
P81,40847.53086419753,40951.9012345679,81
P82,42230.45121951219,42336.08536585366,83
P83,43575.02409638554,43681.903614457835,83
P84,44974.98809523809,45083.09523809524,84
P85,46433.76470588235,46543.10588235294,85
P86,47961.62790697674,48072.1976744186,87
P87,49493.10344827586,49604.91954022989,88
P88,51000.954545454544,51114.03409090909,89
P89,52479.22471910113,52593.56179775281,89
P90,54046.73333333333,54162.333333333336,91
P91,55581.956043956045,55698.83516483517,92
P92,57091.391304347824,57209.532608695656,92
P93,58674.2688172043,58793.655913978495,93
P94,60321.02127659575,60441.67021276596,94
P95,62022.78947368421,62144.68421052631,95
P96,63777.6875,63900.822916666664,96
P97,65594.64948453609,65719.01030927835,97
P98,67504.04081632652,67629.62244897959,98
P99,69458.39393939394,69585.20202020202,99
P100,71458.93,71586.97,100
P101,73547.38613861386,73676.65346534654,102
P102,75626.45098039215,75756.94117647059,102
P103,77764.38834951456,77896.10679611651,104
P104,79874.67307692308,80007.63461538461,104
P105,82052.09523809524,82186.30476190476,105
P106,84297.43396226416,84432.87735849057,106
P107,86625.99065420561,86762.65420560748,107
P108,89011.05555555556,89148.95370370371,108
P109,91480.11926605504,91619.25688073394,109
P110,94018.42727272728,94158.79090909091,110
P111,96642.98198198198,96784.56756756757,112
P112,99236.21428571429,99379.01785714286,113
P113,101788.83185840708,101932.84955752212,113
P114,104447.85087719298,104593.0701754386,114
P115,107168.27826086957,107314.69565217392,115
P116,109931.5948275862,110079.21551724138,116
P117,112826.75213675214,112975.56410256411,119
P118,115593.07627118644,115743.07627118644,118
P119,118406.3949579832,118557.57983193277,119
P120,121331.93333333333,121484.3,121
P121,124238.71074380165,124392.27272727272,122
P122,127116.33606557376,127271.10655737705,123
P123,129973.0243902439,130129.0081300813,123
P124,132910.74193548388,133067.9435483871,124
P125,135942.816,136101.248,126
P126,138953.22222222222,139112.88888888888,126
P127,142060.69291338584,142221.5905511811,127
P128,145231.6015625,145393.71875,129
P129,148391.68217054263,148555.01550387597,130
P130,151526.4923076923,151691.03846153847,130
P131,154745.8396946565,154911.6106870229,132
P132,157921.92424242425,158088.9090909091,132
P133,161205.7969924812,161374.007518797,134
P134,164454.44776119402,164623.89552238805,134
P135,167786.96296296295,167957.65185185184,135
P136,171213.58088235295,171385.52205882352,136
P137,174743.1094890511,174916.29927007298,138
P138,178230.08695652173,178404.53623188406,138
P139,181810.8633093525,181986.58273381295,139
P140,185496.62142857144,185673.62142857144,141
P141,189175.1914893617,189353.47517730496,142
P142,192823.4366197183,193003.00704225354,142
P143,196592.94405594407,196773.81118881117,143
P144,200432.72222222222,200614.89583333334,145
P145,204233.83448275863,204417.30344827587,145
P146,208185.9315068493,208370.70547945207,147
P147,212083.78231292518,212269.87074829932,148
P148,215923.37837837837,216110.79054054053,148
P149,219896.6577181208,220085.38255033558,150
P150,223841.66666666666,224031.70666666667,151
P151,227773.940397351,227965.28476821192,152
P152,231687.7894736842,231880.44078947368,153
P153,235554.0980392157,235748.0522875817,153
P154,239517.7987012987,239713.04545454544,154
P155,243584.47741935484,243781.02580645162,155
P156,247740.02564102566,247937.86538461538,156
P157,252020.51592356688,252219.64331210192,157
P158,256369.31645569621,256569.7405063291,158
P159,260849.29559748428,261051.01886792452,160
P160,265312.3625,265515.3875,161
P161,269761.9937888199,269966.31677018636,161
P162,274316.5925925926,274522.2037037037,162
P163,278933.8834355828,279140.7852760736,163
P164,283674.5792682927,283882.76829268294,164
P165,288567.3939393939,288776.86666666664,166
P166,293392.5240963855,293603.2771084337,166
P167,298349.2874251497,298561.32934131735,168
