process_name,avg_wait_time,avg_turnaround_time,context_switches
P1,0.0,2.0,1
P2,6.0,45.0,5
P3,4.0,61.0,3
P4,13.5,66.75,4
P5,54.0,113.4,7
P6,54.166666666666664,107.16666666666667,8
P7,67.28571428571429,125.14285714285714,8
P8,75.75,127.625,9
P9,90.44444444444444,139.66666666666666,12
P10,90.8,136.5,12
P11,94.54545454545455,144.8181818181818,11
P12,123.58333333333333,177.0,14
P13,148.46153846153845,205.15384615384616,14
P14,172.5,227.28571428571428,15
P15,199.93333333333334,256.46666666666664,17
P16,236.5625,292.5,18
P17,265.7647058823529,322.3529411764706,18
P18,298.5,353.5,19
P19,330.4736842105263,385.2105263157895,20
P20,378.75,432.85,23
P21,413.3333333333333,466.7142857142857,25
P22,427.54545454545456,480.22727272727275,24
P23,437.4782608695652,489.30434782608694,25
P24,440.7916666666667,490.625,29
P25,437.68,488.68,27
P26,436.53846153846155,487.65384615384613,28
P27,434.6296296296296,484.9259259259259,29
P28,428.92857142857144,477.60714285714283,30
P29,429.3448275862069,478.58620689655174,31
P30,436.96666666666664,486.76666666666665,32
P31,447.38709677419354,496.64516129032256,34
P32,454.40625,504.65625,33
P33,461.030303030303,510.09090909090907,33
P34,469.8529411764706,517.6470588235294,34
P35,487.48571428571427,536.2,37
P36,505.5833333333333,553.7777777777778,39
P37,522.0,570.9459459459459,38
P38,543.5526315789474,591.8157894736842,39
P39,568.025641025641,615.2564102564103,40
P40,591.425,637.975,42
P41,611.219512195122,657.3414634146342,45
P42,621.1904761904761,668.2619047619048,43
P43,636.5813953488372,684.4651162790698,44
P44,651.1590909090909,698.4318181818181,45
P45,670.0,716.9777777777778,47
P46,687.8478260869565,734.8695652173913,46
P47,709.3404255319149,755.7234042553191,48
P48,730.7083333333334,777.3125,48
P49,757.6326530612245,804.8979591836735,49
P50,792.66,840.8,50
P51,833.7647058823529,881.1372549019608,51
P52,882.7115384615385,930.6538461538462,53
P53,929.7924528301887,977.7358490566038,55
P54,974.8148148148148,1023.1481481481482,54
P55,1027.3454545454545,1076.4,55
P56,1087.482142857143,1137.4107142857142,56
P57,1155.982456140351,1205.4736842105262,58
P58,1228.9310344827586,1278.7931034482758,59
P59,1301.6440677966102,1351.7627118644068,62
