process_name,avg_wait_time,avg_turnaround_time,context_switches
P1,0.0,60.0,1
P2,30.0,92.5,2
P3,83.33333333333333,146.0,4
P4,111.25,168.25,6
P5,108.8,165.4,5
P6,121.5,172.66666666666666,7
P7,131.42857142857142,177.85714285714286,9
P8,134.25,185.5,8
P9,153.33333333333334,208.22222222222223,10
P10,169.3,224.1,11
P11,184.1818181818182,235.72727272727272,11
P12,209.58333333333334,258.25,14
P13,228.92307692307693,280.53846153846155,13
P14,260.2857142857143,313.7142857142857,15
P15,289.53333333333336,341.73333333333335,16
P16,323.0,377.9375,16
P17,369.94117647058823,425.2352941176471,18
P18,421.0,477.05555555555554,18
P19,483.57894736842104,539.4736842105264,20
P20,545.9,603.75,20
P21,623.0952380952381,680.6666666666666,22
P22,702.6818181818181,761.0909090909091,23
P23,773.695652173913,831.0,23
P24,859.6666666666666,916.2083333333334,27
P25,916.52,972.88,25
P26,984.5769230769231,1041.8076923076924,26
P27,1065.962962962963,1124.111111111111,27
P28,1161.7142857142858,1220.7142857142858,28
P29,1269.0344827586207,1328.5172413793102,31
P30,1358.5666666666666,1419.0333333333333,30
P31,1462.032258064516,1522.483870967742,33
P32,1546.6875,1605.46875,34
P33,1618.3333333333333,1675.969696969697,35
P34,1685.764705882353,1741.8823529411766,40
P35,1722.0,1778.6857142857143,35
P36,1764.638888888889,1821.3333333333333,37
P37,1809.8918918918919,1866.7567567567567,37
P38,1863.2105263157894,1920.3684210526317,38
P39,1925.5641025641025,1982.7692307692307,40
P40,1989.05,2046.025,43
P41,2039.4878048780488,2097.0243902439024,41
P42,2094.285714285714,2151.190476190476,42
P43,2156.1627906976746,2212.860465116279,44
P44,2221.3636363636365,2277.090909090909,45
P45,2290.311111111111,2346.866666666667,45
P46,2365.978260869565,2422.086956521739,46
P47,2449.7021276595747,2506.1702127659573,48
P48,2531.9375,2587.25,48
P49,2617.5510204081634,2672.4489795918366,50
P50,2707.76,2762.58,51
P51,2798.235294117647,2852.4901960784314,52
P52,2889.519230769231,2942.75,56
P53,2957.7735849056603,3011.433962264151,53
P54,3030.0925925925926,3083.185185185185,54
P55,3108.8,3162.2545454545457,56
P56,3185.8928571428573,3238.9285714285716,56
P57,3269.5438596491226,3322.7719298245615,58
P58,3356.5172413793102,3409.5862068965516,59
P59,3443.508474576271,3495.6949152542375,60
P60,3523.766666666667,3576.0666666666666,60
P61,3609.6721311475408,3661.7868852459014,62
P62,3699.1774193548385,3751.2419354838707,62
P63,3794.4920634920636,3846.15873015873,66
P64,3881.421875,3933.328125,64
P65,3974.3846153846152,4026.2,66
P66,4071.439393939394,4123.606060606061,66
P67,4174.701492537313,4227.149253731343,68
P68,4276.132352941177,4328.117647058823,68
P69,4381.550724637681,4432.840579710145,69
P70,4492.314285714286,4543.4,71
P71,4606.802816901409,4657.5352112676055,74
P72,4713.986111111111,4765.013888888889,72
P73,4825.986301369863,4877.45205479452,73
P74,4942.945945945946,4993.986486486487,74
P75,5064.453333333333,5116.08,75
P76,5193.8421052631575,5246.0921052631575,76
P77,5331.675324675325,5384.12987012987,79
P78,5469.217948717948,5521.884615384615,79
P79,5608.974683544304,5661.4177215189875,82
P80,5747.85,5799.775,90
P81,5838.135802469136,5890.0,81
P82,5932.707317073171,5984.243902439024,83
P83,6030.951807228916,6082.409638554217,83
P84,6134.119047619048,6185.726190476191,84
P85,6241.364705882353,6292.470588235294,85
P86,6353.418604651163,6404.093023255814,88
P87,6462.689655172414,6513.137931034483,88
P88,6575.75,6626.113636363636,89
P89,6687.011235955056,6737.70786516854,89
P90,6801.488888888889,6851.677777777778,90
P91,6919.868131868132,6969.846153846154,92
P92,7041.597826086957,7091.652173913043,92
P93,7168.387096774193,7218.752688172043,93
P94,7300.063829787234,7350.063829787234,94
P95,7437.4315789473685,7487.61052631579,96
P96,7577.364583333333,7627.416666666667,98
P97,7715.092783505154,7764.917525773196,100
P98,7848.2040816326535,7898.183673469388,98
P99,7986.161616161616,8036.010101010101,100
P100,8127.85,8177.7,100
P101,8274.366336633664,8324.287128712871,101
P102,8426.35294117647,8476.480392156862,102
P103,8583.611650485436,8633.922330097088,104
P104,8737.307692307691,8787.903846153846,104
P105,8895.295238095237,8945.466666666667,105
P106,9059.547169811322,9109.67924528302,108
P107,9223.401869158879,9273.682242990653,108
P108,9384.712962962964,9435.157407407407,108
P109,9551.0,9601.80733944954,109
P110,9722.4,9773.127272727274,111
P111,9893.0,9943.549549549549,113
P112,10064.17857142857,10114.55357142857,115
P113,10234.106194690265,10284.495575221239,115
P114,10394.543859649122,10444.692982456141,115
P115,10552.434782608696,10602.965217391304,115
P116,10715.887931034482,10766.75,117
P117,10881.623931623932,10932.34188034188,117
P118,11051.85593220339,11102.254237288136,119
P119,11224.327731092437,11275.025210084033,120
P120,11395.15,11445.791666666666,121
P121,11569.462809917355,11619.96694214876,125
P122,11728.344262295082,11778.491803278688,128
P123,11869.317073170732,11919.577235772358,123
P124,12012.741935483871,12063.217741935483,124
P125,12160.488,12210.912,127
P126,12309.968253968254,12360.13492063492,129
P127,12446.889763779527,12497.291338582678,127
P128,12587.2265625,12637.3203125,128
P129,12731.418604651162,12781.70542635659,130
P130,12876.638461538461,12926.546153846153,130
P131,13025.824427480917,13075.442748091604,132
P132,13172.833333333334,13222.575757575758,133
P133,13319.526315789473,13369.097744360903,133
P134,13467.671641791045,13516.962686567163,134
P135,13620.118518518519,13669.54074074074,135
P136,13776.463235294117,13825.573529411764,136
P137,13937.401459854014,13986.810218978102,137
P138,14100.934782608696,14150.065217391304,139
P139,14267.05035971223,14316.25179856115,140
P140,14436.521428571428,14485.828571428572,141
P141,14607.347517730497,14656.978723404256,141
P142,14782.211267605633,14831.732394366198,142
P143,14961.958041958042,15011.321678321678,145
P144,15143.506944444445,15193.131944444445,145
P145,15326.179310344827,15375.668965517241,145
P146,15514.116438356165,15563.32191780822,146
P147,15705.99319727891,15754.959183673469,147
P148,15901.878378378378,15950.756756756757,149
P149,16102.75167785235,16151.536912751679,155
P150,16278.433333333332,16327.053333333333,160
P151,16407.82119205298,16456.344370860927,159
P152,16507.065789473683,16555.348684210527,154
P153,16605.013071895424,16653.46405228758,153
P154,16705.85064935065,16754.61038961039,154
P155,16809.064516129034,16858.0,156
P156,16914.641025641027,16963.67948717949,158
P157,17020.974522292992,17069.84713375796,157
P158,17133.1582278481,17182.278481012658,159
P159,17244.704402515723,17293.559748427673,160
P160,17355.95,17404.725,162
P161,17468.217391304348,17516.937888198758,162
P162,17582.932098765432,17631.58024691358,163
P163,17699.895705521474,17748.803680981597,163
P164,17819.64024390244,17868.268292682926,164
P165,17942.557575757575,17990.927272727273,165
P166,18068.909638554218,18117.524096385543,167
P167,18191.880239520957,18240.37125748503,167
P168,18317.67261904762,18366.125,169
P169,18446.076923076922,18494.792899408283,169
P170,18578.941176470587,18627.941176470587,170
P171,18716.42105263158,18765.584795321636,173
P172,18852.04069767442,18900.924418604653,172
P173,18989.7225433526,19038.35838150289,174
P174,19125.902298850575,19174.597701149425,175
P175,19264.342857142856,19313.01142857143,176
P176,19405.426136363636,19454.30681818182,176
P177,19549.870056497177,19598.83615819209,178
P178,19696.887640449437,19745.79213483146,179
P179,19846.240223463687,19895.245810055865,181
P180,19990.477777777778,20039.71111111111,180
P181,20138.762430939227,20188.204419889502,182
P182,20289.620879120877,20339.021978021978,184
P183,20441.53005464481,20490.956284153006,184
P184,20595.853260869564,20645.260869565216,185
P185,20751.335135135134,20800.632432432434,188
P186,20903.61827956989,20953.0,186
P187,21058.46524064171,21107.60962566845,188
P188,21215.324468085106,21264.292553191488,190
P189,21367.962962962964,21416.989417989418,190
P190,21523.06842105263,21572.084210526315,191
P191,21680.314136125653,21729.31937172775,194
P192,21827.057291666668,21875.994791666668,194
P193,21974.906735751294,22023.663212435233,205
P194,22090.453608247422,22139.21649484536,200
P195,22189.79487179487,22238.53846153846,196
P196,22291.29591836735,22340.081632653062,196
P197,22395.187817258884,22443.746192893403,197
P198,22501.69191919192,22550.060606060608,198
P199,22611.075376884422,22659.597989949747,199
P200,22723.505,22772.195,200
P201,22838.73631840796,22887.328358208953,202
P202,22956.11386138614,23004.896039603962,202
P203,23077.34975369458,23126.18719211823,205
P204,23199.392156862745,23248.107843137255,206
P205,23322.043902439025,23370.965853658538,205
P206,23447.888349514564,23496.78640776699,206
P207,23576.685990338163,23625.763285024153,208
P208,23707.177884615383,23756.360576923078,209
P209,23839.708133971293,23888.81818181818,210
P210,23974.066666666666,24023.404761904763,210
P211,24111.83886255924,24161.3981042654,212
P212,24250.509433962263,24300.240566037737,213
P213,24390.333333333332,24439.943661971833,214
P214,24531.855140186915,24581.644859813085,214
P215,24676.87906976744,24726.567441860465,216
P216,24824.458333333332,24874.037037037036,218
P217,24968.981566820275,25018.35944700461,217
P218,25116.715596330276,25166.288990825688,218
P219,25267.04109589041,25316.83105022831,219
P220,25420.745454545453,25470.44090909091,221
P221,25576.719457013576,25626.511312217193,223
P222,25733.941441441442,25783.59009009009,223
P223,25892.892376681615,25942.497757847534,224
P224,26054.70089285714,26104.178571428572,230
P225,26207.52,26257.222222222223,225
P226,26363.048672566372,26412.849557522124,227
P227,26521.0,26570.920704845816,227
P228,26681.97807017544,26732.105263157893,228
P229,26846.427947598255,26896.53711790393,230
P230,27013.121739130434,27063.195652173912,232
P231,27181.34632034632,27231.333333333332,233
P232,27351.69827586207,27401.620689655174,234
P233,27519.931330472104,27569.905579399143,233
P234,27691.273504273504,27741.311965811965,234
P235,27865.84255319149,27915.859574468086,237
P236,28042.033898305086,28091.92372881356,237
P237,28219.675105485232,28269.616033755276,237
P238,28400.331932773108,28450.289915966387,239
P239,28582.57322175732,28632.46861924686,241
P240,28765.008333333335,28814.925,240
P241,28948.896265560164,28998.933609958505,241
P242,29135.73553719008,29185.888429752067,243
P243,29323.41975308642,29373.69135802469,243
P244,29513.213114754097,29563.30737704918,244
P245,29706.4,29756.63673469388,245
P246,29902.158536585364,29952.19918699187,246
P247,30100.93927125506,30150.923076923078,250
P248,30299.78629032258,30349.959677419356,248
P249,30501.41767068273,30551.767068273093,250
P250,30704.332,30754.516,251
P251,30908.66533864542,30958.988047808765,252
P252,31113.781746031746,31163.960317460318,253
P253,31318.0,31368.296442687748,254
P254,31523.917322834644,31574.314960629923,255
P255,31730.73725490196,31781.01568627451,255
P256,31939.875,31990.00390625,258
P257,32145.05447470817,32195.19455252918,258
P258,32352.581395348836,32402.87984496124,258
P259,32562.99613899614,32613.18918918919,259
P260,32776.334615384614,32826.665384615386,261
P261,32991.819923371644,33042.14942528736,262
P262,33210.14503816794,33260.408396946565,265
P263,33428.52091254753,33478.931558935365,263
P264,33649.833333333336,33700.40909090909,264
P265,33873.954716981134,33924.505660377356,266
P266,34100.73684210526,34151.43984962406,267
P267,34329.3670411985,34380.23595505618,267
P268,34561.80597014925,34612.73880597015,270
P269,34795.21933085502,34845.98884758364,271
P270,35022.57037037037,35073.2,271
P271,35251.450184501846,35301.96309963099,277
P272,35466.6875,35517.25,275
P273,35673.216117216114,35723.86080586081,273
P274,35882.46350364963,35933.25912408759,274
P275,36094.167272727274,36144.803636363635,275
P276,36309.061594202896,36359.79347826087,277
P277,36526.27797833935,36577.166064981946,277
P278,36746.525179856115,36797.55035971223,279
P279,36968.53405017921,37019.72401433692,279
P280,37194.16785714286,37245.514285714286,281
