no_of_processes,hrrn_avg_wait_time,hrrn_avg_turnaround_time,hrrn_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,200.0,0,0,0,0
2,149.5,348.5,3,0,0,0
3,132.66666666666666,330.3333333333333,2,0,0,0
4,197.75,393.75,4,0,0,0
5,256.6,450.8,5,0,0,0
6,311.6666666666667,504.0,7,0,0,0
7,321.42857142857144,512.0,7,0,0,0
8,351.625,540.5,9,0,0,0
9,369.44444444444446,556.5555555555555,10,0,0,0
10,376.2,561.6,10,0,0,0
11,420.09090909090907,604.0,12,0,0,0
12,450.25,632.75,12,0,0,0
13,507.7692307692308,689.0,14,0,0,0
14,532.1428571428571,712.0714285714286,14,0,0,0
15,567.2,745.8666666666667,16,0,0,0
16,599.4375,776.8125,16,0,0,0
17,659.7647058823529,835.8823529411765,18,0,0,0
18,719.7777777777778,894.7222222222222,19,0,0,0
19,767.4736842105264,941.3157894736842,20,0,0,0
20,795.6,968.4,21,0,0,0
21,816.4761904761905,988.1428571428571,22,0,0,0
22,837.3636363636364,1007.9090909090909,23,0,0,0
23,846.4347826086956,1015.8260869565217,24,0,0,0
24,853.5,1021.7083333333334,24,0,0,0
25,859.92,1026.96,25,0,0,0
26,864.8461538461538,1030.6538461538462,26,0,0,0
27,864.8518518518518,1029.4444444444443,28,0,0,0
28,860.8214285714286,1024.142857142857,29,0,0,0
29,855.7241379310345,1017.7931034482758,29,0,0,0
30,852.7666666666667,1013.6,30,0,0,0
31,850.8709677419355,1010.483870967742,31,0,0,0
32,848.0625,1006.5,33,0,0,0
33,845.6060606060606,1002.8484848484849,34,0,0,0
34,846.3529411764706,1002.3529411764706,35,0,0,0
35,858.2571428571429,1012.9714285714285,37,0,0,0
36,864.5,1017.9722222222222,38,0,0,0
37,863.5675675675676,1015.8108108108108,38,0,0,0
38,860.8947368421053,1011.9473684210526,38,0,0,0
39,868.4358974358975,1018.3076923076923,40,0,0,0
40,872.575,1021.25,41,0,0,0
41,879.8536585365854,1027.3170731707316,41,0,0,0
42,897.1904761904761,1043.4761904761904,44,0,0,0
43,916.3488372093024,1061.4651162790697,44,0,0,0
44,942.5909090909091,1086.5227272727273,46,0,0,0
45,963.4888888888889,1106.2666666666667,47,0,0,0
46,979.0652173913044,1120.695652173913,46,0,0,0
47,1002.7872340425532,1143.2553191489362,48,0,0,0
48,1024.8958333333333,1164.2291666666667,50,0,0,0
49,1039.795918367347,1178.0204081632653,50,0,0,0
50,1052.76,1189.84,52,0,0,0
