no_of_processes,hrrn_avg_wait_time,hrrn_avg_turnaround_time,hrrn_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,3.0,0,0,0,0
2,1.5,5.0,1,0,0,0
3,4.666666666666667,9.666666666666666,2,0,0,0
4,9.75,15.75,3,0,0,0
5,19.4,26.6,5,0,0,0
6,26.166666666666668,34.666666666666664,5,0,0,0
7,37.142857142857146,46.714285714285715,6,0,0,0
8,52.875,63.75,7,0,0,0
9,74.44444444444444,86.55555555555556,8,0,0,0
10,102.8,116.0,9,0,0,0
11,138.63636363636363,152.8181818181818,10,0,0,0
12,179.25,194.33333333333334,11,0,0,0
13,231.6153846153846,247.6153846153846,13,0,0,0
14,278.2142857142857,295.14285714285717,13,0,0,0
15,333.6,351.6,14,0,0,0
16,398.1875,417.25,16,0,0,0
17,458.47058823529414,478.52941176470586,16,0,0,0
18,528.0555555555555,549.1111111111111,17,0,0,0
19,608.0526315789474,630.1052631578947,18,0,0,0
20,698.25,721.3,19,0,0,0
21,801.2857142857143,825.3333333333334,20,0,0,0
22,916.4545454545455,941.5909090909091,21,0,0,0
23,1041.695652173913,1067.9130434782608,22,0,0,0
24,1183.2083333333333,1210.4583333333333,23,0,0,0
25,1333.84,1362.16,24,0,0,0
26,1504.8076923076924,1534.2307692307693,25,0,0,0
27,1692.8148148148148,1723.3333333333333,27,0,0,0
28,1868.2142857142858,1899.892857142857,27,0,0,0
29,2067.103448275862,2099.896551724138,29,0,0,0
30,2261.2,2295.0666666666666,30,0,0,0
31,2444.1935483870966,2479.0967741935483,30,0,0,0
32,2646.90625,2682.8125,31,0,0,0
33,2866.848484848485,2903.7272727272725,32,0,0,0
34,3104.4117647058824,3142.235294117647,33,0,0,0
35,3367.0,3405.8285714285716,34,0,0,0
36,3644.6111111111113,3684.5,35,0,0,0
37,3940.0,3980.9189189189187,36,0,0,0
38,4261.973684210527,4303.9473684210525,38,0,0,0
39,4580.7692307692305,4623.7692307692305,39,0,0,0
40,4892.275,4936.275,39,0,0,0
41,5221.317073170731,5266.317073170731,40,0,0,0
42,5572.119047619048,5618.142857142857,41,0,0,0
43,5944.837209302325,5991.883720930233,42,0,0,0
44,6342.0,6390.090909090909,43,0,0,0
45,6771.777777777777,6820.955555555555,44,0,0,0
46,7219.891304347826,7270.195652173913,45,0,0,0
47,7697.085106382979,7748.510638297872,46,0,0,0
48,8209.229166666666,8261.791666666666,48,0,0,0
49,8723.326530612245,8777.020408163266,49,0,0,0
50,9205.96,9260.8,49,0,0,0
