no_of_processes,hrrn_avg_wait_time,hrrn_avg_turnaround_time,hrrn_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,2.0,0,0,0,0
2,1.0,11.0,1,0,0,0
3,5.666666666666667,19.333333333333332,3,0,0,0
4,8.75,23.0,3,0,0,0
5,10.6,26.4,5,0,0,0
6,40.166666666666664,67.0,10,0,0,0
7,38.285714285714285,61.857142857142854,13,0,0,0
8,40.5,69.625,8,0,0,0
9,49.0,83.0,9,0,0,0
10,60.5,94.6,11,0,0,0
11,78.27272727272727,117.9090909090909,14,0,0,0
12,79.41666666666667,117.33333333333333,20,0,0,0
13,74.92307692307692,110.07692307692308,16,0,0,0
14,71.92857142857143,107.07142857142857,23,0,0,0
15,72.6,110.2,28,0,0,0
16,68.5625,103.9375,22,0,0,0
17,72.82352941176471,111.82352941176471,19,0,0,0
18,81.05555555555556,121.66666666666667,20,0,0,0
19,88.05263157894737,128.73684210526315,22,0,0,0
20,94.8,137.55,22,0,0,0
21,103.23809523809524,145.0952380952381,25,0,0,0
22,106.54545454545455,149.0,25,0,0,0
23,109.1304347826087,152.56521739130434,24,0,0,0
24,111.29166666666667,153.25,25,0,0,0
25,119.32,162.12,29,0,0,0
26,126.88461538461539,170.5,29,0,0,0
27,128.55555555555554,170.7037037037037,28,0,0,0
28,130.57142857142858,171.85714285714286,31,0,0,0
29,135.3793103448276,177.79310344827587,33,0,0,0
30,141.86666666666667,185.56666666666666,33,0,0,0
31,151.80645161290323,196.8709677419355,35,0,0,0
32,158.65625,204.4375,35,0,0,0
33,167.75757575757575,215.15151515151516,37,0,0,0
34,175.44117647058823,221.88235294117646,42,0,0,0
35,176.9142857142857,223.22857142857143,45,0,0,0
36,176.0,221.5,52,0,0,0
37,173.97297297297297,219.1081081081081,52,0,0,0
38,175.60526315789474,222.10526315789474,45,0,0,0
39,177.64102564102564,224.07692307692307,47,0,0,0
40,177.8,225.55,40,0,0,0
41,183.29268292682926,231.97560975609755,42,0,0,0
42,185.88095238095238,234.11904761904762,43,0,0,0
43,192.34883720930233,241.69767441860466,45,0,0,0
44,196.75,246.02272727272728,48,0,0,0
45,201.86666666666667,251.33333333333334,49,0,0,0
46,206.2826086956522,255.67391304347825,50,0,0,0
47,209.89361702127658,258.29787234042556,53,0,0,0
48,210.875,258.6666666666667,51,0,0,0
49,212.16326530612244,259.6326530612245,53,0,0,0
50,213.14,259.76,57,0,0,0
