no_of_processes,hrrn_avg_wait_time,hrrn_avg_turnaround_time,hrrn_context_switches,dqrr_avg_wait_time,dqrr_avg_turnaround_time,dqrr_context_switches
1,0.0,53.0,0,0,0,0
2,26.5,103.0,1,0,0,0
3,102.0,185.33333333333334,3,0,0,0
4,120.5,187.75,3,0,0,0
5,162.4,227.6,5,0,0,0
6,200.66666666666666,270.8333333333333,5,0,0,0
7,265.0,332.14285714285717,7,0,0,0
8,303.875,362.875,8,0,0,0
9,332.0,392.6666666666667,8,0,0,0
10,375.2,431.8,10,0,0,0
11,413.54545454545456,467.90909090909093,12,0,0,0
12,439.0,491.1666666666667,12,0,0,0
13,461.84615384615387,511.0,15,0,0,0
14,466.64285714285717,514.9285714285714,13,0,0,0
15,478.53333333333336,524.1333333333333,16,0,0,0
16,481.5625,527.25,15,0,0,0
17,493.88235294117646,539.7647058823529,16,0,0,0
18,516.3333333333334,564.3888888888889,17,0,0,0
19,548.6842105263158,595.421052631579,18,0,0,0
20,591.65,639.95,20,0,0,0
21,633.4761904761905,682.1428571428571,21,0,0,0
22,676.3181818181819,727.2727272727273,21,0,0,0
23,730.7826086956521,781.3478260869565,22,0,0,0
24,799.625,851.125,24,0,0,0
25,870.2,921.56,26,0,0,0
26,927.4230769230769,977.8461538461538,29,0,0,0
27,960.8148148148148,1011.2222222222222,26,0,0,0
28,1001.8928571428571,1051.75,28,0,0,0
29,1046.3793103448277,1095.7241379310344,29,0,0,0
30,1090.9333333333334,1139.9333333333334,29,0,0,0
31,1141.9032258064517,1192.0967741935483,30,0,0,0
32,1202.53125,1253.6875,32,0,0,0
33,1260.4545454545455,1310.8181818181818,32,0,0,0
34,1327.764705882353,1378.5588235294117,34,0,0,0
35,1396.2571428571428,1447.4571428571428,34,0,0,0
36,1474.6944444444443,1526.611111111111,35,0,0,0
37,1559.7837837837837,1610.6486486486488,36,0,0,0
38,1654.657894736842,1705.4736842105262,40,0,0,0
39,1726.5384615384614,1777.6666666666667,38,0,0,0
40,1806.1,1857.525,39,0,0,0
41,1893.8536585365853,1944.4634146341464,41,0,0,0
42,1977.3333333333333,2029.1190476190477,41,0,0,0
43,2063.139534883721,2113.767441860465,42,0,0,0
44,2154.909090909091,2204.659090909091,44,0,0,0
45,2243.4444444444443,2292.711111111111,46,0,0,0
46,2329.5,2377.913043478261,50,0,0,0
47,2401.0851063829787,2449.8936170212764,47,0,0,0
48,2469.6875,2518.0208333333335,47,0,0,0
49,2542.8367346938776,2590.4285714285716,49,0,0,0
50,2613.68,2661.98,49,0,0,0
